0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-65,126,
317,      342,       452,       387,       257,       211,       367,       450,       401,       296,       0
320,      344,       452,       388,       259,       210,       368,       451,       404,       282,       0
318,      342,       451,       387,       256,       210,       369,       451,       403,       255,       0
319,      343,       452,       388,       258,       210,       368,       450,       402,       308,       0
319,      344,       451,       386,       258,       210,       368,       451,       405,       263,       0
318,      343,       452,       386,       257,       210,       367,       450,       401,       296,       0
319,      342,       451,       386,       258,       210,       368,       451,       403,       250,       0
318,      343,       451,       387,       256,       211,       367,       449,       401,       313,       0
320,      344,       451,       387,       257,       210,       368,       449,       402,       277,       0
319,      342,       451,       387,       257,       210,       367,       450,       402,       302,       0
320,      343,       451,       388,       258,       211,       367,       450,       402,       298,       0
318,      343,       451,       386,       256,       210,       368,       450,       403,       249,       0
318,      343,       451,       386,       256,       210,       367,       448,       401,       306,       0
321,      344,       451,       388,       258,       210,       368,       451,       403,       278,       0
320,      345,       452,       387,       258,       210,       368,       450,       403,       274,       0
318,      342,       451,       386,       256,       211,       367,       449,       402,       267,       0
319,      343,       451,       387,       256,       210,       367,       449,       401,       310,       0
321,      344,       451,       388,       258,       210,       368,       451,       404,       264,       0
320,      344,       451,       387,       257,       211,       367,       449,       401,       266,       0
318,      342,       451,       386,       256,       210,       367,       449,       402,       287,       0
320,      344,       451,       389,       257,       211,       366,       450,       402,       301,       0
320,      343,       451,       386,       256,       210,       368,       450,       403,       252,       -144.961
319,      342,       451,       387,       256,       210,       366,       448,       401,       294,       29.959
320,      342,       451,       387,       256,       211,       367,       450,       402,       281,       -5.04
320,      344,       452,       388,       258,       210,       367,       449,       403,       278,       5
318,      343,       452,       388,       258,       210,       368,       449,       402,       250,       -150.04
319,      343,       452,       386,       256,       210,       366,       448,       401,       314,       135.039
319,      343,       451,       388,       256,       210,       367,       450,       400,       313,       144.96
320,      344,       452,       388,       258,       210,       367,       449,       403,       270,       -34.961
318,      342,       452,       388,       257,       210,       367,       449,       402,       260,       -114.922
320,      344,       451,       386,       256,       211,       366,       448,       401,       307,       110
320,      345,       451,       388,       258,       211,       368,       450,       404,       310,       184.96
320,      343,       451,       387,       257,       211,       367,       448,       401,       283,       0
319,      342,       451,       386,       256,       210,       367,       448,       401,       285,       -15.04
320,      344,       451,       388,       258,       210,       367,       449,       402,       305,       129.959
319,      344,       452,       388,       258,       211,       369,       450,       403,       258,       -80.041
318,      343,       451,       387,       257,       211,       367,       448,       401,       299,       69.959
318,      343,       451,       387,       257,       211,       367,       449,       401,       294,       50
321,      345,       451,       388,       259,       210,       368,       450,       403,       284,       54.959
319,      343,       452,       389,       259,       211,       369,       450,       403,       249,       -119.922
319,      342,       451,       388,       256,       210,       367,       449,       402,       302,       89.959
319,      343,       452,       388,       257,       211,       368,       450,       403,       299,       110
321,      344,       452,       388,       259,       211,       369,       451,       404,       250,       -94.922
319,      343,       451,       387,       257,       211,       367,       449,       402,       315,       164.96
320,      343,       452,       388,       258,       210,       368,       450,       402,       315,       189.96
321,      344,       452,       388,       259,       210,       370,       452,       405,       267,       .039
319,      344,       452,       388,       259,       211,       369,       450,       403,       270,       -14.961
320,      344,       451,       387,       257,       210,       367,       450,       403,       307,       139.959
320,      344,       451,       388,       258,       210,       370,       450,       403,       309,       174.96
321,      344,       452,       387,       258,       210,       369,       450,       405,       260,       -60.041
320,      342,       451,       387,       258,       210,       369,       450,       403,       283,       25
321,      344,       452,       389,       257,       211,       369,       451,       404,       303,       164.959
321,      344,       452,       389,       259,       210,       370,       452,       405,       306,       199.959
320,      344,       452,       387,       258,       210,       368,       450,       403,       291,       75
320,      343,       451,       388,       258,       210,       369,       451,       403,       299,       119.959
322,      345,       452,       389,       259,       210,       369,       451,       405,       284,       89.959
321,      345,       452,       388,       259,       210,       370,       452,       406,       252,       -64.961
321,      344,       452,       387,       258,       210,       369,       451,       403,       304,       155
321,      344,       452,       388,       259,       210,       369,       451,       404,       308,       189.96
323,      345,       452,       388,       259,       210,       370,       453,       406,       272,       49.959
321,      344,       452,       387,       257,       211,       369,       451,       405,       271,       0
322,      344,       452,       387,       257,       210,       369,       451,       405,       314,       214.96
323,      346,       452,       388,       259,       210,       372,       453,       407,       265,       34.959
324,      346,       452,       388,       259,       211,       370,       452,       405,       270,       45.078
323,      344,       452,       388,       258,       210,       370,       453,       406,       297,       164.959
324,      346,       453,       389,       258,       210,       370,       453,       406,       312,       264.96
323,      345,       452,       388,       260,       210,       372,       454,       408,       251,       -25.04
324,      345,       453,       388,       259,       210,       371,       453,       405,       293,       164.959
326,      345,       453,       389,       258,       211,       372,       453,       407,       286,       160.039
325,      347,       453,       390,       260,       211,       371,       454,       407,       284,       169.96
324,      345,       453,       388,       258,       211,       371,       454,       408,       253,       -14.883
324,      346,       454,       388,       258,       211,       371,       453,       406,       307,       250.039
326,      347,       454,       390,       259,       210,       373,       455,       408,       274,       140
327,      347,       454,       390,       260,       210,       373,       455,       409,       274,       154.959
324,      345,       454,       389,       259,       211,       371,       453,       407,       276,       105.117
325,      347,       454,       388,       258,       211,       372,       454,       407,       310,       290
326,      348,       455,       391,       260,       210,       374,       456,       408,       310,       350
327,      348,       455,       391,       260,       211,       375,       457,       410,       268,       169.998
327,      348,       455,       390,       260,       210,       374,       455,       410,       265,       129.959
324,      347,       455,       390,       258,       210,       373,       456,       408,       298,       255
328,      348,       455,       391,       258,       210,       373,       456,       409,       306,       329.959
327,      347,       455,       390,       261,       210,       375,       458,       410,       255,       99.96
326,      348,       455,       390,       259,       211,       373,       456,       408,       252,       50
326,      347,       455,       391,       259,       210,       374,       457,       410,       288,       244.959
329,      349,       455,       392,       261,       211,       375,       458,       410,       283,       274.959
327,      348,       456,       391,       259,       210,       376,       458,       410,       252,       94.96
327,      348,       456,       391,       259,       210,       375,       457,       409,       316,       400
329,      348,       456,       393,       261,       211,       377,       459,       412,       272,       250
329,      350,       456,       392,       261,       211,       376,       459,       412,       267,       224.959
327,      348,       456,       391,       259,       211,       375,       459,       410,       285,       264.959
329,      349,       457,       391,       259,       211,       375,       458,       411,       307,       394.998
329,      350,       456,       393,       261,       210,       377,       460,       413,       262,       214.959
329,      349,       456,       392,       260,       210,       376,       459,       413,       260,       179.959
328,      347,       457,       392,       259,       210,       376,       460,       411,       301,       365.039
330,      350,       457,       392,       259,       210,       377,       460,       412,       289,       339.959
330,      350,       457,       393,       262,       211,       378,       460,       413,       285,       354.959
328,      349,       457,       392,       259,       211,       376,       459,       410,       304,       384.959
329,      348,       457,       393,       260,       210,       376,       459,       410,       308,       409.96
330,      351,       457,       394,       262,       210,       378,       462,       413,       277,       329.959
330,      350,       458,       394,       261,       210,       378,       461,       413,       252,       194.96
329,      349,       458,       393,       259,       211,       377,       460,       412,       310,       449.96
329,      349,       458,       395,       261,       211,       379,       462,       412,       311,       494.96
331,      351,       458,       394,       261,       210,       378,       461,       415,       265,       279.959
329,      349,       458,       394,       261,       210,       379,       461,       413,       275,       305.039
331,      351,       458,       395,       259,       211,       378,       462,       413,       316,       529.96
