0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-65,126,
330,      361,       522,       436,       262,       210,       432,       526,       454,       287,       0
331,      361,       522,       436,       262,       210,       432,       526,       454,       271,       0
330,      362,       522,       435,       261,       211,       432,       526,       454,       296,       0
330,      362,       521,       436,       262,       210,       432,       526,       454,       280,       0
330,      362,       521,       436,       262,       210,       432,       526,       454,       270,       0
330,      362,       521,       436,       262,       210,       432,       525,       454,       288,       0
331,      362,       521,       436,       262,       211,       433,       527,       454,       265,       0
330,      361,       520,       435,       262,       211,       433,       526,       454,       282,       0
331,      362,       521,       436,       262,       210,       432,       527,       455,       278,       0
330,      362,       520,       435,       262,       210,       432,       527,       454,       270,       0
330,      361,       521,       436,       263,       211,       433,       526,       454,       290,       0
330,      362,       521,       435,       261,       210,       432,       527,       455,       268,       0
330,      362,       521,       435,       263,       211,       432,       526,       454,       283,       0
331,      362,       521,       435,       262,       211,       433,       527,       454,       278,       0
331,      362,       521,       436,       263,       211,       433,       527,       455,       275,       0
330,      361,       521,       435,       262,       210,       433,       527,       455,       272,       0
331,      362,       520,       435,       262,       211,       433,       527,       455,       290,       0
331,      362,       520,       435,       262,       210,       433,       527,       455,       266,       0
331,      362,       520,       435,       262,       210,       433,       526,       454,       265,       0
331,      362,       521,       435,       262,       210,       433,       527,       454,       284,       0
331,      361,       520,       435,       262,       211,       433,       527,       454,       281,       0
330,      361,       520,       436,       263,       211,       433,       527,       455,       270,       -30
330,      362,       520,       436,       262,       211,       433,       526,       454,       277,       -5
331,      362,       520,       435,       262,       210,       433,       527,       454,       292,       70
330,      362,       521,       435,       262,       210,       433,       527,       454,       268,       -50
330,      362,       520,       435,       262,       211,       432,       526,       454,       284,       20
330,      361,       520,       435,       262,       210,       432,       527,       454,       287,       30
332,      362,       520,       436,       262,       211,       433,       527,       454,       272,       -15
332,      362,       520,       436,       262,       210,       433,       527,       454,       273,       -15
331,      362,       520,       435,       262,       210,       432,       526,       454,       286,       30
332,      362,       520,       435,       262,       210,       433,       527,       454,       266,       -55
332,      362,       520,       435,       262,       210,       433,       526,       454,       278,       0
333,      362,       520,       435,       262,       210,       433,       527,       455,       289,       70
334,      363,       520,       435,       262,       211,       434,       528,       455,       273,       15
334,      363,       520,       435,       263,       210,       433,       528,       455,       277,       30
335,      363,       520,       435,       262,       211,       433,       528,       455,       276,       30
336,      364,       520,       436,       263,       211,       434,       528,       455,       269,       20
337,      363,       520,       436,       263,       211,       434,       528,       455,       265,       0
338,      364,       521,       436,       263,       210,       433,       528,       455,       285,       105
338,      365,       521,       436,       263,       210,       434,       529,       456,       276,       80
340,      366,       521,       436,       263,       210,       434,       529,       455,       270,       60
339,      365,       521,       437,       263,       211,       434,       529,       456,       273,       80
342,      366,       521,       437,       264,       211,       434,       529,       456,       288,       180
342,      366,       521,       437,       264,       210,       435,       530,       457,       265,       75
345,      367,       521,       437,       264,       211,       434,       530,       456,       288,       205
345,      367,       522,       437,       264,       211,       435,       530,       457,       286,       210
346,      367,       522,       438,       264,       211,       435,       531,       457,       274,       165
346,      368,       523,       438,       263,       210,       436,       531,       457,       284,       220
347,      369,       523,       438,       263,       211,       436,       531,       457,       288,       255
349,      369,       523,       439,       264,       211,       436,       532,       458,       267,       180
350,      369,       524,       439,       264,       211,       436,       532,       458,       265,       180
351,      370,       524,       440,       264,       210,       437,       533,       458,       288,       315
352,      371,       525,       440,       264,       210,       437,       534,       459,       277,       285
353,      371,       525,       440,       265,       210,       438,       535,       459,       273,       285
353,      371,       525,       441,       265,       210,       438,       535,       459,       283,       340
355,      373,       526,       441,       265,       211,       438,       536,       459,       284,       380
356,      373,       526,       441,       266,       210,       439,       538,       460,       266,       315
356,      374,       527,       441,       265,       211,       439,       538,       460,       286,       425
358,      374,       528,       442,       266,       211,       440,       538,       461,       285,       455
359,      374,       528,       442,       266,       211,       441,       539,       461,       281,       450
360,      375,       528,       443,       266,       211,       441,       540,       462,       271,       425
361,      375,       529,       443,       267,       210,       441,       540,       462,       288,       520
361,      376,       529,       443,       266,       210,       442,       541,       462,       289,       535
362,      377,       530,       444,       267,       210,       442,       542,       463,       266,       455
363,      377,       530,       444,       267,       211,       443,       543,       463,       268,       485
363,      377,       531,       444,       267,       211,       443,       543,       464,       282,       565
365,      377,       531,       444,       267,       210,       444,       544,       464,       283,       585
365,      378,       531,       446,       268,       210,       445,       545,       465,       281,       610
365,      378,       532,       445,       267,       211,       445,       546,       465,       274,       580
366,      379,       532,       445,       267,       210,       445,       546,       466,       291,       675
368,      380,       533,       446,       268,       211,       446,       547,       466,       269,       610
368,      380,       534,       446,       268,       211,       447,       548,       467,       268,       625
369,      380,       534,       447,       267,       210,       446,       548,       467,       285,       705
369,      381,       534,       447,       267,       211,       447,       549,       467,       288,       740
370,      382,       535,       448,       268,       210,       448,       550,       467,       269,       675
371,      382,       535,       448,       268,       210,       448,       551,       468,       270,       695
371,      381,       536,       448,       269,       210,       448,       551,       468,       292,       810
371,      383,       536,       449,       269,       211,       449,       552,       468,       278,       770
372,      383,       537,       449,       268,       210,       449,       552,       468,       281,       785
373,      383,       538,       449,       268,       211,       449,       553,       469,       283,       820
374,      385,       538,       450,       269,       210,       449,       554,       469,       286,       860
375,      385,       538,       450,       268,       210,       450,       554,       470,       268,       780
374,      385,       539,       450,       268,       210,       450,       555,       470,       271,       800
375,      385,       539,       451,       268,       210,       450,       554,       470,       290,       900
377,      386,       540,       451,       268,       211,       451,       556,       470,       276,       870
377,      386,       540,       451,       268,       211,       451,       555,       470,       277,       870
377,      386,       541,       452,       268,       210,       451,       555,       470,       280,       890
379,      387,       542,       452,       268,       211,       451,       556,       470,       289,       965
378,      388,       542,       453,       269,       210,       452,       557,       471,       269,       885
378,      387,       543,       453,       268,       211,       451,       557,       470,       287,       965
379,      388,       543,       454,       268,       210,       452,       557,       471,       291,       1005
381,      389,       544,       453,       268,       210,       453,       559,       471,       278,       970
381,      390,       544,       454,       268,       210,       453,       559,       471,       271,       945
381,      388,       545,       455,       268,       211,       453,       559,       472,       298,       1090
381,      390,       545,       455,       269,       211,       454,       560,       472,       293,       1090
382,      390,       546,       455,       270,       211,       454,       562,       472,       277,       1035
382,      391,       546,       456,       269,       211,       454,       561,       472,       281,       1055
383,      390,       547,       456,       269,       210,       454,       562,       473,       288,       1100
384,      391,       548,       457,       269,       210,       455,       563,       473,       288,       1130
384,      392,       548,       457,       269,       210,       455,       564,       473,       270,       1050
383,      391,       548,       457,       268,       211,       455,       564,       473,       293,       1155
383,      391,       548,       458,       269,       211,       455,       565,       473,       293,       1170
385,      392,       549,       458,       269,       211,       456,       567,       473,       279,       1135
385,      393,       549,       458,       269,       211,       456,       566,       474,       277,       1130
385,      393,       550,       459,       269,       210,       457,       566,       474,       293,       1220
385,      394,       550,       459,       270,       211,       457,       567,       474,       290,       1225
386,      394,       550,       460,       269,       210,       457,       568,       475,       269,       1130
386,      394,       552,       460,       270,       211,       457,       567,       475,       295,       1275
387,      395,       552,       460,       270,       211,       458,       569,       475,       284,       1245
387,      395,       553,       461,       270,       210,       458,       569,       475,       282,       1240
386,      394,       553,       461,       269,       211,       458,       568,       475,       276,       1195
387,      396,       554,       461,       269,       211,       458,       569,       475,       294,       1310
388,      396,       555,       462,       270,       210,       459,       571,       476,       276,       1255
388,      396,       556,       462,       270,       210,       459,       570,       476,       274,       1245
388,      396,       556,       462,       268,       210,       459,       571,       476,       280,       1270
389,      396,       557,       463,       269,       210,       459,       571,       476,       292,       1350
388,      396,       557,       463,       270,       211,       460,       572,       476,       269,       1250
389,      397,       558,       464,       269,       211,       459,       571,       476,       269,       1255
388,      396,       559,       464,       269,       211,       459,       571,       476,       285,       1330
390,      397,       559,       464,       269,       211,       460,       572,       476,       293,       1395
389,      397,       560,       465,       269,       211,       460,       573,       476,       280,       1340
389,      398,       560,       465,       269,       210,       460,       572,       476,       272,       1295
389,      398,       561,       465,       269,       210,       460,       572,       476,       292,       1400
390,      398,       562,       466,       270,       210,       460,       574,       477,       276,       1355
389,      398,       563,       466,       269,       209,       461,       573,       477,       275,       1340
389,      399,       563,       466,       269,       211,       460,       573,       476,       294,       1440
390,      399,       564,       467,       269,       210,       460,       573,       477,       290,       1435
390,      400,       564,       467,       269,       210,       461,       574,       476,       273,       1360
390,      400,       565,       467,       269,       210,       461,       573,       476,       287,       1430
390,      399,       566,       468,       268,       211,       461,       574,       476,       288,       1445
391,      400,       567,       469,       269,       210,       461,       574,       476,       287,       1460
391,      400,       567,       468,       268,       211,       461,       574,       477,       283,       1440
391,      400,       568,       468,       268,       211,       460,       574,       476,       291,       1475
390,      400,       569,       469,       269,       210,       462,       575,       477,       288,       1485
391,      401,       570,       470,       269,       210,       462,       576,       477,       282,       1480
391,      402,       571,       470,       269,       211,       462,       575,       477,       276,       1460
392,      401,       571,       470,       269,       211,       462,       576,       477,       293,       1550
392,      402,       572,       471,       269,       211,       462,       576,       477,       291,       1555
391,      402,       572,       471,       269,       211,       463,       578,       478,       271,       1470
391,      402,       573,       471,       269,       211,       462,       577,       478,       289,       1555
393,      402,       574,       472,       269,       211,       463,       579,       478,       283,       1560
393,      402,       575,       472,       270,       210,       463,       579,       479,       283,       1570
393,      403,       575,       473,       269,       211,       464,       579,       478,       275,       1540
393,      402,       576,       473,       269,       210,       464,       579,       478,       294,       1630
393,      403,       577,       473,       270,       211,       464,       581,       479,       276,       1575
394,      404,       577,       474,       270,       210,       465,       581,       479,       276,       1590
392,      404,       578,       474,       270,       210,       465,       580,       479,       284,       1620
393,      404,       579,       474,       270,       210,       465,       581,       479,       299,       1710
