0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
399,10,-64,118,
180,      317,       89,        123,       497,       134,       318,       44,        170,       48,        0
180,      317,       88,        122,       498,       132,       317,       45,        171,       46,        0
181,      317,       88,        122,       499,       132,       317,       44,        172,       47,        0
181,      319,       91,        124,       499,       136,       320,       46,        172,       49,        0
179,      319,       90,        123,       499,       134,       318,       44,        172,       48,        0
181,      320,       90,        125,       499,       135,       318,       45,        172,       48,        0
182,      321,       92,        125,       500,       137,       322,       47,        175,       50,        0
183,      322,       92,        125,       499,       136,       320,       48,        174,       50,        0
180,      319,       90,        123,       497,       134,       318,       45,        173,       47,        0
180,      319,       91,        123,       499,       135,       318,       46,        173,       48,        0
180,      319,       89,        123,       497,       135,       318,       46,        170,       47,        0
183,      320,       91,        125,       500,       136,       320,       47,        174,       49,        0
182,      320,       91,        125,       498,       135,       319,       46,        173,       49,        0
181,      319,       91,        123,       498,       136,       320,       47,        172,       49,        0
180,      320,       90,        122,       499,       136,       317,       46,        173,       48,        0
181,      320,       90,        124,       498,       136,       318,       46,        172,       48,        0
182,      320,       92,        124,       499,       136,       320,       47,        173,       48,        0
181,      318,       89,        122,       500,       133,       317,       45,        171,       47,        0
180,      318,       89,        123,       498,       134,       317,       46,        172,       48,        0
183,      320,       91,        124,       499,       136,       320,       47,        173,       49,        0
182,      319,       90,        123,       500,       135,       318,       47,        172,       48,        0
181,      319,       91,        124,       500,       135,       318,       46,        173,       49,        65
178,      316,       87,        120,       497,       132,       314,       43,        168,       46,        -110
177,      315,       88,        120,       499,       132,       315,       43,        170,       45,        -95
180,      318,       89,        121,       497,       133,       318,       44,        169,       46,        -40
181,      318,       89,        122,       498,       133,       317,       45,        170,       47,        -15
180,      318,       88,        121,       499,       133,       319,       46,        172,       46,        -5
180,      318,       89,        122,       499,       134,       317,       45,        170,       46,        -15
179,      319,       89,        121,       498,       134,       318,       44,        171,       47,        -15
180,      318,       89,        122,       500,       133,       317,       45,        172,       47,        0
179,      317,       89,        122,       497,       134,       319,       44,        170,       47,        -25
180,      318,       88,        121,       499,       133,       318,       44,        171,       46,        -25
180,      317,       89,        122,       498,       131,       316,       45,        170,       46,        -45
178,      318,       88,        121,       499,       132,       318,       45,        171,       46,        -35
180,      318,       88,        122,       500,       134,       318,       44,        169,       47,        -15
180,      318,       89,        123,       499,       133,       317,       44,        170,       47,        -15
180,      319,       90,        123,       500,       134,       318,       44,        173,       47,        25
181,      319,       90,        123,       499,       135,       318,       46,        172,       47,        35
183,      320,       90,        122,       500,       136,       319,       46,        172,       47,        60
183,      321,       92,        125,       500,       135,       318,       47,        173,       49,        100
181,      319,       90,        123,       499,       135,       319,       47,        171,       47,        40
183,      322,       91,        125,       502,       137,       321,       46,        174,       49,        135
184,      322,       92,        128,       501,       138,       322,       49,        176,       52,        205
186,      325,       95,        128,       503,       141,       324,       50,        178,       53,        300
185,      324,       95,        129,       503,       140,       324,       50,        176,       53,        280
185,      322,       93,        127,       501,       138,       321,       48,        175,       51,        190
184,      322,       93,        125,       500,       138,       322,       49,        175,       51,        180
182,      319,       92,        125,       499,       136,       320,       47,        173,       50,        100
183,      321,       92,        124,       500,       138,       319,       47,        174,       51,        130
183,      321,       91,        126,       499,       136,       319,       48,        173,       49,        110
182,      322,       93,        124,       498,       137,       320,       47,        175,       50,        125
183,      320,       91,        123,       501,       136,       319,       46,        174,       48,        90
180,      318,       90,        122,       497,       134,       318,       45,        170,       47,        -10
182,      320,       92,        125,       500,       138,       320,       48,        175,       50,        135
183,      319,       91,        125,       500,       135,       318,       47,        171,       49,        75
182,      319,       92,        125,       499,       135,       319,       47,        172,       48,        75
182,      321,       91,        125,       500,       136,       318,       47,        174,       49,        100
182,      319,       91,        124,       498,       135,       317,       47,        172,       49,        55
181,      321,       90,        124,       500,       137,       319,       46,        175,       49,        95
182,      320,       91,        125,       498,       135,       318,       48,        172,       48,        70
181,      320,       90,        124,       499,       136,       317,       46,        174,       49,        65
182,      319,       91,        125,       499,       136,       317,       48,        174,       49,        85
181,      320,       93,        125,       499,       136,       317,       48,        173,       49,        90
182,      321,       92,        125,       500,       138,       319,       48,        175,       50,        135
182,      320,       91,        125,       499,       136,       318,       47,        173,       49,        85
180,      320,       91,        124,       501,       137,       318,       46,        175,       49,        90
183,      322,       94,        126,       501,       139,       318,       48,        174,       51,        165
181,      318,       89,        123,       498,       135,       316,       45,        170,       47,        -5
181,      320,       92,        124,       499,       137,       318,       47,        173,       49,        85
179,      318,       90,        123,       498,       134,       314,       44,        170,       47,        -30
183,      321,       94,        126,       500,       137,       321,       48,        175,       51,        165
184,      322,       95,        127,       501,       138,       320,       49,        175,       51,        195
182,      319,       91,        125,       499,       136,       319,       47,        173,       49,        85
182,      321,       92,        125,       501,       137,       320,       46,        174,       50,        125
184,      322,       92,        126,       502,       139,       320,       47,        174,       52,        175
185,      323,       93,        128,       503,       140,       322,       49,        177,       51,        240
183,      321,       91,        125,       502,       137,       319,       47,        172,       49,        115
182,      322,       93,        125,       500,       137,       320,       48,        174,       51,        145
185,      324,       94,        127,       503,       139,       322,       49,        177,       51,        240
181,      318,       90,        123,       501,       134,       318,       46,        172,       47,        35
179,      319,       90,        122,       500,       134,       318,       45,        172,       48,        20
181,      319,       90,        124,       501,       135,       318,       46,        173,       48,        60
181,      321,       92,        124,       504,       137,       319,       46,        175,       49,        125
181,      320,       89,        124,       503,       135,       318,       44,        171,       48,        50
180,      319,       90,        123,       501,       134,       317,       44,        171,       48,        20
181,      320,       90,        124,       502,       136,       319,       44,        172,       48,        65
181,      319,       90,        124,       502,       134,       318,       45,        170,       46,        30
180,      319,       89,        123,       502,       134,       317,       43,        172,       46,        10
179,      319,       88,        121,       502,       134,       317,       44,        170,       47,        -10
179,      319,       91,        124,       502,       136,       318,       44,        171,       47,        40
179,      320,       89,        123,       502,       136,       319,       43,        172,       47,        35
179,      319,       89,        122,       501,       133,       316,       43,        170,       47,        -20
179,      318,       89,        123,       503,       134,       318,       44,        172,       47,        20
