0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
379,10,-64,119,
172,      325,       137,       192,       473,       280,       280,       54,        287,       85,        0
172,      325,       137,       192,       472,       279,       280,       55,        287,       85,        0
173,      327,       137,       191,       475,       281,       278,       53,        289,       86,        0
171,      326,       139,       191,       472,       282,       281,       53,        287,       87,        0
172,      325,       137,       193,       473,       280,       280,       54,        287,       86,        0
173,      326,       139,       192,       473,       281,       281,       53,        288,       88,        0
173,      325,       137,       193,       473,       280,       279,       55,        287,       85,        0
172,      325,       138,       193,       473,       280,       281,       54,        287,       85,        0
172,      325,       137,       192,       473,       280,       279,       54,        287,       85,        0
174,      325,       137,       193,       473,       280,       281,       54,        287,       86,        0
173,      326,       136,       191,       474,       280,       278,       54,        287,       85,        0
171,      325,       137,       191,       474,       281,       279,       53,        288,       85,        0
173,      325,       137,       192,       472,       280,       281,       54,        288,       85,        0
172,      327,       138,       191,       474,       282,       280,       53,        288,       87,        0
174,      325,       137,       192,       473,       280,       279,       55,        287,       85,        0
174,      326,       137,       192,       474,       279,       278,       55,        286,       85,        0
173,      325,       137,       192,       474,       280,       280,       55,        288,       85,        0
173,      325,       136,       191,       473,       279,       277,       53,        286,       85,        0
172,      326,       137,       191,       474,       280,       279,       53,        286,       86,        0
171,      326,       137,       190,       473,       281,       279,       52,        288,       86,        0
171,      326,       136,       190,       473,       280,       277,       52,        287,       85,        0
173,      325,       136,       191,       474,       280,       279,       54,        287,       85,        -7.5
172,      326,       137,       190,       472,       281,       280,       52,        287,       87,        -5
171,      325,       139,       191,       471,       280,       279,       53,        286,       87,        -17.5
172,      326,       138,       192,       472,       279,       280,       52,        287,       87,        0
172,      327,       138,       191,       471,       280,       279,       53,        286,       86,        -12.5
173,      325,       136,       191,       472,       277,       278,       54,        286,       84,        -45
171,      325,       138,       190,       471,       279,       279,       52,        286,       87,        -35
171,      325,       138,       192,       471,       279,       280,       52,        285,       87,        -25
171,      326,       139,       191,       470,       280,       280,       52,        287,       87,        -12.5
171,      326,       138,       190,       471,       280,       278,       52,        287,       86,        -32.5
173,      326,       137,       192,       473,       279,       279,       54,        287,       85,        0
173,      326,       137,       191,       471,       280,       280,       52,        286,       86,        -15
173,      325,       136,       191,       473,       279,       279,       55,        286,       85,        -15
172,      325,       138,       191,       471,       280,       280,       53,        287,       86,        -12.5
172,      325,       136,       190,       470,       279,       277,       53,        286,       86,        -57.5
172,      325,       137,       190,       470,       280,       278,       52,        286,       85,        -52.5
174,      324,       136,       191,       470,       278,       278,       55,        287,       84,        -40
173,      324,       137,       191,       470,       278,       276,       53,        285,       85,        -65
172,      324,       136,       191,       471,       278,       278,       54,        287,       85,        -47.5
173,      323,       136,       191,       470,       277,       277,       54,        286,       84,        -72.5
172,      323,       136,       191,       469,       278,       276,       54,        284,       85,        -85
173,      323,       135,       191,       470,       279,       277,       54,        286,       84,        -65
172,      323,       136,       189,       470,       278,       276,       53,        285,       84,        -95
172,      324,       136,       191,       469,       278,       277,       54,        285,       85,        -72.5
172,      323,       135,       190,       470,       278,       277,       53,        286,       84,        -85
170,      322,       137,       189,       467,       278,       275,       52,        284,       85,        -130
171,      323,       137,       189,       469,       278,       275,       53,        285,       85,        -100
170,      322,       137,       191,       468,       278,       278,       52,        284,       85,        -102.5
170,      324,       137,       189,       468,       279,       276,       53,        286,       85,        -92.5
170,      321,       137,       191,       466,       277,       277,       53,        283,       85,        -125
172,      322,       137,       191,       468,       277,       277,       54,        285,       85,        -85
171,      322,       136,       189,       468,       279,       275,       53,        285,       85,        -112.5
171,      322,       135,       190,       469,       277,       275,       53,        286,       84,        -115
171,      322,       136,       191,       467,       278,       278,       53,        285,       85,        -97.5
170,      323,       138,       189,       466,       280,       276,       52,        284,       86,        -107.5
171,      322,       136,       190,       469,       278,       276,       55,        286,       84,        -92.5
170,      322,       137,       190,       467,       278,       277,       52,        285,       85,        -110
171,      324,       136,       189,       469,       279,       275,       52,        285,       85,        -100
171,      324,       136,       191,       471,       279,       277,       53,        287,       85,        -55
170,      322,       137,       191,       468,       279,       277,       52,        285,       85,        -97.5
172,      325,       137,       189,       470,       280,       277,       52,        285,       87,        -57.5
173,      324,       137,       190,       471,       280,       278,       54,        287,       85,        -32.5
173,      323,       135,       191,       471,       278,       277,       54,        285,       84,        -70
172,      323,       136,       191,       470,       278,       277,       53,        285,       84,        -80
