0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
380,10,-49,121,
108,      210,       78,        102,       392,       304,       165,       57,        158,       28,        0
108,      210,       78,        103,       389,       305,       162,       58,        156,       28,        0
107,      210,       78,        103,       390,       304,       162,       58,        156,       29,        0
107,      212,       78,        103,       390,       304,       165,       58,        159,       27,        0
108,      210,       77,        103,       389,       305,       162,       59,        156,       28,        0
106,      212,       76,        105,       389,       306,       163,       58,        156,       28,        0
108,      210,       76,        103,       389,       305,       162,       59,        156,       28,        0
107,      212,       76,        104,       390,       305,       162,       58,        156,       28,        0
108,      211,       78,        102,       391,       303,       165,       57,        159,       27,        0
108,      209,       78,        102,       391,       304,       165,       57,        158,       26,        0
106,      212,       77,        104,       389,       305,       163,       58,        158,       27,        0
107,      212,       76,        104,       390,       304,       164,       58,        158,       27,        0
108,      210,       77,        102,       389,       304,       163,       59,        156,       28,        0
108,      210,       78,        103,       391,       304,       162,       58,        156,       27,        0
107,      213,       76,        104,       388,       305,       163,       59,        157,       28,        0
106,      211,       77,        103,       389,       303,       163,       57,        157,       28,        0
108,      211,       79,        102,       390,       304,       164,       57,        158,       28,        0
108,      211,       77,        103,       390,       303,       163,       58,        157,       28,        0
107,      209,       78,        103,       391,       302,       162,       57,        157,       28,        0
107,      210,       77,        103,       388,       304,       162,       58,        156,       29,        0
108,      210,       77,        103,       388,       303,       162,       59,        155,       27,        0
108,      208,       77,        102,       388,       302,       162,       57,        157,       27,        0
107,      212,       76,        104,       387,       304,       162,       58,        158,       27,        0
108,      210,       78,        102,       389,       304,       165,       57,        159,       28,        0
108,      210,       78,        102,       389,       303,       164,       57,        158,       28,        0
106,      210,       77,        103,       387,       304,       161,       58,        156,       28,        0
106,      211,       76,        104,       387,       304,       163,       58,        157,       28,        0
108,      211,       77,        103,       388,       303,       163,       59,        158,       29,        0
106,      210,       76,        103,       386,       304,       161,       60,        156,       28,        0
106,      211,       77,        104,       388,       303,       162,       58,        158,       27,        0
108,      210,       78,        102,       389,       303,       163,       58,        159,       27,        0
106,      211,       77,        103,       387,       303,       161,       58,        156,       28,        -40
107,      211,       76,        104,       388,       305,       162,       58,        157,       28,        -10
107,      210,       77,        102,       387,       304,       161,       59,        155,       28,        -40
108,      210,       77,        102,       389,       303,       163,       58,        157,       27,        -20
106,      212,       77,        103,       388,       304,       162,       58,        158,       28,        -10
108,      209,       77,        102,       390,       303,       163,       57,        158,       26,        -25
108,      210,       78,        102,       391,       304,       165,       57,        160,       27,        20
107,      209,       77,        103,       388,       305,       163,       58,        157,       28,        -15
106,      210,       76,        103,       388,       305,       161,       59,        155,       28,        -35
106,      210,       76,        103,       388,       305,       161,       59,        156,       29,        -25
107,      211,       76,        103,       388,       305,       161,       59,        157,       28,        -15
107,      208,       77,        102,       388,       304,       161,       57,        157,       26,        -55
105,      209,       76,        102,       388,       303,       161,       57,        156,       26,        -75
106,      210,       76,        103,       388,       305,       161,       58,        158,       27,        -30
105,      209,       76,        104,       387,       304,       161,       57,        156,       27,        -60
106,      207,       77,        103,       386,       304,       160,       59,        153,       28,        -75
108,      207,       78,        101,       387,       304,       162,       58,        157,       27,        -45
105,      209,       76,        104,       386,       304,       159,       59,        156,       27,        -65
106,      210,       77,        102,       387,       305,       160,       59,        157,       29,        -30
105,      210,       76,        103,       386,       303,       161,       58,        158,       28,        -50
107,      207,       77,        101,       386,       303,       160,       58,        155,       28,        -80
106,      209,       76,        103,       386,       303,       161,       57,        158,       27,        -60
106,      208,       77,        102,       387,       303,       160,       58,        156,       27,        -70
106,      207,       76,        102,       387,       303,       159,       58,        155,       28,        -85
107,      208,       77,        102,       387,       303,       160,       59,        156,       29,        -50
