0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-64,120,
171,      333,       247,       196,       385,       379,       277,       96,        259,       103,       0
171,      332,       247,       197,       385,       379,       276,       95,        258,       103,       0
171,      333,       248,       197,       386,       380,       278,       95,        260,       102,       0
171,      334,       247,       197,       386,       380,       278,       95,        259,       103,       0
171,      334,       248,       197,       387,       379,       277,       95,        259,       103,       0
172,      334,       246,       197,       388,       380,       279,       96,        261,       104,       0
171,      333,       246,       197,       388,       379,       277,       96,        259,       103,       0
172,      335,       245,       196,       388,       380,       278,       95,        260,       104,       0
171,      335,       247,       197,       388,       379,       278,       96,        260,       103,       0
172,      333,       246,       197,       388,       378,       277,       96,        260,       103,       0
172,      333,       245,       197,       388,       379,       277,       96,        260,       103,       0
171,      334,       246,       197,       387,       379,       278,       95,        261,       103,       0
172,      333,       246,       198,       386,       378,       278,       96,        260,       103,       0
172,      334,       246,       198,       388,       378,       278,       95,        260,       104,       0
173,      334,       246,       198,       388,       380,       278,       96,        261,       103,       0
171,      334,       246,       197,       387,       380,       278,       97,        260,       103,       0
171,      334,       246,       196,       387,       380,       278,       95,        259,       103,       0
172,      334,       245,       197,       389,       381,       278,       97,        260,       104,       0
172,      334,       245,       196,       388,       380,       278,       95,        261,       102,       0
171,      333,       245,       196,       387,       380,       277,       95,        260,       102,       0
171,      333,       246,       197,       388,       379,       278,       95,        260,       103,       0
172,      333,       246,       197,       387,       380,       279,       95,        261,       104,       205
171,      332,       246,       197,       387,       380,       278,       96,        260,       103,       185
170,      333,       246,       197,       386,       379,       278,       95,        259,       103,       165
170,      333,       244,       198,       386,       378,       277,       96,        259,       103,       155
170,      333,       246,       196,       387,       379,       278,       96,        261,       103,       180
171,      332,       247,       197,       386,       379,       278,       97,        261,       103,       190
171,      332,       248,       197,       387,       378,       277,       96,        260,       103,       180
171,      333,       248,       198,       387,       380,       278,       96,        260,       104,       210
173,      333,       248,       198,       387,       379,       278,       97,        262,       104,       230
171,      332,       247,       197,       385,       378,       278,       96,        260,       103,       170
172,      333,       249,       198,       387,       378,       278,       97,        260,       104,       215
172,      332,       248,       198,       386,       378,       278,       97,        261,       103,       200
172,      332,       248,       198,       387,       378,       278,       97,        261,       103,       205
171,      331,       248,       197,       385,       378,       276,       96,        260,       103,       160
170,      331,       250,       197,       385,       378,       277,       97,        258,       103,       165
171,      332,       250,       198,       386,       379,       278,       97,        261,       104,       215
171,      333,       250,       197,       387,       379,       278,       97,        260,       104,       215
171,      332,       249,       198,       387,       379,       276,       96,        259,       103,       185
171,      332,       251,       197,       386,       379,       277,       96,        260,       104,       200
172,      333,       250,       197,       386,       379,       277,       97,        260,       103,       205
171,      332,       251,       197,       385,       379,       276,       96,        261,       103,       190
171,      332,       251,       196,       386,       378,       276,       96,        260,       103,       180
171,      332,       250,       198,       386,       379,       278,       97,        262,       104,       220
170,      331,       249,       197,       385,       378,       277,       97,        260,       103,       170
170,      331,       249,       197,       386,       378,       276,       96,        259,       103,       160
170,      331,       249,       196,       385,       379,       278,       96,        261,       104,       180
171,      332,       249,       197,       385,       380,       277,       96,        260,       103,       185
170,      331,       248,       197,       385,       378,       276,       96,        258,       103,       145
171,      330,       249,       197,       386,       379,       275,       97,        259,       102,       160
172,      332,       247,       197,       386,       381,       278,       96,        262,       103,       205
171,      332,       248,       197,       387,       381,       278,       97,        261,       103,       210
171,      331,       248,       197,       387,       380,       276,       97,        260,       103,       185
171,      331,       247,       196,       388,       382,       277,       97,        261,       104,       205
171,      332,       247,       197,       387,       382,       277,       97,        261,       102,       200
172,      333,       248,       197,       388,       382,       277,       97,        260,       102,       215
173,      334,       247,       197,       389,       385,       278,       96,        261,       105,       260
173,      334,       247,       198,       389,       384,       279,       97,        263,       104,       275
172,      334,       248,       198,       389,       385,       278,       97,        261,       103,       260
172,      333,       247,       198,       389,       383,       278,       97,        261,       103,       240
173,      334,       248,       198,       390,       384,       279,       97,        262,       104,       280
172,      334,       249,       198,       390,       385,       279,       97,        263,       103,       285
172,      333,       248,       198,       390,       383,       279,       97,        262,       103,       260
171,      334,       249,       197,       391,       385,       278,       97,        261,       104,       270
172,      334,       249,       198,       390,       385,       280,       96,        264,       104,       295
173,      335,       247,       198,       390,       385,       279,       97,        262,       104,       285
172,      334,       248,       198,       392,       385,       278,       98,        262,       104,       290
