0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-58,118,
305,      319,       291,       268,       242,       209,       225,       276,       281,       230,       0
305,      318,       291,       267,       241,       209,       223,       274,       280,       242,       0
306,      318,       292,       269,       241,       209,       223,       275,       280,       255,       0
305,      318,       291,       268,       241,       210,       223,       274,       279,       248,       0
306,      318,       292,       268,       241,       209,       223,       274,       281,       249,       0
306,      318,       292,       268,       241,       209,       223,       275,       281,       229,       0
305,      318,       292,       268,       241,       209,       223,       274,       281,       244,       0
305,      318,       292,       269,       241,       209,       223,       275,       281,       229,       0
306,      317,       292,       269,       241,       209,       223,       274,       281,       249,       0
306,      318,       291,       268,       241,       210,       224,       275,       281,       237,       0
305,      318,       292,       268,       241,       209,       223,       274,       281,       232,       0
305,      318,       291,       268,       241,       209,       223,       273,       280,       250,       0
304,      319,       292,       269,       241,       209,       223,       275,       281,       237,       0
305,      318,       292,       269,       241,       209,       224,       274,       281,       232,       0
306,      318,       292,       268,       240,       209,       222,       274,       281,       250,       0
306,      318,       291,       268,       241,       209,       223,       274,       282,       258,       0
305,      318,       291,       268,       241,       209,       223,       274,       280,       234,       0
305,      318,       292,       268,       240,       209,       223,       273,       281,       234,       0
305,      318,       292,       269,       241,       209,       223,       274,       281,       258,       0
305,      318,       292,       269,       241,       209,       223,       274,       281,       234,       0
305,      318,       292,       268,       240,       209,       223,       273,       280,       238,       0
306,      318,       292,       268,       240,       209,       223,       274,       281,       256,       0
305,      319,       292,       268,       240,       209,       223,       275,       281,       234,       -35
305,      318,       292,       268,       241,       209,       223,       273,       280,       238,       -30
305,      318,       292,       268,       241,       209,       222,       273,       281,       250,       30
305,      319,       292,       269,       241,       209,       223,       274,       280,       234,       -35
305,      318,       292,       269,       241,       209,       223,       274,       280,       238,       -20
305,      318,       292,       268,       241,       209,       223,       274,       281,       250,       40
306,      318,       292,       268,       240,       209,       223,       273,       279,       249,       20
306,      318,       292,       269,       241,       209,       224,       274,       280,       245,       25
306,      318,       292,       268,       241,       209,       223,       274,       281,       228,       -65
306,      318,       292,       268,       241,       210,       223,       274,       281,       246,       30
306,      318,       291,       269,       241,       209,       223,       274,       280,       245,       15
306,      318,       292,       269,       242,       209,       224,       274,       281,       228,       -50
306,      319,       292,       268,       241,       209,       223,       273,       281,       253,       60
306,      319,       292,       268,       241,       209,       223,       274,       280,       242,       5
306,      318,       293,       269,       242,       209,       224,       275,       281,       240,       20
306,      318,       292,       268,       241,       209,       223,       274,       280,       255,       65
306,      319,       293,       269,       241,       209,       223,       274,       281,       249,       55
306,      320,       293,       269,       241,       209,       224,       275,       281,       241,       30
307,      318,       292,       268,       241,       209,       224,       275,       281,       230,       -40
307,      319,       293,       269,       241,       209,       224,       274,       281,       249,       65
307,      320,       293,       269,       241,       209,       224,       275,       281,       239,       25
307,      318,       293,       269,       242,       209,       225,       275,       281,       236,       10
307,      319,       293,       269,       241,       209,       224,       275,       281,       260,       125
308,      320,       293,       269,       242,       209,       225,       276,       282,       236,       35
307,      320,       293,       269,       242,       209,       224,       276,       281,       237,       25
307,      320,       293,       268,       241,       209,       224,       276,       281,       251,       85
309,      320,       293,       269,       243,       209,       226,       277,       282,       235,       50
310,      320,       294,       269,       243,       209,       226,       276,       282,       235,       55
310,      321,       293,       269,       242,       209,       225,       276,       282,       253,       135
309,      321,       293,       269,       243,       209,       226,       276,       282,       252,       135
309,      321,       293,       269,       243,       209,       225,       276,       282,       233,       35
308,      321,       293,       270,       243,       209,       225,       277,       282,       246,       105
309,      321,       293,       270,       243,       209,       226,       277,       282,       251,       140
308,      321,       294,       270,       243,       209,       226,       278,       283,       234,       65
309,      321,       294,       269,       243,       209,       226,       277,       283,       240,       90
310,      321,       293,       270,       243,       209,       226,       277,       283,       250,       145
310,      322,       294,       270,       245,       209,       227,       278,       283,       233,       90
310,      321,       294,       270,       244,       209,       226,       278,       283,       233,       75
310,      321,       294,       270,       244,       209,       226,       278,       283,       249,       155
310,      322,       294,       270,       244,       209,       228,       280,       284,       230,       90
309,      322,       295,       270,       243,       209,       227,       278,       284,       248,       160
311,      323,       294,       270,       244,       209,       227,       279,       284,       243,       155
