0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
379,10,-48,121,
312,      327,       403,       355,       244,       211,       319,       395,       365,       271,       0
312,      328,       403,       355,       244,       211,       319,       396,       366,       285,       0
311,      327,       402,       355,       243,       211,       319,       396,       366,       271,       0
311,      328,       402,       354,       244,       211,       318,       395,       366,       297,       0
312,      328,       403,       355,       244,       211,       319,       396,       366,       280,       0
311,      327,       402,       354,       244,       211,       319,       395,       366,       286,       0
312,      328,       402,       355,       244,       211,       318,       395,       365,       288,       0
311,      327,       402,       354,       244,       211,       319,       396,       366,       282,       0
312,      327,       402,       355,       244,       211,       318,       396,       366,       290,       0
312,      328,       402,       355,       244,       211,       319,       396,       366,       275,       0
311,      327,       402,       354,       243,       211,       318,       396,       366,       278,       0
311,      327,       402,       354,       244,       211,       318,       395,       367,       295,       0
312,      328,       402,       355,       245,       211,       319,       396,       366,       270,       0
312,      328,       402,       354,       244,       210,       319,       396,       366,       270,       0
310,      328,       401,       354,       243,       211,       319,       395,       366,       287,       0
312,      328,       402,       355,       245,       211,       319,       395,       367,       282,       0
312,      328,       402,       354,       244,       211,       319,       396,       366,       272,       0
311,      328,       402,       354,       244,       211,       318,       395,       366,       293,       0
312,      328,       402,       355,       244,       211,       319,       395,       366,       291,       0
311,      328,       401,       354,       244,       211,       319,       396,       367,       273,       0
312,      327,       402,       354,       244,       211,       319,       395,       366,       268,       0
311,      327,       402,       354,       244,       211,       319,       395,       366,       288,       0
312,      328,       402,       354,       243,       211,       319,       395,       366,       284,       0
311,      327,       402,       355,       244,       211,       319,       396,       366,       271,       0
311,      327,       402,       354,       243,       211,       319,       396,       366,       274,       0
312,      327,       402,       354,       245,       211,       319,       395,       366,       290,       0
312,      328,       403,       355,       245,       211,       319,       396,       367,       273,       0
311,      328,       401,       354,       245,       211,       319,       396,       367,       283,       0
311,      328,       402,       354,       244,       211,       319,       395,       367,       288,       0
312,      328,       402,       354,       245,       211,       319,       396,       367,       284,       0
311,      328,       402,       354,       244,       211,       319,       396,       367,       276,       0
311,      327,       402,       354,       243,       211,       319,       395,       366,       294,       0
311,      327,       402,       354,       244,       211,       319,       396,       366,       291,       40.937
311,      327,       402,       354,       244,       211,       320,       396,       367,       273,       -39.532
311,      327,       402,       354,       244,       211,       319,       395,       367,       283,       0
310,      327,       402,       354,       244,       211,       319,       395,       366,       280,       -25
312,      328,       402,       355,       244,       211,       319,       395,       367,       295,       75.468
312,      327,       402,       354,       244,       211,       319,       396,       367,       268,       -65
311,      327,       401,       354,       244,       211,       319,       395,       366,       295,       50.312
312,      327,       401,       354,       244,       211,       318,       395,       367,       289,       25.468
312,      327,       402,       354,       244,       211,       319,       396,       366,       274,       -40.471
311,      327,       401,       354,       244,       211,       319,       395,       367,       276,       -40.157
311,      328,       402,       354,       244,       211,       319,       395,       367,       283,       4.843
312,      327,       401,       355,       243,       211,       319,       395,       366,       289,       24.062
312,      328,       402,       354,       244,       211,       319,       396,       367,       268,       -60.783
312,      327,       401,       354,       244,       211,       319,       395,       366,       277,       -35.782
310,      327,       401,       354,       244,       211,       319,       395,       367,       282,       -13.595
