0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
380,10,-65,126,
348,      338,       288,       255,       280,       203,       250,       321,       328,       230,       0
347,      338,       289,       255,       279,       204,       250,       320,       327,       236,       0
348,      338,       288,       255,       279,       204,       251,       321,       328,       233,       0
347,      339,       288,       255,       279,       204,       251,       321,       327,       231,       0
347,      338,       288,       255,       279,       204,       249,       320,       327,       248,       0
347,      338,       288,       255,       280,       203,       250,       321,       327,       231,       0
348,      338,       287,       255,       279,       204,       251,       320,       327,       254,       0
347,      338,       288,       255,       279,       204,       251,       321,       327,       230,       0
347,      337,       288,       254,       279,       203,       250,       321,       327,       247,       0
348,      338,       288,       255,       280,       204,       250,       321,       327,       228,       0
347,      337,       288,       255,       279,       204,       250,       320,       327,       244,       0
348,      338,       287,       255,       279,       204,       250,       320,       327,       245,       0
347,      338,       288,       255,       279,       204,       250,       321,       327,       229,       0
347,      337,       287,       254,       279,       204,       251,       321,       328,       232,       0
348,      338,       288,       255,       280,       204,       251,       320,       327,       249,       0
348,      338,       288,       255,       280,       204,       251,       322,       328,       240,       0
347,      338,       287,       255,       279,       204,       251,       321,       327,       227,       0
347,      338,       287,       254,       280,       204,       251,       321,       328,       244,       0
348,      337,       287,       255,       280,       204,       251,       321,       328,       245,       0
347,      338,       288,       254,       280,       204,       250,       321,       328,       239,       0
348,      339,       288,       255,       280,       204,       250,       320,       327,       253,       0
348,      338,       288,       255,       281,       204,       251,       321,       327,       230,       -30
347,      337,       288,       254,       279,       203,       251,       322,       328,       233,       -35
347,      337,       287,       255,       280,       204,       251,       322,       327,       248,       45
348,      338,       288,       255,       280,       204,       252,       322,       328,       242,       40
347,      338,       287,       254,       280,       204,       250,       320,       327,       253,       55
347,      338,       288,       254,       279,       204,       250,       321,       328,       241,       5
348,      338,       288,       255,       280,       204,       251,       321,       328,       232,       -20
348,      338,       288,       255,       280,       204,       251,       322,       327,       232,       -20
347,      338,       288,       255,       279,       203,       250,       321,       327,       249,       40
348,      338,       288,       255,       279,       203,       250,       321,       327,       243,       15
347,      338,       288,       255,       280,       203,       251,       321,       327,       229,       -50
347,      337,       287,       254,       279,       204,       250,       321,       327,       239,       -20
347,      338,       288,       255,       279,       204,       250,       320,       327,       252,       55
347,      338,       288,       255,       279,       203,       251,       321,       328,       234,       -25
347,      338,       288,       254,       279,       204,       250,       320,       327,       240,       -10
348,      338,       288,       255,       279,       203,       250,       320,       327,       246,       25
348,      337,       288,       255,       280,       204,       251,       321,       327,       245,       35
347,      337,       287,       254,       279,       203,       250,       320,       327,       240,       -25
346,      337,       287,       254,       278,       204,       250,       320,       327,       241,       -25
348,      338,       288,       255,       279,       204,       250,       321,       327,       234,       -25
347,      337,       288,       255,       279,       204,       250,       321,       327,       230,       -55
347,      338,       288,       254,       279,       204,       250,       320,       327,       244,       10
349,      338,       288,       254,       278,       204,       250,       320,       327,       248,       35
347,      337,       287,       255,       278,       203,       250,       321,       327,       237,       -35
