0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-63,119,
313,      330,       375,       334,       255,       211,       225,       254,       289,       262,       0
315,      331,       375,       335,       255,       210,       227,       255,       291,       253,       0
314,      330,       374,       334,       254,       211,       226,       255,       289,       231,       0
314,      330,       374,       335,       255,       211,       226,       255,       288,       276,       0
317,      331,       374,       335,       256,       211,       226,       255,       290,       230,       0
315,      330,       374,       334,       254,       211,       225,       254,       288,       277,       0
316,      332,       374,       335,       256,       210,       227,       255,       291,       247,       0
314,      329,       374,       334,       253,       211,       226,       254,       289,       240,       0
316,      331,       374,       335,       256,       211,       227,       256,       291,       239,       0
313,      329,       374,       334,       255,       211,       224,       254,       288,       259,       0
316,      331,       374,       335,       255,       211,       226,       255,       289,       262,       0
314,      330,       374,       334,       254,       211,       225,       254,       290,       234,       0
313,      329,       374,       334,       254,       210,       225,       253,       288,       261,       0
316,      331,       374,       335,       256,       210,       226,       255,       290,       256,       0
314,      331,       373,       335,       255,       211,       227,       256,       290,       234,       0
314,      330,       374,       334,       254,       210,       225,       254,       289,       265,       0
314,      330,       374,       334,       254,       210,       226,       255,       290,       265,       0
314,      331,       374,       335,       256,       210,       226,       255,       290,       231,       0
314,      330,       374,       334,       254,       210,       225,       255,       290,       234,       0
315,      329,       374,       335,       255,       210,       226,       255,       288,       268,       0
316,      331,       374,       335,       255,       211,       226,       255,       291,       248,       0
314,      330,       373,       334,       254,       210,       226,       255,       290,       231,       -109.532
314,      330,       374,       334,       253,       210,       225,       254,       289,       270,       68.905
315,      331,       373,       335,       255,       210,       226,       256,       290,       245,       -16.25
314,      331,       374,       335,       255,       211,       226,       254,       289,       231,       -90.782
314,      330,       374,       334,       254,       211,       224,       253,       288,       272,       75.936
315,      330,       374,       335,       254,       211,       226,       255,       288,       270,       99.53
315,      331,       373,       335,       255,       210,       226,       254,       289,       235,       -81.564
315,      330,       374,       334,       253,       211,       225,       253,       289,       270,       74.686
315,      331,       374,       335,       255,       210,       227,       254,       289,       269,       97.654
315,      331,       374,       334,       255,       210,       226,       254,       288,       240,       -56.251
313,      329,       374,       334,       253,       211,       226,       254,       289,       248,       -42.345
315,      331,       374,       336,       256,       211,       227,       254,       289,       266,       105.155
316,      331,       374,       335,       255,       211,       227,       255,       291,       242,       -7.97
313,      330,       374,       333,       254,       211,       226,       253,       289,       257,       4.218
313,      329,       374,       334,       254,       211,       225,       253,       288,       265,       33.593
315,      330,       374,       335,       256,       210,       226,       255,       290,       235,       -67.814
315,      330,       374,       334,       254,       211,       225,       253,       290,       237,       -78.751
315,      330,       374,       334,       254,       210,       226,       254,       289,       261,       40.78
316,      331,       374,       335,       255,       211,       225,       254,       289,       266,       84.375
315,      330,       374,       334,       254,       210,       225,       255,       290,       232,       -102.189
314,      330,       374,       334,       254,       210,       225,       253,       288,       261,       19.374
316,      331,       374,       335,       255,       210,       226,       254,       290,       253,       24.218
314,      332,       374,       336,       255,       211,       227,       255,       290,       234,       -53.438
314,      330,       374,       333,       253,       211,       224,       253,       288,       277,       90.154
316,      331,       374,       335,       255,       210,       226,       255,       290,       249,       12.03
313,      331,       374,       335,       255,       211,       226,       254,       290,       230,       -95.157
314,      330,       373,       334,       253,       210,       224,       253,       288,       274,       70.154
314,      330,       374,       335,       254,       211,       226,       255,       290,       270,       102.186
316,      331,       373,       335,       255,       211,       225,       254,       289,       233,       -85.471
314,      330,       373,       333,       254,       210,       225,       254,       290,       231,       -126.095
315,      330,       373,       334,       254,       210,       226,       255,       288,       270,       83.125
316,      331,       373,       335,       254,       210,       226,       255,       290,       244,       -23.126
313,      330,       374,       334,       253,       211,       225,       254,       288,       244,       -61.096
315,      330,       374,       334,       253,       210,       224,       253,       288,       269,       54.687
315,      332,       375,       335,       255,       211,       227,       255,       290,       242,       -5.313
315,      331,       375,       335,       254,       211,       225,       254,       288,       245,       -28.438
315,      330,       375,       334,       253,       211,       225,       254,       288,       271,       86.718
315,      330,       375,       335,       254,       211,       226,       253,       288,       267,       70.624
316,      331,       375,       335,       254,       210,       225,       253,       288,       239,       -64.532
316,      330,       375,       334,       252,       211,       224,       253,       288,       265,       47.812
315,      331,       376,       335,       254,       211,       226,       253,       288,       267,       87.655
