0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
402,10,-65,118,
107,      345,       112,       142,       592,       197,       346,       94,        374,       45,        0
106,      346,       113,       140,       592,       196,       345,       95,        371,       46,        0
106,      347,       112,       142,       592,       196,       346,       95,        372,       46,        0
107,      346,       112,       141,       592,       196,       347,       94,        372,       46,        0
106,      346,       112,       141,       591,       198,       346,       94,        372,       45,        0
107,      347,       111,       141,       593,       196,       345,       94,        372,       46,        0
107,      346,       112,       141,       591,       196,       347,       95,        372,       45,        0
107,      347,       112,       142,       592,       196,       346,       94,        373,       46,        0
106,      346,       112,       141,       592,       196,       346,       95,        371,       46,        0
107,      346,       112,       142,       592,       196,       346,       95,        371,       46,        0
108,      346,       112,       142,       592,       196,       346,       95,        372,       45,        0
109,      347,       112,       141,       592,       197,       345,       94,        372,       45,        0
106,      346,       113,       141,       592,       197,       346,       94,        371,       45,        0
107,      347,       111,       142,       592,       197,       345,       95,        371,       46,        0
107,      346,       112,       141,       591,       197,       346,       94,        371,       45,        0
108,      346,       112,       142,       591,       196,       346,       94,        374,       46,        0
107,      347,       112,       142,       591,       196,       346,       94,        371,       46,        0
109,      347,       111,       142,       592,       197,       347,       94,        373,       46,        0
107,      346,       112,       141,       592,       196,       346,       94,        372,       45,        0
107,      346,       113,       141,       592,       197,       347,       94,        374,       46,        0
107,      346,       112,       141,       591,       196,       346,       95,        372,       46,        0
107,      347,       112,       141,       592,       197,       346,       95,        373,       45,        10
107,      346,       112,       142,       591,       196,       347,       95,        372,       46,        5
108,      346,       113,       141,       592,       198,       346,       94,        373,       46,        20
107,      346,       112,       141,       592,       195,       346,       95,        372,       46,        -5
107,      348,       113,       142,       592,       197,       346,       95,        373,       46,        30
107,      346,       113,       141,       591,       197,       346,       94,        372,       45,        -5
106,      348,       112,       141,       592,       197,       346,       94,        373,       46,        10
107,      347,       112,       142,       592,       196,       347,       95,        373,       46,        20
107,      347,       112,       143,       592,       196,       346,       93,        372,       46,        5
108,      347,       112,       142,       592,       197,       346,       95,        374,       46,        30
107,      346,       112,       142,       592,       195,       347,       95,        372,       45,        0
107,      347,       113,       142,       592,       198,       345,       94,        373,       45,        15
109,      347,       113,       141,       593,       197,       346,       95,        374,       46,        40
