0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
402,10,-57,116,
117,      443,       150,       208,       601,       191,       344,       101,       404,       69,        0
117,      443,       151,       208,       601,       190,       343,       102,       402,       69,        0
117,      441,       151,       208,       600,       191,       342,       102,       402,       68,        0
117,      443,       149,       209,       600,       191,       344,       100,       403,       69,        0
116,      442,       150,       208,       600,       191,       342,       101,       401,       69,        0
116,      442,       151,       207,       600,       191,       341,       100,       403,       68,        0
117,      441,       149,       209,       600,       190,       343,       100,       402,       69,        0
115,      443,       150,       208,       600,       189,       343,       101,       399,       69,        0
116,      442,       150,       207,       601,       190,       342,       101,       402,       68,        0
116,      442,       149,       207,       601,       190,       342,       101,       400,       69,        0
116,      443,       148,       208,       601,       189,       343,       100,       402,       69,        0
117,      442,       149,       209,       599,       190,       343,       100,       401,       67,        0
115,      442,       151,       208,       599,       191,       342,       100,       402,       69,        0
116,      442,       149,       208,       601,       191,       343,       100,       401,       69,        0
117,      442,       150,       209,       599,       189,       343,       101,       401,       68,        0
116,      443,       150,       209,       601,       191,       344,       100,       403,       70,        0
118,      442,       150,       209,       600,       190,       343,       101,       402,       69,        0
116,      442,       151,       209,       600,       192,       342,       102,       403,       69,        0
117,      442,       150,       210,       601,       191,       344,       101,       403,       69,        0
117,      442,       149,       209,       600,       190,       343,       101,       400,       70,        0
116,      443,       150,       209,       601,       191,       343,       102,       403,       70,        0
116,      443,       150,       209,       600,       191,       343,       101,       402,       69,        0
118,      442,       150,       208,       599,       192,       342,       101,       404,       68,        0
117,      443,       149,       208,       603,       191,       343,       102,       403,       70,        40
116,      442,       151,       208,       600,       191,       342,       101,       402,       67,        -5
117,      442,       151,       207,       602,       191,       342,       103,       403,       68,        25
117,      441,       151,       208,       600,       191,       342,       101,       403,       68,        5
117,      443,       149,       209,       600,       190,       343,       100,       404,       69,        15
117,      444,       149,       208,       602,       191,       344,       101,       404,       69,        40
117,      442,       150,       208,       601,       190,       343,       101,       402,       69,        10
116,      443,       150,       208,       601,       191,       344,       101,       404,       69,        30
117,      444,       149,       208,       601,       191,       343,       100,       403,       68,        15
117,      443,       149,       208,       602,       190,       343,       101,       404,       69,        25
117,      444,       149,       208,       603,       191,       344,       101,       403,       70,        45
116,      444,       149,       208,       602,       190,       343,       102,       401,       70,        20
117,      442,       150,       208,       603,       192,       342,       102,       404,       68,        35
116,      444,       151,       207,       602,       191,       343,       101,       403,       70,        35
117,      442,       150,       208,       601,       192,       342,       101,       405,       67,        20
117,      445,       149,       209,       604,       190,       344,       101,       406,       69,        65
116,      443,       150,       207,       603,       191,       342,       102,       403,       68,        20
116,      443,       150,       207,       605,       191,       343,       102,       404,       69,        45
116,      443,       150,       208,       603,       189,       344,       101,       404,       68,        25
117,      443,       149,       208,       602,       190,       343,       100,       405,       69,        25
117,      444,       151,       207,       604,       192,       343,       102,       404,       68,        55
116,      443,       150,       207,       603,       190,       343,       101,       404,       68,        20
116,      444,       149,       208,       604,       191,       344,       101,       405,       69,        50
117,      445,       149,       208,       602,       190,       344,       100,       405,       69,        40
116,      444,       150,       207,       604,       191,       343,       101,       404,       68,        35
115,      444,       149,       207,       606,       191,       343,       102,       405,       69,        50
117,      442,       149,       208,       603,       192,       343,       101,       405,       68,        35
116,      444,       148,       209,       605,       191,       345,       101,       404,       70,        60
116,      444,       149,       207,       604,       191,       344,       101,       405,       70,        50
115,      444,       149,       207,       605,       191,       344,       101,       404,       69,        40
118,      443,       149,       208,       605,       192,       344,       101,       408,       68,        75
116,      443,       149,       207,       605,       192,       343,       101,       406,       69,        50
116,      442,       149,       207,       607,       192,       344,       101,       407,       68,        60
115,      445,       149,       207,       607,       191,       344,       101,       406,       69,        65
115,      443,       148,       209,       606,       190,       345,       100,       406,       68,        45
115,      444,       149,       206,       608,       192,       343,       102,       406,       67,        55
115,      443,       149,       206,       608,       191,       343,       101,       406,       68,        45
114,      443,       149,       208,       608,       192,       345,       100,       406,       68,        60
117,      442,       150,       207,       608,       192,       343,       101,       407,       67,        65
115,      442,       149,       206,       608,       192,       343,       101,       406,       67,        40
115,      442,       149,       206,       609,       194,       343,       100,       408,       67,        60
116,      442,       148,       207,       609,       191,       344,       100,       407,       68,        55
115,      443,       148,       206,       611,       193,       344,       101,       407,       68,        75
116,      444,       148,       206,       610,       193,       344,       100,       409,       67,        80
116,      442,       148,       207,       610,       193,       344,       100,       409,       67,        75
