0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-51,115,
148,      280,       234,       131,       416,       418,       234,       82,        197,       87,        0
147,      280,       233,       130,       415,       417,       234,       82,        196,       87,        0
147,      278,       234,       131,       414,       416,       233,       82,        195,       86,        0
147,      279,       234,       130,       415,       418,       235,       81,        198,       86,        0
146,      278,       234,       131,       413,       417,       233,       81,        196,       87,        0
146,      278,       235,       131,       413,       416,       235,       82,        198,       87,        0
146,      278,       234,       130,       412,       417,       234,       81,        197,       87,        0
146,      277,       233,       131,       414,       414,       233,       82,        196,       86,        0
147,      277,       233,       131,       412,       414,       233,       82,        197,       87,        0
146,      277,       234,       131,       411,       414,       233,       82,        195,       87,        0
147,      278,       234,       130,       412,       414,       234,       82,        195,       87,        0
147,      277,       233,       131,       411,       412,       234,       83,        196,       85,        0
146,      277,       234,       130,       411,       413,       233,       81,        195,       86,        0
147,      277,       233,       131,       411,       412,       233,       82,        196,       86,        0
147,      277,       233,       130,       411,       413,       233,       82,        197,       86,        0
146,      276,       235,       131,       409,       412,       234,       82,        195,       86,        0
146,      276,       235,       131,       409,       413,       233,       81,        196,       87,        0
147,      276,       234,       131,       410,       412,       233,       83,        196,       86,        0
144,      276,       234,       131,       409,       413,       234,       81,        195,       87,        0
146,      276,       233,       131,       410,       412,       232,       82,        194,       86,        0
147,      277,       233,       130,       411,       413,       233,       82,        197,       86,        0
147,      276,       233,       131,       410,       413,       233,       83,        195,       86,        0
145,      277,       235,       130,       409,       413,       233,       82,        193,       87,        0
146,      276,       234,       131,       410,       412,       233,       82,        194,       87,        0
147,      277,       233,       130,       412,       413,       232,       82,        195,       86,        0
146,      276,       234,       131,       410,       413,       233,       83,        196,       86,        0
146,      277,       233,       130,       411,       413,       232,       82,        195,       86,        0
146,      276,       235,       132,       411,       413,       234,       82,        194,       87,        0
147,      278,       234,       130,       413,       415,       233,       81,        196,       86,        0
147,      277,       234,       131,       411,       414,       235,       82,        196,       86,        25
147,      277,       233,       131,       412,       414,       234,       82,        196,       86,        20
147,      277,       233,       132,       412,       413,       232,       83,        196,       86,        15
146,      277,       235,       131,       411,       414,       235,       82,        197,       88,        40
146,      277,       233,       132,       410,       413,       233,       82,        196,       85,        -5
146,      276,       233,       131,       410,       413,       233,       82,        195,       86,        -15
146,      276,       234,       131,       410,       414,       235,       81,        195,       87,        5
