0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-65,126,
318,      391,       264,       275,       242,       438,       214,       239,       302,       219,       0
317,      390,       264,       274,       241,       438,       214,       240,       304,       215,       0
316,      390,       264,       274,       242,       438,       214,       240,       303,       221,       0
318,      391,       263,       274,       241,       438,       214,       240,       303,       217,       0
317,      390,       263,       274,       240,       437,       213,       238,       302,       223,       0
318,      391,       265,       274,       242,       438,       214,       240,       302,       215,       0
317,      389,       264,       274,       241,       437,       214,       239,       302,       221,       0
318,      391,       264,       274,       241,       437,       214,       240,       303,       217,       0
317,      389,       263,       274,       240,       436,       213,       238,       301,       220,       0
318,      390,       264,       275,       241,       437,       214,       239,       302,       216,       0
319,      390,       265,       274,       241,       438,       214,       239,       302,       217,       0
316,      389,       264,       274,       241,       437,       213,       239,       302,       219,       0
318,      391,       264,       272,       241,       437,       213,       239,       302,       229,       0
319,      390,       264,       273,       242,       438,       215,       241,       302,       219,       0
317,      390,       264,       274,       241,       438,       213,       239,       302,       220,       0
318,      389,       263,       274,       241,       437,       214,       239,       302,       217,       0
318,      390,       264,       274,       241,       438,       213,       239,       302,       220,       0
318,      389,       264,       275,       240,       437,       213,       239,       302,       215,       0
317,      389,       265,       273,       240,       438,       213,       238,       302,       221,       0
318,      391,       263,       274,       241,       438,       214,       239,       302,       219,       0
318,      391,       264,       275,       242,       438,       214,       239,       302,       218,       0
317,      389,       263,       274,       241,       437,       213,       239,       302,       220,       -15
318,      389,       265,       274,       241,       438,       215,       239,       301,       231,       65
319,      390,       264,       273,       242,       438,       213,       239,       303,       215,       -10
317,      389,       263,       274,       241,       438,       214,       239,       302,       218,       -15
319,      390,       264,       274,       243,       439,       213,       239,       302,       220,       25
318,      390,       265,       274,       241,       440,       214,       239,       303,       214,       0
317,      390,       263,       273,       241,       439,       213,       239,       302,       229,       40
320,      390,       265,       274,       241,       440,       214,       239,       302,       217,       20
321,      391,       265,       275,       242,       441,       215,       240,       302,       220,       70
319,      390,       263,       273,       241,       440,       213,       239,       302,       218,       0
319,      390,       264,       274,       241,       440,       213,       239,       301,       221,       20
320,      391,       264,       274,       242,       441,       214,       241,       302,       224,       75
319,      390,       264,       274,       242,       442,       214,       240,       302,       217,       30
320,      390,       264,       274,       241,       442,       213,       240,       302,       221,       45
320,      391,       265,       275,       242,       443,       215,       241,       303,       223,       100
