0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
379,10,-65,126,
314,      348,       227,       237,       266,       209,       210,       210,       273,       220,       0
314,      348,       227,       237,       264,       209,       209,       212,       273,       231,       0
314,      348,       226,       237,       265,       209,       210,       212,       273,       221,       0
314,      348,       227,       237,       264,       209,       209,       210,       273,       232,       0
314,      349,       227,       237,       264,       209,       210,       211,       273,       234,       0
314,      348,       228,       237,       265,       208,       209,       211,       272,       232,       0
315,      348,       227,       237,       264,       209,       210,       210,       272,       235,       0
314,      348,       227,       236,       264,       208,       209,       210,       272,       230,       0
316,      348,       228,       237,       265,       209,       210,       211,       273,       236,       0
314,      348,       227,       237,       264,       209,       209,       211,       272,       232,       0
315,      348,       227,       237,       264,       209,       210,       211,       273,       237,       0
314,      349,       227,       237,       265,       209,       210,       212,       272,       225,       0
314,      348,       226,       237,       264,       209,       209,       211,       273,       222,       0
315,      348,       227,       237,       265,       209,       210,       211,       273,       236,       0
314,      348,       227,       238,       265,       209,       209,       211,       273,       228,       0
314,      349,       226,       237,       265,       209,       209,       211,       273,       221,       0
314,      348,       227,       236,       265,       209,       209,       211,       273,       241,       0
314,      350,       228,       237,       265,       209,       209,       211,       273,       237,       0
315,      348,       227,       237,       265,       209,       209,       211,       273,       225,       0
313,      348,       227,       237,       265,       209,       209,       211,       273,       222,       0
314,      347,       226,       237,       264,       208,       209,       211,       274,       240,       0
315,      348,       227,       237,       265,       209,       210,       212,       273,       230,       15
314,      348,       227,       237,       264,       209,       209,       210,       273,       220,       -60
314,      348,       227,       237,       265,       208,       209,       211,       273,       232,       5
315,      348,       227,       237,       265,       209,       209,       211,       273,       238,       45
315,      348,       227,       237,       265,       209,       210,       211,       273,       229,       5
314,      347,       227,       237,       265,       208,       210,       211,       273,       225,       -30
315,      348,       226,       237,       265,       209,       210,       212,       273,       226,       -10
315,      348,       227,       237,       265,       209,       209,       212,       273,       221,       -35
314,      349,       227,       237,       264,       210,       210,       210,       273,       235,       30
314,      348,       226,       237,       264,       209,       209,       211,       273,       238,       30
315,      348,       228,       237,       264,       209,       209,       211,       273,       222,       -35
315,      348,       227,       237,       265,       209,       209,       210,       273,       223,       -35
315,      349,       227,       236,       264,       208,       209,       210,       273,       236,       20
315,      348,       227,       237,       265,       209,       210,       211,       274,       227,       0
315,      348,       227,       237,       265,       208,       210,       211,       273,       222,       -35
315,      348,       227,       237,       264,       209,       209,       210,       272,       234,       10
316,      348,       227,       237,       265,       209,       209,       211,       273,       231,       15
315,      349,       227,       237,       264,       208,       209,       211,       273,       224,       -30
315,      348,       227,       237,       264,       209,       209,       211,       272,       232,       5
315,      348,       227,       237,       264,       208,       209,       210,       272,       240,       35
316,      349,       227,       237,       265,       209,       210,       211,       274,       225,       0
315,      348,       226,       237,       264,       208,       210,       210,       273,       222,       -50
315,      348,       227,       237,       264,       209,       209,       210,       273,       234,       15
316,      349,       228,       238,       264,       209,       209,       211,       273,       234,       40
315,      349,       227,       237,       264,       209,       210,       211,       273,       222,       -30
315,      349,       227,       237,       264,       208,       210,       210,       272,       232,       5
315,      349,       228,       237,       264,       209,       209,       211,       273,       238,       50
316,      349,       228,       237,       265,       209,       210,       210,       273,       225,       -5
316,      349,       227,       237,       264,       209,       209,       211,       274,       221,       -30
315,      349,       227,       237,       264,       209,       209,       210,       273,       238,       40
316,      349,       228,       238,       265,       209,       209,       211,       273,       230,       25
316,      349,       226,       237,       264,       208,       209,       211,       273,       220,       -50
316,      348,       227,       237,       264,       209,       209,       210,       273,       233,       15
316,      349,       228,       238,       265,       209,       210,       211,       273,       237,       65
317,      349,       227,       237,       264,       209,       209,       211,       273,       225,       -10
315,      349,       227,       238,       265,       209,       209,       211,       273,       224,       -15
316,      349,       227,       238,       264,       209,       210,       210,       273,       236,       45
317,      349,       227,       237,       264,       209,       209,       211,       273,       229,       10
315,      348,       227,       237,       265,       209,       209,       210,       273,       234,       20
315,      349,       227,       238,       264,       209,       209,       211,       273,       231,       15
316,      349,       228,       238,       264,       209,       209,       211,       274,       225,       0
316,      350,       227,       238,       264,       208,       209,       211,       274,       225,       -5
316,      349,       226,       237,       264,       209,       210,       210,       273,       237,       40
316,      349,       228,       238,       265,       209,       210,       211,       273,       237,       65
316,      349,       227,       238,       265,       208,       210,       211,       273,       220,       -30
317,      349,       227,       238,       265,       209,       210,       210,       273,       232,       35
317,      350,       227,       238,       264,       209,       209,       211,       273,       236,       55
317,      350,       228,       238,       265,       209,       210,       211,       273,       241,       95
316,      349,       227,       238,       265,       209,       210,       211,       273,       224,       -5
316,      349,       226,       238,       263,       209,       209,       210,       273,       225,       -25
317,      350,       227,       239,       264,       209,       209,       211,       274,       233,       50
317,      350,       227,       239,       265,       209,       210,       211,       274,       220,       -5
316,      350,       227,       238,       264,       208,       210,       210,       273,       235,       40
316,      350,       228,       238,       264,       209,       209,       211,       273,       233,       40
317,      350,       228,       238,       264,       208,       209,       211,       274,       223,       -5
316,      350,       227,       238,       264,       209,       210,       210,       274,       228,       15
317,      351,       228,       238,       264,       208,       210,       210,       273,       239,       75
317,      351,       228,       239,       265,       208,       210,       212,       273,       228,       40
317,      351,       228,       239,       264,       209,       210,       211,       274,       223,       15
316,      350,       228,       238,       264,       208,       209,       210,       273,       240,       65
318,      350,       228,       239,       265,       209,       210,       211,       274,       237,       90
317,      351,       228,       239,       265,       209,       210,       211,       274,       225,       30
316,      350,       227,       238,       264,       209,       210,       211,       273,       222,       -15
317,      351,       228,       239,       264,       209,       209,       210,       273,       236,       65
318,      351,       228,       239,       265,       209,       210,       211,       273,       231,       60
317,      350,       228,       239,       264,       209,       210,       210,       274,       222,       0
318,      351,       228,       239,       264,       208,       210,       211,       273,       230,       45
317,      350,       228,       239,       264,       209,       209,       211,       274,       239,       85
317,      351,       229,       240,       265,       209,       210,       211,       274,       227,       50
318,      350,       228,       239,       264,       209,       209,       210,       273,       236,       65
317,      351,       228,       239,       264,       209,       209,       211,       273,       233,       55
319,      351,       229,       239,       265,       208,       210,       211,       274,       222,       25
317,      352,       228,       239,       265,       209,       210,       211,       274,       232,       70
317,      350,       228,       239,       264,       208,       209,       211,       274,       239,       80
318,      352,       228,       239,       265,       209,       209,       211,       273,       224,       25
317,      351,       228,       240,       265,       209,       209,       211,       274,       221,       10
317,      351,       228,       240,       264,       208,       209,       210,       273,       235,       60
318,      351,       228,       239,       264,       209,       209,       210,       273,       234,       60
318,      352,       229,       239,       265,       209,       209,       211,       274,       223,       30
317,      351,       228,       240,       265,       209,       209,       210,       274,       227,       35
318,      351,       228,       240,       264,       209,       208,       210,       273,       238,       80
318,      351,       228,       240,       265,       209,       210,       211,       274,       228,       55
318,      351,       228,       239,       265,       208,       209,       211,       274,       221,       5
317,      351,       228,       239,       265,       209,       210,       210,       273,       233,       60
318,      351,       229,       241,       264,       209,       209,       211,       273,       233,       75
318,      352,       229,       241,       265,       209,       209,       212,       274,       224,       50
317,      351,       228,       240,       265,       209,       209,       211,       273,       237,       85
317,      352,       228,       240,       265,       209,       210,       211,       274,       239,       110
317,      352,       229,       241,       265,       209,       210,       211,       274,       237,       110
