0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-65,126,
307,      334,       226,       243,       251,       210,       210,       224,       268,       228,       0
307,      334,       226,       243,       250,       210,       210,       225,       267,       244,       0
307,      334,       226,       243,       251,       210,       210,       225,       268,       227,       0
308,      335,       226,       242,       251,       210,       210,       224,       269,       244,       0
307,      335,       226,       243,       251,       209,       210,       225,       269,       229,       0
307,      334,       226,       242,       250,       209,       210,       224,       269,       252,       0
308,      334,       225,       243,       251,       209,       210,       225,       269,       227,       0
307,      334,       226,       242,       251,       209,       210,       225,       269,       245,       0
307,      335,       226,       243,       251,       210,       210,       225,       268,       241,       0
308,      334,       226,       243,       251,       209,       210,       224,       269,       234,       0
308,      334,       226,       243,       251,       210,       210,       224,       268,       241,       0
308,      335,       226,       243,       252,       210,       210,       225,       269,       241,       0
307,      334,       226,       242,       251,       210,       210,       225,       269,       226,       0
308,      334,       226,       243,       251,       210,       210,       224,       269,       237,       0
307,      336,       226,       243,       251,       210,       210,       225,       269,       240,       0
307,      334,       226,       242,       252,       210,       211,       225,       269,       227,       0
307,      334,       226,       242,       251,       209,       210,       223,       269,       247,       0
307,      334,       226,       242,       252,       209,       210,       225,       269,       239,       0
307,      335,       226,       242,       251,       209,       210,       225,       269,       224,       0
307,      334,       226,       243,       251,       209,       210,       224,       269,       225,       0
307,      334,       226,       243,       252,       210,       211,       225,       269,       238,       0
307,      334,       226,       243,       252,       210,       210,       225,       269,       238,       25.312
308,      335,       226,       242,       251,       209,       210,       224,       269,       224,       -55.158
308,      335,       227,       243,       252,       210,       210,       225,       269,       244,       70.936
308,      335,       226,       242,       251,       210,       210,       225,       269,       235,       10.623
308,      334,       226,       242,       251,       209,       210,       225,       270,       225,       -45.471
308,      335,       226,       242,       251,       209,       210,       225,       269,       249,       75
308,      336,       227,       243,       251,       209,       210,       225,       270,       232,       9.687
308,      335,       226,       243,       252,       209,       210,       225,       270,       227,       -20.47
308,      335,       226,       242,       251,       210,       210,       224,       269,       242,       40.155
308,      335,       226,       242,       251,       209,       210,       225,       270,       233,       .935
308,      335,       226,       242,       252,       210,       210,       225,       270,       227,       -19.532
308,      335,       226,       242,       251,       209,       210,       226,       269,       227,       -29.376
309,      335,       226,       243,       252,       209,       210,       226,       270,       251,       109.529
308,      335,       226,       242,       252,       209,       210,       226,       269,       231,       -4.844
309,      334,       226,       243,       252,       210,       210,       225,       269,       229,       -10.313
309,      336,       226,       243,       252,       210,       210,       225,       269,       244,       75.155
309,      336,       226,       243,       253,       210,       210,       226,       269,       229,       10.155
309,      336,       226,       243,       252,       209,       210,       225,       269,       230,       -.313
310,      336,       226,       243,       252,       210,       210,       225,       269,       244,       79.843
309,      336,       226,       243,       253,       210,       210,       226,       270,       229,       15.468
310,      337,       226,       243,       253,       209,       210,       225,       270,       232,       29.687
309,      336,       226,       243,       253,       210,       210,       225,       270,       242,       74.843
310,      337,       226,       244,       254,       210,       210,       226,       270,       243,       105.819
310,      337,       226,       243,       253,       209,       211,       226,       270,       239,       75.155
310,      337,       226,       243,       253,       210,       210,       226,       271,       236,       65.155
311,      337,       226,       243,       253,       209,       210,       226,       270,       240,       79.882
311,      337,       226,       243,       254,       210,       210,       227,       272,       226,       34.882
310,      337,       226,       243,       254,       210,       210,       226,       270,       239,       80
311,      337,       226,       243,       253,       210,       210,       226,       270,       241,       90.311
311,      338,       226,       243,       254,       209,       210,       227,       271,       225,       25.311
311,      338,       227,       243,       254,       209,       210,       226,       270,       240,       95.468
312,      337,       226,       244,       254,       209,       210,       227,       271,       239,       99.843
312,      338,       226,       243,       255,       209,       210,       227,       271,       237,       95.155
311,      338,       227,       243,       254,       209,       210,       226,       271,       226,       29.529
311,      337,       226,       243,       254,       209,       210,       226,       270,       243,       101.249
312,      338,       226,       244,       254,       209,       210,       227,       271,       234,       80
311,      338,       226,       243,       254,       209,       210,       226,       270,       231,       44.997
312,      338,       227,       243,       254,       210,       210,       226,       270,       243,       120.467
312,      338,       227,       244,       254,       209,       210,       228,       272,       233,       90.311
312,      338,       227,       243,       255,       210,       211,       228,       271,       227,       65
312,      339,       227,       243,       254,       210,       210,       227,       271,       244,       139.375
313,      339,       226,       244,       255,       210,       210,       228,       272,       234,       110.468
312,      339,       227,       243,       255,       209,       210,       227,       271,       228,       59.686
313,      339,       227,       244,       255,       210,       210,       227,       271,       243,       149.686
313,      339,       227,       244,       254,       211,       210,       227,       271,       235,       109.529
314,      339,       227,       244,       254,       210,       210,       227,       271,       241,       140
313,      339,       226,       243,       255,       210,       210,       227,       271,       228,       65.975
313,      340,       227,       244,       255,       210,       210,       227,       271,       245,       164.218
313,      339,       227,       244,       255,       210,       210,       227,       272,       230,       90
313,      339,       226,       243,       255,       210,       210,       227,       271,       228,       65.31
313,      340,       227,       244,       255,       210,       211,       227,       271,       245,       169.529
314,      340,       227,       244,       255,       209,       211,       228,       271,       230,       100.35
313,      339,       227,       244,       255,       209,       210,       227,       271,       232,       90.975
314,      340,       227,       244,       255,       210,       210,       227,       271,       243,       160.467
314,      340,       227,       244,       255,       210,       210,       228,       271,       230,       100.155
314,      340,       227,       244,       255,       210,       210,       227,       271,       235,       120
314,      340,       227,       244,       254,       209,       210,       227,       271,       245,       160.623
315,      340,       227,       245,       255,       210,       210,       228,       272,       228,       104.257
315,      341,       227,       244,       255,       210,       210,       227,       272,       229,       105
314,      341,       227,       244,       255,       209,       210,       227,       271,       244,       165.623
315,      341,       227,       244,       255,       210,       210,       227,       271,       243,       170.195
315,      340,       227,       244,       255,       209,       211,       228,       271,       228,       95.779
315,      340,       227,       244,       255,       209,       210,       227,       271,       236,       125.467
315,      341,       227,       244,       255,       210,       210,       228,       271,       242,       169.686
316,      341,       227,       244,       255,       209,       210,       228,       272,       228,       105.156
315,      341,       227,       244,       255,       210,       210,       227,       271,       239,       151.287
316,      341,       227,       245,       255,       210,       210,       227,       271,       245,       190.039
316,      342,       227,       245,       256,       210,       210,       227,       272,       227,       115.311
316,      342,       227,       244,       255,       209,       210,       227,       271,       226,       90.311
315,      341,       227,       245,       254,       210,       210,       227,       270,       241,       155.311
315,      342,       227,       244,       255,       210,       210,       228,       271,       227,       100.467
316,      342,       227,       245,       255,       210,       210,       228,       272,       225,       104.53
315,      342,       227,       245,       254,       209,       210,       228,       272,       243,       179.725
