0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-65,126,
308,      330,       221,       233,       256,       209,       210,       223,       270,       224,       0
308,      329,       220,       232,       256,       210,       210,       223,       269,       238,       0
308,      330,       221,       232,       256,       209,       210,       224,       269,       226,       0
308,      329,       220,       232,       255,       209,       210,       223,       269,       224,       0
308,      330,       221,       232,       255,       209,       210,       223,       267,       228,       0
308,      329,       221,       232,       256,       209,       210,       223,       269,       227,       0
309,      329,       220,       232,       256,       209,       210,       224,       270,       238,       0
308,      330,       221,       233,       257,       209,       210,       223,       269,       226,       0
308,      330,       221,       232,       255,       209,       210,       223,       269,       243,       0
308,      330,       220,       233,       256,       210,       210,       224,       269,       227,       0
308,      330,       220,       233,       257,       209,       209,       223,       269,       224,       0
308,      330,       220,       233,       255,       209,       210,       223,       269,       238,       0
308,      330,       221,       233,       256,       209,       210,       224,       270,       227,       0
308,      329,       221,       232,       256,       209,       210,       223,       269,       223,       0
308,      330,       221,       233,       256,       209,       210,       222,       269,       221,       0
309,      330,       221,       232,       256,       209,       209,       223,       269,       228,       0
308,      330,       221,       232,       256,       209,       210,       223,       269,       236,       0
308,      330,       221,       232,       255,       209,       210,       222,       269,       221,       0
308,      330,       221,       233,       256,       209,       210,       223,       269,       239,       0
309,      330,       221,       232,       256,       209,       210,       223,       269,       229,       0
309,      330,       220,       233,       255,       209,       210,       222,       268,       221,       0
309,      330,       221,       233,       255,       209,       210,       224,       269,       229,       5.624
308,      330,       220,       233,       256,       208,       210,       223,       269,       220,       -55.313
310,      329,       221,       232,       255,       209,       210,       222,       268,       220,       -59.532
309,      331,       221,       232,       256,       209,       210,       223,       269,       229,       4.687
309,      331,       221,       233,       257,       210,       210,       223,       269,       231,       30.468
309,      330,       220,       233,       256,       209,       210,       222,       268,       220,       -55.313
309,      329,       221,       233,       256,       209,       210,       222,       269,       234,       20.35
310,      331,       220,       233,       257,       209,       210,       223,       269,       232,       30.312
309,      331,       221,       232,       257,       209,       210,       223,       269,       223,       -20
308,      330,       221,       232,       255,       209,       210,       223,       269,       234,       15.312
309,      332,       220,       233,       256,       209,       210,       223,       269,       237,       49.687
310,      331,       221,       232,       256,       209,       210,       224,       269,       222,       -20.157
309,      331,       221,       233,       256,       210,       210,       223,       269,       234,       40.155
309,      331,       221,       233,       256,       209,       209,       223,       269,       235,       35.312
310,      331,       221,       233,       256,       209,       210,       224,       270,       241,       85.155
309,      332,       221,       232,       256,       209,       210,       223,       269,       231,       20.468
309,      331,       221,       233,       257,       210,       209,       223,       269,       242,       80.507
310,      332,       221,       233,       257,       209,       210,       224,       270,       239,       85.624
310,      331,       221,       233,       256,       210,       210,       224,       269,       231,       34.062
309,      331,       221,       233,       257,       209,       210,       223,       270,       230,       24.843
310,      332,       221,       233,       257,       209,       210,       224,       270,       224,       10
310,      332,       221,       233,       257,       209,       210,       224,       270,       225,       14.843
311,      331,       221,       232,       256,       209,       210,       223,       270,       229,       21.249
310,      332,       221,       233,       256,       209,       210,       224,       270,       237,       70
311,      331,       221,       233,       256,       209,       210,       224,       270,       227,       19.1
310,      332,       221,       233,       256,       210,       210,       223,       269,       224,       .156
310,      331,       221,       234,       256,       209,       209,       223,       269,       238,       60
310,      332,       221,       233,       255,       210,       210,       223,       267,       228,       5
310,      331,       221,       233,       255,       210,       210,       223,       265,       223,       -35
311,      332,       221,       233,       255,       210,       210,       223,       268,       238,       66.132
310,      332,       221,       233,       256,       209,       210,       224,       269,       228,       19.687
311,      333,       221,       233,       257,       209,       210,       225,       269,       227,       35.312
311,      331,       221,       233,       257,       209,       209,       224,       268,       239,       70.936
311,      333,       221,       233,       257,       209,       210,       225,       270,       228,       45
311,      334,       221,       233,       258,       209,       210,       224,       270,       229,       54.726
311,      333,       221,       233,       256,       209,       210,       223,       269,       238,       75
311,      333,       220,       234,       256,       209,       210,       224,       270,       237,       79.686
312,      333,       221,       233,       257,       209,       210,       224,       270,       222,       14.687
311,      333,       221,       233,       257,       209,       210,       224,       270,       221,       4.687
311,      333,       221,       233,       257,       209,       210,       224,       270,       236,       80.311
311,      333,       221,       234,       257,       209,       210,       225,       270,       230,       60.155
311,      334,       221,       233,       256,       209,       210,       224,       270,       222,       10.155
312,      333,       221,       233,       257,       209,       210,       223,       270,       235,       75.78
311,      334,       221,       234,       257,       209,       209,       224,       271,       230,       59.609
311,      333,       221,       234,       257,       209,       210,       224,       271,       221,       14.687
312,      333,       221,       233,       257,       209,       210,       223,       270,       236,       79.999
312,      333,       221,       233,       257,       209,       210,       223,       270,       233,       64.53
312,      333,       221,       234,       258,       209,       210,       224,       271,       221,       25.311
311,      333,       221,       234,       257,       209,       210,       223,       269,       222,       4.725
312,      333,       221,       234,       257,       209,       210,       224,       270,       233,       75.311
312,      334,       221,       234,       258,       210,       210,       224,       270,       221,       30.78
311,      333,       222,       234,       257,       209,       210,       224,       269,       234,       75.155
313,      334,       221,       233,       257,       209,       210,       225,       271,       233,       90.039
312,      334,       222,       234,       257,       209,       210,       225,       270,       235,       100.78
312,      334,       221,       233,       257,       209,       210,       223,       269,       234,       70.468
311,      333,       221,       234,       257,       209,       210,       224,       270,       233,       70
312,      334,       222,       234,       258,       209,       210,       225,       270,       233,       95
312,      334,       221,       234,       258,       209,       209,       225,       270,       223,       34.843
312,      334,       221,       234,       257,       209,       210,       224,       270,       234,       84.686
313,      334,       222,       233,       257,       209,       210,       224,       270,       237,       105
312,      334,       222,       234,       257,       210,       210,       225,       270,       223,       44.686
313,      334,       221,       234,       257,       209,       210,       224,       270,       240,       119.686
313,      334,       221,       234,       257,       209,       210,       224,       271,       235,       100.468
313,      334,       221,       234,       258,       210,       210,       225,       271,       224,       59.686
313,      334,       222,       234,       258,       210,       210,       224,       270,       234,       105.311
312,      334,       222,       234,       257,       209,       210,       224,       270,       232,       80.468
313,      335,       221,       234,       258,       209,       210,       225,       270,       224,       54.686
312,      335,       222,       234,       257,       209,       210,       223,       270,       235,       95.311
313,      335,       221,       234,       257,       209,       210,       224,       270,       233,       90
313,      335,       221,       234,       257,       209,       210,       224,       271,       224,       50
313,      335,       222,       234,       257,       210,       210,       225,       270,       225,       64.686
314,      335,       222,       234,       257,       209,       210,       224,       270,       242,       145.467
313,      336,       222,       235,       257,       209,       210,       224,       270,       237,       125
313,      335,       222,       234,       257,       209,       210,       224,       271,       223,       49.375
313,      335,       221,       234,       257,       209,       210,       223,       270,       232,       80.311
313,      336,       221,       235,       258,       209,       209,       224,       270,       236,       116.718
314,      336,       222,       235,       257,       209,       210,       225,       270,       225,       75.467
