0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-62,119,
316,      320,       226,       222,       267,       208,       208,       228,       255,       215,       0
316,      321,       226,       222,       267,       207,       207,       227,       254,       227,       0
316,      320,       226,       223,       267,       207,       208,       228,       254,       218,       0
316,      320,       226,       222,       267,       207,       208,       227,       254,       227,       0
317,      322,       226,       222,       267,       207,       208,       228,       254,       218,       0
317,      321,       226,       222,       267,       207,       208,       227,       254,       221,       0
317,      322,       225,       223,       267,       207,       208,       227,       255,       220,       0
316,      321,       226,       222,       267,       207,       208,       227,       254,       215,       0
317,      321,       226,       222,       267,       207,       208,       227,       254,       223,       0
318,      321,       226,       222,       267,       207,       208,       228,       255,       216,       0
317,      322,       226,       222,       268,       207,       208,       228,       256,       228,       0
317,      322,       226,       223,       268,       208,       208,       228,       255,       229,       0
318,      321,       226,       223,       268,       207,       208,       228,       255,       215,       0
317,      322,       226,       222,       267,       207,       207,       226,       254,       227,       0
318,      322,       226,       223,       268,       207,       208,       227,       254,       226,       0
319,      322,       226,       223,       267,       207,       208,       228,       254,       219,       0
317,      321,       226,       222,       267,       207,       208,       227,       254,       216,       0
318,      321,       226,       223,       267,       207,       208,       227,       254,       220,       0
318,      322,       226,       222,       267,       207,       208,       228,       254,       215,       0
319,      322,       226,       223,       268,       207,       208,       227,       254,       227,       0
319,      322,       226,       223,       268,       207,       208,       228,       254,       226,       0
318,      321,       226,       223,       268,       207,       207,       227,       254,       222,       5
319,      322,       227,       223,       268,       207,       208,       227,       254,       228,       55
319,      322,       226,       223,       268,       207,       208,       228,       254,       225,       40
320,      322,       226,       223,       268,       207,       208,       229,       255,       217,       15
319,      322,       226,       223,       268,       207,       208,       228,       254,       232,       75
320,      323,       226,       223,       268,       207,       208,       227,       254,       230,       70
321,      324,       226,       223,       268,       207,       208,       228,       254,       225,       60
321,      322,       226,       223,       268,       207,       208,       228,       255,       216,       10
322,      324,       226,       222,       268,       207,       208,       228,       254,       225,       60
322,      324,       226,       223,       269,       207,       208,       228,       255,       219,       45
322,      323,       226,       223,       269,       207,       208,       228,       254,       221,       45
323,      324,       226,       222,       268,       207,       208,       228,       254,       229,       85
323,      325,       227,       223,       269,       207,       208,       229,       254,       222,       75
324,      325,       227,       223,       269,       207,       208,       229,       255,       217,       60
325,      325,       226,       223,       269,       208,       208,       228,       255,       229,       120
326,      325,       227,       223,       270,       207,       208,       229,       255,       219,       85
325,      325,       226,       223,       269,       207,       208,       229,       255,       215,       50
326,      326,       227,       223,       269,       207,       208,       228,       254,       227,       115
327,      326,       227,       224,       270,       207,       208,       228,       254,       227,       130
328,      326,       227,       223,       270,       207,       207,       229,       255,       218,       90
328,      326,       227,       223,       269,       207,       207,       228,       255,       216,       70
330,      327,       227,       223,       270,       207,       208,       229,       255,       221,       125
331,      327,       227,       223,       270,       207,       208,       229,       255,       216,       105
330,      327,       227,       223,       270,       207,       208,       228,       254,       227,       145
332,      329,       228,       223,       270,       207,       208,       229,       254,       229,       185
332,      329,       228,       224,       270,       207,       208,       229,       256,       220,       155
332,      329,       227,       223,       270,       207,       208,       230,       255,       215,       120
334,      329,       228,       223,       271,       207,       208,       229,       255,       227,       195
335,      331,       228,       224,       271,       208,       208,       229,       255,       227,       220
334,      330,       228,       224,       271,       207,       208,       229,       255,       223,       185
335,      331,       228,       224,       271,       206,       208,       229,       255,       230,       225
336,      331,       228,       224,       272,       207,       208,       231,       256,       221,       210
337,      331,       228,       223,       271,       206,       208,       230,       255,       216,       165
338,      331,       228,       224,       271,       207,       208,       230,       256,       226,       235
338,      332,       228,       224,       271,       207,       208,       230,       256,       228,       250
340,      333,       228,       224,       272,       207,       208,       231,       256,       220,       235
339,      333,       229,       224,       271,       207,       207,       229,       255,       229,       255
340,      333,       229,       224,       271,       207,       207,       230,       255,       226,       250
341,      334,       228,       224,       272,       207,       208,       231,       256,       218,       235
341,      334,       229,       224,       272,       207,       208,       230,       255,       221,       245
342,      335,       229,       225,       273,       207,       207,       229,       255,       230,       300
342,      336,       229,       224,       272,       207,       208,       230,       256,       221,       265
343,      335,       229,       224,       272,       208,       208,       230,       256,       215,       240
343,      335,       229,       224,       272,       207,       207,       230,       255,       226,       280
345,      336,       229,       224,       272,       207,       207,       231,       256,       219,       270
345,      336,       229,       225,       273,       207,       208,       231,       256,       221,       295
345,      336,       230,       224,       272,       207,       207,       230,       256,       229,       320
346,      337,       229,       224,       272,       207,       208,       231,       256,       225,       315
347,      338,       230,       225,       273,       207,       208,       232,       256,       219,       315
347,      337,       230,       225,       273,       207,       208,       231,       255,       221,       310
348,      338,       230,       225,       272,       207,       208,       230,       255,       229,       350
348,      339,       230,       225,       272,       207,       208,       231,       256,       222,       330
348,      338,       230,       225,       273,       207,       208,       232,       256,       218,       315
349,      339,       231,       226,       273,       207,       208,       232,       256,       230,       395
349,      339,       230,       225,       273,       208,       208,       232,       256,       230,       390
350,      339,       230,       225,       272,       207,       208,       231,       256,       215,       305
350,      340,       231,       225,       273,       207,       207,       231,       255,       227,       370
352,      341,       231,       226,       273,       207,       208,       231,       256,       229,       410
352,      341,       231,       226,       273,       207,       208,       232,       257,       220,       375
351,      341,       231,       225,       272,       207,       208,       231,       256,       216,       330
351,      341,       230,       225,       273,       207,       208,       231,       256,       229,       395
353,      342,       231,       226,       273,       207,       208,       232,       256,       218,       370
353,      342,       231,       226,       273,       207,       208,       231,       257,       219,       375
353,      342,       232,       226,       273,       207,       208,       231,       256,       232,       440
354,      343,       231,       226,       273,       207,       207,       232,       256,       220,       385
354,      343,       231,       225,       273,       207,       208,       231,       256,       229,       425
355,      343,       231,       226,       273,       207,       208,       232,       256,       225,       420
355,      344,       231,       226,       273,       207,       208,       232,       257,       219,       400
355,      344,       232,       226,       273,       207,       208,       232,       256,       219,       400
355,      344,       232,       227,       273,       207,       208,       231,       256,       229,       450
356,      345,       232,       226,       273,       207,       207,       232,       257,       224,       435
356,      345,       232,       226,       273,       207,       208,       232,       256,       218,       405
356,      345,       232,       226,       273,       207,       208,       232,       256,       230,       465
358,      345,       233,       226,       273,       207,       208,       232,       257,       222,       445
357,      346,       232,       226,       273,       208,       208,       233,       257,       216,       420
358,      346,       233,       227,       273,       207,       208,       231,       255,       226,       460
358,      347,       233,       228,       274,       208,       207,       232,       256,       228,       495
358,      347,       232,       227,       273,       207,       208,       233,       257,       220,       450
358,      346,       233,       226,       273,       207,       208,       232,       257,       216,       420
358,      346,       233,       227,       273,       207,       208,       233,       257,       230,       500
359,      347,       233,       227,       274,       207,       207,       233,       257,       218,       450
359,      347,       233,       227,       273,       208,       208,       232,       256,       223,       470
359,      347,       233,       227,       273,       207,       207,       232,       256,       231,       500
360,      348,       233,       227,       273,       207,       208,       233,       257,       222,       480
360,      348,       233,       227,       274,       207,       207,       232,       256,       217,       445
361,      347,       233,       227,       273,       207,       208,       232,       256,       228,       500
360,      348,       233,       227,       273,       207,       208,       233,       257,       221,       475
360,      348,       233,       227,       273,       207,       208,       233,       257,       215,       445
361,      349,       234,       227,       273,       207,       208,       233,       257,       230,       535
361,      348,       234,       228,       273,       208,       208,       233,       257,       228,       530
361,      349,       234,       228,       273,       208,       208,       233,       257,       220,       495
361,      349,       234,       227,       273,       207,       207,       232,       256,       216,       450
361,      349,       234,       228,       273,       207,       208,       232,       256,       228,       520
