0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-65,126,
317,      322,       326,       286,       257,       206,       276,       342,       328,       238,       0
318,      322,       325,       286,       257,       206,       277,       342,       328,       255,       0
318,      321,       325,       286,       257,       206,       276,       343,       328,       239,       0
317,      321,       326,       285,       257,       206,       277,       342,       328,       259,       0
317,      323,       325,       286,       257,       206,       277,       342,       328,       252,       0
317,      322,       324,       285,       257,       206,       276,       343,       328,       239,       0
317,      322,       325,       286,       257,       206,       277,       342,       328,       248,       0
316,      322,       324,       286,       257,       206,       277,       343,       328,       242,       0
317,      322,       325,       285,       258,       206,       277,       342,       329,       244,       0
316,      321,       325,       286,       257,       206,       277,       342,       328,       243,       0
317,      321,       324,       285,       258,       206,       277,       342,       328,       267,       0
316,      321,       325,       285,       258,       206,       277,       343,       328,       240,       0
317,      323,       325,       285,       258,       206,       277,       343,       329,       248,       0
316,      322,       325,       286,       258,       206,       277,       342,       329,       257,       0
317,      323,       325,       286,       258,       206,       277,       343,       328,       269,       0
317,      322,       325,       286,       259,       206,       278,       343,       329,       252,       0
317,      322,       325,       285,       258,       206,       277,       344,       328,       239,       0
317,      322,       324,       286,       258,       206,       277,       343,       329,       254,       0
317,      322,       326,       286,       258,       206,       277,       343,       328,       260,       0
317,      322,       325,       286,       259,       206,       277,       344,       329,       238,       0
316,      322,       325,       286,       258,       206,       277,       343,       328,       256,       0
317,      322,       326,       285,       258,       206,       277,       343,       329,       259,       45
317,      322,       325,       286,       258,       206,       278,       344,       329,       256,       40
317,      322,       325,       286,       258,       206,       277,       344,       328,       253,       15
317,      322,       325,       286,       258,       206,       278,       343,       329,       256,       35
317,      322,       325,       286,       259,       206,       278,       344,       329,       258,       55
317,      322,       324,       286,       258,       206,       278,       344,       329,       255,       30
317,      322,       325,       286,       258,       207,       278,       343,       329,       245,       -15
318,      322,       325,       287,       259,       206,       278,       344,       329,       259,       70
317,      322,       325,       286,       259,       206,       278,       345,       329,       249,       15
317,      322,       325,       286,       258,       206,       277,       344,       329,       245,       -20
