0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-65,120,
333,      339,       351,       296,       256,       209,       227,       270,       292,       241,       0
334,      339,       351,       296,       257,       209,       227,       271,       292,       241,       0
333,      339,       351,       296,       257,       209,       226,       270,       292,       240,       0
333,      340,       351,       296,       256,       209,       227,       271,       292,       241,       0
333,      339,       350,       296,       256,       209,       227,       271,       292,       225,       0
333,      339,       351,       296,       257,       209,       227,       270,       292,       241,       0
334,      340,       351,       297,       257,       209,       228,       271,       292,       227,       0
333,      339,       351,       296,       257,       209,       227,       271,       293,       237,       0
333,      339,       351,       297,       257,       209,       227,       271,       293,       245,       0
333,      340,       351,       297,       257,       209,       228,       272,       292,       229,       0
333,      339,       351,       296,       257,       209,       227,       271,       292,       231,       0
333,      339,       351,       297,       257,       209,       227,       271,       292,       248,       0
334,      340,       351,       297,       257,       209,       228,       272,       293,       235,       0
332,      339,       351,       297,       257,       210,       228,       272,       292,       228,       0
333,      339,       352,       296,       257,       209,       227,       272,       292,       243,       0
334,      339,       352,       297,       257,       209,       228,       272,       293,       228,       0
333,      339,       351,       297,       257,       209,       227,       271,       292,       242,       0
333,      339,       352,       297,       257,       209,       227,       271,       293,       242,       0
334,      339,       352,       297,       258,       210,       228,       272,       293,       228,       0
333,      340,       352,       297,       257,       209,       228,       271,       293,       233,       0
333,      339,       352,       296,       257,       209,       228,       272,       292,       245,       0
333,      339,       352,       297,       258,       209,       228,       272,       293,       247,       125
333,      339,       352,       297,       257,       209,       228,       272,       293,       229,       30
334,      339,       352,       296,       257,       209,       227,       271,       292,       227,       5
334,      339,       352,       297,       257,       209,       227,       272,       292,       241,       85
334,      340,       352,       297,       258,       209,       228,       272,       293,       244,       120
333,      339,       352,       297,       258,       209,       228,       271,       292,       240,       80
333,      338,       352,       297,       257,       210,       228,       271,       292,       237,       60
334,      340,       352,       298,       258,       209,       228,       272,       293,       232,       65
333,      339,       352,       297,       258,       209,       228,       272,       293,       231,       45
334,      338,       352,       297,       257,       209,       227,       271,       293,       247,       110
333,      339,       352,       297,       257,       210,       228,       271,       293,       244,       105
333,      339,       352,       297,       258,       209,       228,       272,       293,       233,       55
334,      339,       353,       296,       257,       209,       227,       272,       292,       245,       105
333,      339,       352,       297,       257,       210,       227,       272,       292,       246,       110
335,      340,       352,       297,       257,       209,       228,       272,       293,       226,       30
334,      340,       352,       297,       258,       209,       227,       272,       293,       229,       40
333,      339,       353,       297,       257,       209,       228,       272,       292,       243,       100
334,      339,       353,       298,       257,       209,       228,       272,       292,       244,       115
334,      339,       353,       297,       258,       209,       228,       272,       293,       236,       80
334,      339,       352,       297,       257,       209,       227,       272,       293,       232,       45
334,      339,       353,       298,       258,       209,       229,       272,       293,       246,       140
