0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
379,10,-55,117,
330,      353,       427,       357,       262,       210,       356,       443,       395,       279,       0
329,      353,       427,       358,       262,       210,       356,       444,       396,       256,       0
329,      353,       427,       358,       262,       209,       357,       444,       396,       275,       0
329,      353,       427,       357,       263,       210,       357,       443,       396,       255,       0
328,      353,       427,       357,       262,       210,       356,       443,       396,       275,       0
329,      353,       427,       357,       263,       210,       357,       444,       396,       267,       0
328,      353,       427,       357,       262,       210,       356,       444,       395,       274,       0
330,      354,       427,       357,       262,       210,       356,       444,       396,       268,       0
329,      353,       427,       357,       262,       210,       356,       444,       396,       264,       0
329,      353,       427,       358,       262,       210,       356,       443,       396,       275,       0
330,      353,       426,       358,       262,       210,       358,       444,       396,       257,       0
328,      353,       427,       357,       262,       210,       356,       444,       396,       268,       0
329,      353,       427,       358,       262,       210,       357,       443,       396,       268,       0
330,      353,       427,       358,       263,       210,       357,       444,       396,       270,       0
328,      353,       427,       357,       262,       210,       356,       444,       396,       258,       0
329,      352,       427,       358,       262,       210,       357,       444,       397,       264,       0
329,      353,       427,       358,       262,       210,       356,       444,       397,       259,       0
328,      353,       427,       357,       262,       209,       357,       444,       397,       262,       0
329,      353,       427,       358,       262,       210,       357,       444,       396,       275,       0
329,      354,       427,       358,       262,       209,       357,       444,       397,       264,       0
328,      353,       427,       358,       262,       210,       356,       443,       396,       273,       0
329,      353,       427,       358,       262,       209,       357,       444,       396,       275,       0
329,      353,       428,       358,       263,       209,       357,       444,       397,       254,       0
329,      353,       428,       358,       262,       210,       357,       444,       397,       255,       0
330,      354,       427,       358,       262,       210,       357,       444,       397,       275,       0
329,      354,       427,       358,       263,       209,       357,       444,       397,       267,       18.984
329,      353,       427,       358,       263,       210,       357,       444,       397,       267,       17.968
329,      353,       427,       358,       262,       210,       357,       444,       396,       265,       -.08
330,      354,       427,       358,       262,       210,       357,       445,       397,       281,       98.67
330,      354,       427,       358,       263,       210,       358,       444,       397,       260,       .545
329,      354,       427,       358,       262,       210,       357,       444,       396,       270,       29.218
330,      354,       428,       359,       262,       210,       357,       444,       397,       264,       20.156
329,      355,       428,       359,       262,       210,       357,       445,       397,       254,       -23.673
330,      354,       427,       358,       262,       209,       356,       444,       396,       277,       59.375
330,      354,       428,       359,       262,       210,       357,       444,       397,       290,       151.014
330,      354,       428,       359,       262,       210,       357,       443,       396,       260,       -9.141
329,      354,       428,       358,       262,       209,       357,       444,       397,       267,       19.843
330,      355,       428,       359,       263,       210,       357,       444,       397,       275,       83.984
330,      355,       428,       359,       264,       210,       357,       444,       398,       257,       5.702
330,      354,       428,       358,       262,       210,       356,       443,       397,       272,       44.764
330,      354,       428,       358,       262,       209,       356,       443,       396,       275,       49.375
330,      354,       428,       359,       262,       209,       357,       444,       397,       262,       5
331,      354,       428,       359,       262,       210,       357,       443,       397,       258,       -7.657
330,      355,       428,       358,       262,       210,       356,       443,       396,       277,       71.639
330,      355,       428,       359,       262,       210,       356,       443,       396,       277,       72.968
330,      354,       428,       359,       261,       210,       356,       443,       396,       254,       -48.125
330,      354,       428,       358,       262,       210,       356,       442,       396,       270,       23.281
331,      355,       428,       359,       262,       209,       356,       443,       396,       269,       34.843
330,      354,       428,       358,       261,       210,       357,       443,       396,       256,       -40.391
330,      354,       428,       358,       261,       210,       356,       442,       396,       278,       61.25
332,      355,       428,       359,       262,       210,       357,       443,       396,       264,       23.905
330,      354,       429,       359,       262,       210,       357,       443,       396,       260,       -5.469
331,      353,       428,       359,       261,       210,       356,       442,       396,       264,       -6.094
331,      355,       428,       359,       262,       210,       356,       442,       396,       274,       61.405
331,      354,       428,       359,       262,       210,       357,       443,       397,       253,       -36.407
331,      354,       428,       358,       262,       210,       356,       443,       395,       269,       25.468
332,      354,       428,       359,       262,       210,       356,       443,       397,       274,       71.25
332,      355,       428,       359,       262,       210,       357,       443,       396,       268,       42.655
331,      354,       428,       359,       261,       210,       356,       442,       397,       261,       -12.111
332,      355,       428,       359,       262,       209,       357,       443,       397,       276,       84.609
333,      355,       429,       360,       263,       210,       357,       444,       397,       259,       28.359
332,      355,       428,       360,       263,       209,       357,       444,       397,       261,       24.687
333,      355,       429,       359,       262,       209,       357,       443,       397,       283,       128.281
333,      355,       429,       360,       262,       210,       357,       444,       397,       276,       107.811
334,      356,       428,       360,       263,       210,       357,       444,       398,       256,       26.953
334,      355,       428,       360,       263,       210,       358,       443,       397,       274,       102.655
334,      356,       429,       360,       263,       210,       358,       445,       398,       266,       88.67
334,      355,       429,       360,       263,       210,       359,       444,       398,       260,       53.359
334,      356,       429,       360,       262,       210,       357,       444,       398,       263,       58.67
335,      356,       429,       361,       263,       209,       359,       446,       399,       264,       99.139
336,      357,       429,       361,       263,       210,       359,       446,       399,       259,       91.093
334,      357,       429,       361,       263,       210,       359,       445,       398,       284,       194.843
336,      357,       430,       361,       263,       210,       359,       445,       399,       291,       250.078
336,      357,       430,       362,       263,       210,       360,       446,       399,       259,       104.686
336,      357,       430,       361,       263,       210,       359,       446,       400,       255,       79.686
336,      357,       430,       361,       263,       210,       359,       446,       399,       273,       165.859
337,      358,       430,       361,       264,       209,       359,       446,       400,       269,       160.625
336,      358,       431,       362,       263,       210,       360,       447,       400,       257,       114.531
336,      358,       431,       361,       264,       210,       360,       446,       399,       275,       194.921
337,      359,       430,       363,       264,       209,       361,       447,       400,       262,       157.343
338,      358,       431,       362,       264,       210,       361,       448,       400,       264,       173.906
337,      358,       431,       362,       264,       210,       360,       447,       400,       273,       203.125
337,      359,       431,       363,       264,       209,       361,       448,       400,       275,       230.311
338,      358,       431,       362,       264,       210,       361,       448,       400,       256,       135.703
