0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
379,10,-65,126,
318,      343,       437,       376,       260,       210,       365,       451,       397,       263,       0
318,      343,       437,       377,       261,       211,       366,       451,       397,       273,       0
318,      342,       437,       376,       260,       210,       364,       451,       396,       253,       0
318,      343,       437,       376,       260,       211,       365,       451,       396,       274,       0
319,      343,       437,       377,       261,       211,       365,       452,       397,       260,       0
317,      343,       436,       376,       261,       210,       365,       451,       396,       259,       0
318,      343,       437,       377,       261,       211,       366,       452,       396,       273,       0
317,      343,       437,       376,       261,       211,       365,       451,       397,       253,       0
318,      342,       437,       376,       261,       210,       365,       452,       397,       271,       0
318,      343,       437,       376,       261,       210,       366,       452,       397,       254,       0
318,      343,       436,       376,       261,       210,       366,       452,       398,       256,       0
319,      343,       437,       377,       261,       210,       366,       452,       397,       277,       0
318,      343,       436,       377,       262,       210,       366,       452,       397,       256,       0
318,      343,       437,       376,       261,       210,       366,       452,       398,       274,       0
318,      344,       436,       376,       262,       210,       367,       452,       397,       271,       0
318,      343,       437,       376,       262,       210,       366,       453,       398,       253,       0
317,      343,       437,       376,       261,       210,       366,       452,       397,       273,       0
318,      343,       437,       376,       261,       211,       366,       453,       398,       273,       0
319,      343,       436,       376,       262,       211,       367,       453,       398,       259,       0
317,      343,       436,       376,       261,       210,       367,       453,       398,       258,       0
318,      343,       436,       377,       262,       210,       366,       453,       397,       275,       0
318,      343,       436,       377,       262,       210,       367,       453,       397,       257,       -30
318,      343,       436,       377,       262,       210,       367,       452,       398,       267,       20
318,      343,       436,       377,       261,       211,       366,       453,       397,       266,       10
319,      343,       437,       376,       262,       210,       367,       453,       397,       270,       40
318,      343,       437,       377,       262,       210,       367,       453,       398,       256,       -25
318,      343,       437,       376,       261,       210,       366,       453,       398,       271,       35
318,      342,       437,       376,       262,       210,       367,       453,       398,       273,       50
318,      344,       437,       377,       262,       210,       367,       454,       398,       261,       10
318,      343,       437,       377,       262,       210,       368,       454,       399,       264,       30
318,      342,       437,       377,       262,       210,       367,       453,       398,       275,       65
318,      343,       436,       377,       262,       210,       367,       454,       399,       268,       40
317,      344,       437,       376,       262,       210,       367,       453,       398,       262,       0
318,      343,       437,       377,       262,       211,       367,       453,       398,       276,       80
318,      343,       437,       377,       262,       210,       367,       453,       398,       273,       60
319,      342,       437,       376,       262,       210,       367,       453,       398,       254,       -40
318,      342,       437,       376,       262,       211,       366,       453,       398,       271,       40
318,      344,       437,       377,       262,       210,       367,       454,       398,       262,       15
318,      343,       437,       376,       262,       210,       367,       453,       399,       262,       5
317,      342,       436,       376,       261,       210,       367,       453,       398,       271,       25
317,      342,       437,       377,       261,       210,       367,       453,       398,       274,       50
319,      343,       436,       376,       262,       210,       367,       454,       398,       255,       -30
318,      343,       436,       376,       262,       210,       367,       453,       398,       256,       -35
317,      343,       436,       376,       261,       210,       367,       453,       398,       278,       65
318,      343,       436,       376,       262,       210,       367,       453,       398,       271,       40
317,      342,       436,       376,       262,       210,       367,       453,       398,       255,       -50
318,      342,       436,       376,       262,       210,       366,       453,       398,       274,       45
318,      343,       436,       376,       262,       210,       367,       453,       398,       268,       25
318,      342,       436,       376,       262,       210,       367,       453,       398,       260,       -20
317,      342,       436,       376,       261,       210,       367,       453,       398,       263,       -15
318,      343,       436,       376,       262,       210,       368,       453,       398,       273,       55
318,      343,       436,       376,       262,       210,       368,       454,       398,       256,       -25
317,      343,       435,       376,       262,       210,       367,       452,       398,       270,       20
317,      342,       436,       376,       262,       210,       367,       453,       398,       271,       30
318,      344,       436,       376,       262,       211,       367,       454,       399,       265,       30
318,      342,       436,       376,       263,       211,       367,       454,       399,       257,       -15
318,      343,       436,       376,       262,       210,       367,       453,       398,       280,       85
317,      343,       436,       376,       262,       210,       368,       454,       399,       261,       0
317,      343,       436,       376,       263,       210,       368,       454,       399,       262,       10
317,      343,       436,       376,       261,       210,       367,       454,       399,       276,       65
318,      343,       436,       376,       262,       210,       368,       453,       399,       275,       70
318,      343,       436,       376,       262,       210,       368,       454,       399,       255,       -25
318,      342,       436,       376,       261,       210,       367,       453,       399,       272,       40
318,      343,       436,       376,       262,       210,       367,       454,       398,       272,       50
318,      343,       436,       376,       262,       210,       368,       454,       399,       265,       25
317,      343,       436,       376,       261,       210,       367,       454,       399,       262,       -5
317,      342,       436,       376,       261,       210,       367,       453,       399,       277,       60
318,      343,       436,       376,       262,       210,       368,       454,       399,       258,       -10
319,      343,       436,       376,       262,       210,       367,       453,       398,       260,       -10
318,      342,       436,       376,       260,       210,       367,       453,       397,       274,       35
318,      343,       436,       376,       262,       210,       368,       453,       399,       280,       95
319,      343,       436,       376,       262,       210,       367,       453,       399,       254,       -35
318,      343,       437,       376,       261,       210,       367,       453,       398,       271,       40
319,      344,       436,       376,       261,       210,       368,       453,       398,       269,       40
318,      343,       436,       376,       262,       210,       368,       454,       399,       264,       20
319,      343,       436,       376,       261,       210,       367,       453,       398,       266,       15
318,      343,       436,       376,       261,       210,       367,       453,       398,       275,       55
318,      343,       436,       376,       261,       211,       368,       454,       399,       259,       -5
319,      343,       436,       376,       261,       210,       367,       453,       399,       261,       -5
318,      343,       436,       376,       260,       210,       367,       452,       398,       272,       30
318,      344,       436,       376,       261,       211,       367,       453,       398,       271,       45
319,      343,       437,       376,       261,       210,       368,       453,       399,       255,       -25
318,      343,       436,       376,       261,       211,       367,       452,       398,       276,       60
318,      344,       437,       376,       261,       210,       367,       453,       398,       263,       5
318,      343,       437,       376,       261,       210,       368,       453,       398,       260,       -10
318,      343,       437,       376,       261,       211,       366,       453,       398,       266,       15
319,      344,       437,       377,       261,       210,       367,       453,       398,       278,       90
319,      344,       437,       376,       261,       210,       367,       453,       398,       263,       10
319,      343,       437,       376,       261,       210,       367,       453,       398,       272,       50
318,      344,       437,       376,       260,       210,       367,       453,       398,       273,       50
319,      343,       437,       377,       261,       210,       368,       453,       398,       257,       -15
