0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-55,121,
307,      323,       383,       324,       247,       210,       298,       363,       341,       259,       0
307,      323,       383,       324,       246,       211,       298,       364,       341,       240,       0
308,      322,       383,       324,       246,       210,       298,       363,       341,       250,       0
308,      323,       382,       325,       247,       211,       298,       364,       342,       258,       0
307,      323,       383,       324,       246,       210,       298,       364,       342,       256,       0
308,      323,       383,       324,       246,       210,       298,       363,       343,       255,       0
308,      323,       383,       325,       246,       211,       298,       364,       342,       238,       0
307,      323,       383,       325,       246,       211,       298,       364,       342,       258,       0
308,      323,       383,       324,       247,       211,       298,       364,       342,       247,       0
307,      323,       383,       324,       246,       211,       297,       363,       342,       262,       0
308,      324,       383,       325,       248,       211,       299,       364,       342,       239,       0
308,      324,       383,       324,       247,       211,       298,       364,       343,       238,       0
307,      323,       383,       324,       247,       211,       298,       363,       342,       254,       0
308,      323,       383,       324,       246,       211,       298,       364,       342,       256,       0
309,      323,       383,       325,       247,       211,       298,       364,       342,       237,       0
308,      324,       384,       324,       247,       211,       297,       364,       342,       237,       0
307,      323,       383,       324,       247,       211,       298,       364,       343,       251,       0
308,      324,       383,       325,       247,       210,       298,       364,       343,       255,       0
308,      323,       383,       324,       247,       210,       299,       364,       343,       238,       0
308,      324,       383,       325,       246,       210,       299,       364,       342,       257,       0
309,      324,       383,       325,       248,       210,       299,       365,       343,       246,       0
309,      324,       384,       325,       247,       210,       299,       365,       343,       243,       0
308,      324,       383,       325,       247,       210,       299,       363,       343,       246,       0
308,      323,       383,       325,       247,       210,       299,       364,       342,       261,       0
309,      324,       383,       324,       248,       210,       300,       365,       343,       240,       0
309,      324,       383,       324,       248,       211,       300,       364,       343,       244,       9.06
307,      324,       383,       325,       247,       211,       299,       365,       343,       257,       65.936
308,      325,       383,       325,       247,       211,       300,       366,       343,       238,       -10.783
308,      325,       383,       324,       247,       211,       300,       366,       344,       237,       -12.657
308,      324,       384,       325,       247,       210,       300,       365,       343,       258,       80.152
309,      325,       384,       325,       247,       210,       300,       366,       344,       251,       64.294
309,      324,       383,       325,       248,       211,       300,       366,       344,       243,       23.902
308,      324,       383,       325,       247,       210,       300,       365,       343,       240,       -14.611
309,      325,       384,       326,       248,       210,       301,       366,       344,       262,       136.716
310,      325,       384,       326,       248,       211,       301,       367,       344,       244,       59.294
309,      325,       384,       326,       247,       211,       301,       366,       344,       246,       54.919
309,      325,       384,       325,       247,       211,       301,       366,       344,       260,       119.608
310,      326,       384,       327,       248,       210,       302,       366,       344,       241,       50.856
309,      325,       384,       326,       248,       211,       301,       366,       344,       241,       34.529
309,      325,       384,       325,       248,       210,       301,       365,       344,       251,       69.216
310,      326,       385,       326,       248,       211,       301,       366,       344,       257,       129.608
310,      326,       384,       326,       248,       211,       302,       367,       345,       238,       46.561
310,      326,       385,       326,       248,       211,       301,       366,       344,       254,       116.169
310,      326,       385,       326,       248,       210,       302,       366,       344,       254,       116.638
310,      326,       385,       327,       248,       211,       302,       367,       344,       253,       125.078
310,      326,       385,       327,       248,       210,       302,       368,       345,       238,       58.436
309,      326,       385,       327,       248,       210,       302,       366,       344,       260,       147.888
310,      325,       385,       328,       248,       211,       302,       367,       345,       258,       155.233
311,      326,       385,       328,       248,       210,       302,       368,       345,       247,       111.248
310,      326,       386,       327,       248,       211,       303,       368,       345,       243,       96.248
310,      327,       386,       328,       248,       211,       302,       368,       345,       261,       190.156
312,      327,       386,       328,       248,       211,       303,       369,       346,       246,       138.983
310,      327,       386,       329,       248,       211,       303,       368,       345,       244,       116.325
311,      327,       386,       328,       248,       211,       302,       368,       346,       247,       130.856
312,      327,       386,       329,       248,       210,       304,       369,       346,       263,       228.748
311,      327,       387,       329,       248,       210,       304,       369,       346,       245,       142.498
311,      327,       387,       329,       248,       210,       304,       368,       346,       249,       156.638
311,      327,       387,       329,       248,       211,       303,       368,       346,       267,       245.233
312,      328,       387,       330,       248,       211,       304,       370,       346,       240,       140.701
311,      328,       387,       330,       248,       211,       304,       369,       346,       239,       124.373
311,      328,       387,       329,       248,       211,       304,       368,       346,       256,       201.873
312,      328,       387,       330,       248,       211,       304,       369,       346,       256,       214.919
313,      329,       387,       330,       249,       211,       304,       370,       346,       256,       236.013
312,      328,       388,       330,       248,       210,       304,       369,       346,       241,       139.764
