0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-65,126,
324,      352,       426,       344,       261,       210,       453,       602,       478,       282,       0
322,      351,       425,       343,       259,       210,       455,       602,       479,       241,       0
322,      351,       425,       343,       259,       210,       454,       600,       477,       290,       0
324,      352,       425,       344,       261,       210,       454,       602,       479,       262,       0
322,      350,       425,       342,       258,       210,       453,       601,       478,       254,       0
323,      352,       424,       344,       260,       210,       455,       603,       479,       290,       0
324,      351,       424,       343,       259,       210,       453,       601,       477,       278,       0
324,      350,       425,       343,       258,       210,       454,       602,       478,       277,       0
323,      351,       424,       344,       260,       211,       454,       603,       479,       241,       0
322,      351,       425,       342,       259,       210,       453,       601,       477,       290,       0
324,      352,       424,       344,       260,       210,       455,       603,       479,       259,       0
324,      352,       424,       344,       260,       210,       454,       602,       479,       257,       0
322,      350,       424,       342,       258,       210,       453,       601,       477,       264,       0
324,      352,       424,       344,       261,       210,       455,       603,       479,       286,       0
323,      352,       424,       343,       259,       209,       453,       601,       477,       280,       0
324,      352,       424,       343,       259,       210,       454,       603,       479,       268,       0
324,      352,       424,       344,       260,       211,       454,       603,       479,       265,       0
321,      350,       424,       342,       258,       210,       453,       603,       478,       245,       0
322,      352,       424,       343,       258,       210,       454,       602,       477,       299,       0
324,      352,       424,       344,       261,       210,       455,       604,       479,       257,       0
323,      352,       425,       343,       260,       210,       454,       603,       479,       255,       0
321,      350,       424,       343,       259,       210,       454,       602,       478,       275,       15.039
323,      352,       425,       344,       259,       210,       454,       603,       478,       287,       110.078
323,      351,       424,       343,       259,       210,       455,       604,       480,       243,       -104.845
321,      351,       425,       343,       259,       210,       454,       603,       477,       279,       45.039
324,      352,       425,       344,       260,       210,       455,       604,       479,       269,       44.921
324,      352,       425,       344,       261,       210,       456,       604,       479,       272,       69.959
322,      351,       425,       342,       259,       210,       453,       602,       479,       240,       -149.728
322,      351,       424,       342,       259,       210,       454,       602,       477,       297,       125.039
324,      352,       425,       343,       260,       210,       455,       604,       479,       261,       -.041
324,      351,       424,       344,       260,       210,       454,       603,       478,       244,       -105.08
322,      350,       424,       342,       258,       210,       454,       602,       478,       267,       -29.962
322,      351,       424,       344,       260,       210,       453,       601,       477,       294,       114.921
324,      351,       425,       345,       260,       210,       455,       603,       479,       256,       -25.079
321,      350,       424,       343,       260,       210,       454,       602,       477,       264,       -39.883
322,      350,       424,       342,       258,       210,       453,       601,       477,       263,       -65
324,      351,       424,       344,       260,       210,       455,       603,       479,       252,       -55.08
323,      351,       425,       343,       259,       211,       455,       603,       479,       251,       -65
321,      350,       425,       342,       258,       210,       454,       601,       477,       278,       14.921
323,      351,       424,       343,       258,       210,       454,       602,       478,       285,       75
323,      350,       424,       344,       261,       210,       455,       604,       479,       244,       -95.08
323,      350,       424,       342,       259,       210,       454,       602,       477,       243,       -145.041
322,      350,       424,       343,       259,       210,       455,       603,       479,       274,       29.92
324,      352,       425,       344,       261,       210,       455,       604,       479,       273,       69.92
322,      351,       424,       342,       259,       209,       455,       604,       479,       241,       -134.961
322,      350,       424,       342,       258,       210,       454,       602,       477,       286,       59.959
324,      352,       424,       344,       259,       210,       455,       604,       480,       265,       20
325,      351,       424,       344,       260,       210,       455,       603,       479,       266,       20
322,      350,       424,       342,       258,       210,       454,       601,       477,       292,       85.194
