0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-65,126,
318,      344,       451,       384,       259,       210,       366,       442,       396,       259,       0
319,      344,       450,       384,       259,       209,       366,       441,       396,       274,       0
319,      344,       450,       384,       259,       210,       367,       442,       397,       252,       0
319,      344,       450,       384,       258,       210,       366,       441,       396,       269,       0
320,      345,       450,       384,       259,       210,       366,       442,       396,       274,       0
319,      344,       449,       384,       258,       211,       365,       442,       395,       279,       0
319,      344,       450,       384,       259,       210,       367,       443,       397,       261,       0
319,      343,       450,       384,       259,       210,       366,       442,       397,       267,       0
320,      344,       451,       384,       259,       210,       367,       442,       396,       273,       0
319,      344,       450,       384,       259,       210,       366,       443,       397,       251,       0
320,      344,       452,       384,       259,       210,       367,       444,       397,       273,       0
320,      344,       450,       384,       259,       211,       367,       443,       397,       264,       0
319,      345,       450,       384,       260,       210,       367,       443,       397,       256,       0
320,      344,       450,       384,       259,       211,       367,       443,       397,       260,       0
319,      344,       451,       385,       260,       210,       367,       444,       398,       257,       0
320,      345,       450,       384,       260,       211,       368,       444,       397,       258,       0
320,      344,       451,       384,       259,       210,       367,       443,       397,       270,       0
320,      344,       451,       384,       260,       210,       367,       443,       398,       271,       0
319,      344,       451,       384,       260,       210,       367,       444,       398,       254,       0
319,      344,       450,       384,       259,       210,       367,       444,       398,       257,       0
320,      344,       449,       384,       260,       210,       368,       444,       398,       276,       0
320,      345,       449,       384,       260,       210,       367,       443,       398,       259,       -9.922
320,      344,       449,       384,       260,       210,       367,       443,       397,       260,       -14.962
320,      345,       450,       384,       260,       211,       367,       443,       398,       273,       70.039
319,      345,       448,       384,       260,       210,       368,       443,       398,       255,       -35
319,      345,       448,       384,       259,       210,       366,       443,       398,       268,       15.038
320,      344,       448,       384,       260,       210,       367,       443,       398,       270,       35.039
320,      345,       449,       384,       260,       210,       368,       444,       398,       270,       55.039
320,      345,       448,       385,       260,       210,       368,       444,       399,       254,       -20
320,      345,       448,       384,       260,       210,       368,       443,       398,       294,       165
321,      344,       448,       385,       260,       210,       368,       445,       399,       275,       90.116
321,      345,       448,       385,       260,       211,       368,       444,       399,       260,       20
320,      345,       448,       384,       260,       210,       368,       443,       398,       266,       25
321,      346,       448,       385,       260,       210,       367,       444,       398,       272,       70
322,      345,       449,       385,       261,       210,       369,       445,       399,       252,       0
320,      345,       449,       384,       259,       211,       368,       444,       398,       271,       60
321,      345,       449,       384,       260,       210,       368,       444,       399,       273,       80.039
321,      346,       450,       385,       260,       210,       368,       445,       400,       259,       35
321,      345,       450,       385,       261,       210,       368,       445,       399,       256,       15
321,      345,       449,       384,       260,       210,       368,       444,       399,       260,       15
322,      346,       449,       385,       261,       210,       369,       445,       400,       279,       145
322,      346,       449,       385,       261,       210,       369,       445,       400,       256,       30.038
322,      346,       449,       385,       260,       210,       368,       445,       399,       267,       70.039
321,      345,       449,       385,       260,       210,       368,       445,       400,       272,       90
322,      346,       449,       385,       260,       210,       369,       445,       400,       258,       35
322,      346,       450,       385,       260,       210,       369,       446,       401,       256,       40.155
322,      346,       450,       386,       260,       210,       369,       445,       400,       277,       140
324,      347,       452,       386,       260,       210,       369,       446,       400,       261,       90.039
322,      346,       452,       386,       261,       211,       369,       445,       400,       262,       85
322,      346,       452,       385,       259,       210,       369,       445,       399,       265,       75
323,      347,       453,       386,       260,       210,       370,       446,       400,       273,       155.039
323,      346,       453,       386,       261,       210,       369,       446,       400,       254,       55
323,      346,       453,       386,       260,       210,       369,       446,       399,       271,       130.039
323,      346,       454,       386,       260,       209,       369,       446,       400,       275,       155
322,      347,       453,       386,       260,       210,       369,       446,       400,       258,       70
323,      346,       454,       386,       259,       210,       369,       446,       400,       256,       60.077
323,      346,       454,       386,       260,       210,       369,       445,       399,       276,       155
324,      347,       454,       387,       260,       211,       369,       446,       400,       258,       95
323,      347,       454,       386,       260,       211,       370,       446,       400,       268,       140
324,      347,       454,       387,       260,       210,       369,       446,       400,       280,       200
324,      347,       454,       387,       260,       211,       370,       447,       400,       255,       90
323,      347,       454,       387,       260,       210,       369,       445,       399,       271,       140.039
323,      347,       454,       387,       260,       211,       369,       445,       399,       272,       150.039
324,      347,       456,       387,       260,       210,       369,       446,       401,       264,       135.039
323,      346,       452,       387,       260,       210,       370,       446,       400,       255,       60
323,      347,       453,       387,       260,       210,       369,       445,       400,       279,       180
324,      347,       454,       388,       260,       211,       369,       446,       400,       275,       185
