0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
401,10,-65,119,
118,      344,       128,       161,       604,       206,       444,       103,       486,       61,        0
119,      343,       128,       163,       604,       206,       445,       105,       485,       61,        0
121,      344,       128,       163,       606,       208,       445,       105,       488,       62,        0
119,      343,       128,       162,       604,       206,       445,       104,       486,       62,        0
120,      344,       130,       163,       604,       207,       445,       105,       488,       63,        0
120,      344,       127,       161,       605,       206,       446,       104,       488,       61,        0
118,      342,       127,       162,       604,       206,       444,       104,       485,       60,        0
119,      342,       125,       161,       605,       205,       443,       103,       488,       60,        0
118,      343,       127,       161,       605,       206,       444,       102,       486,       61,        0
117,      343,       126,       160,       603,       205,       443,       102,       489,       61,        0
120,      341,       126,       162,       606,       206,       444,       104,       487,       62,        0
119,      342,       126,       161,       605,       205,       443,       104,       488,       59,        0
120,      342,       127,       162,       606,       205,       444,       104,       486,       59,        0
118,      343,       126,       159,       603,       205,       444,       103,       486,       60,        0
120,      342,       125,       159,       606,       205,       444,       102,       489,       59,        0
119,      343,       127,       161,       603,       205,       444,       103,       489,       61,        0
118,      342,       126,       160,       604,       205,       445,       102,       487,       60,        0
118,      342,       126,       160,       603,       204,       443,       102,       486,       59,        0
119,      341,       126,       160,       605,       204,       444,       103,       488,       58,        0
117,      341,       126,       159,       604,       204,       443,       102,       485,       60,        0
117,      341,       125,       159,       603,       204,       444,       101,       487,       60,        0
118,      341,       125,       160,       605,       204,       443,       102,       489,       59,        50
118,      341,       126,       159,       602,       204,       444,       102,       485,       59,        20
117,      341,       126,       161,       605,       204,       445,       103,       488,       59,        65
118,      340,       126,       160,       604,       203,       442,       103,       485,       58,        15
117,      341,       126,       160,       603,       205,       445,       103,       488,       61,        65
118,      341,       125,       161,       605,       204,       444,       102,       487,       59,        50
118,      341,       125,       160,       603,       205,       445,       103,       486,       59,        45
118,      342,       125,       160,       604,       204,       444,       102,       488,       59,        50
118,      342,       124,       159,       604,       204,       443,       102,       487,       59,        30
118,      341,       125,       161,       604,       204,       444,       103,       487,       59,        50
117,      340,       125,       160,       603,       204,       445,       103,       486,       59,        30
116,      341,       126,       160,       604,       205,       444,       102,       487,       59,        40
118,      342,       125,       159,       605,       205,       444,       102,       487,       60,        55
118,      340,       124,       160,       604,       203,       444,       102,       487,       59,        25
119,      342,       125,       161,       605,       205,       444,       103,       489,       60,        85
118,      341,       124,       160,       604,       204,       444,       103,       487,       58,        35
119,      341,       125,       161,       605,       204,       443,       103,       489,       59,        65
119,      341,       125,       161,       605,       203,       445,       104,       488,       58,        65
117,      341,       126,       161,       604,       204,       446,       102,       487,       59,        55
118,      342,       125,       160,       606,       206,       444,       103,       488,       60,        80
119,      340,       125,       161,       604,       205,       445,       102,       487,       59,        55
118,      342,       124,       160,       607,       205,       445,       103,       488,       59,        75
117,      341,       126,       159,       606,       205,       444,       101,       487,       60,        50
117,      340,       125,       160,       604,       205,       445,       102,       487,       58,        35
118,      341,       125,       160,       607,       206,       443,       103,       488,       58,        65
117,      340,       125,       160,       606,       205,       444,       103,       487,       58,        45
118,      340,       125,       161,       607,       206,       446,       103,       488,       59,        85
118,      340,       126,       161,       607,       207,       444,       102,       486,       59,        70
117,      340,       126,       159,       607,       207,       444,       101,       489,       60,        70
118,      340,       125,       161,       609,       208,       446,       103,       487,       59,        100
116,      341,       126,       160,       609,       208,       443,       102,       487,       59,        75
118,      342,       125,       159,       611,       209,       444,       102,       490,       59,        115
117,      342,       126,       159,       610,       209,       444,       101,       488,       59,        95
118,      341,       125,       160,       611,       208,       445,       102,       489,       58,        105
117,      341,       125,       159,       613,       210,       444,       102,       489,       59,        115
119,      340,       125,       161,       612,       209,       445,       103,       487,       58,        115
118,      341,       125,       159,       615,       210,       445,       103,       491,       58,        145
119,      340,       125,       159,       614,       209,       444,       103,       490,       58,        125
118,      341,       126,       159,       614,       210,       445,       102,       492,       59,        150
118,      340,       126,       161,       615,       211,       448,       102,       488,       59,        160
118,      340,       125,       161,       615,       210,       446,       103,       488,       59,        145
117,      341,       126,       160,       617,       212,       447,       103,       492,       60,        195
119,      341,       125,       161,       618,       211,       445,       103,       490,       58,        175
119,      342,       125,       160,       618,       213,       447,       103,       494,       59,        220
118,      341,       126,       161,       621,       212,       448,       103,       490,       59,        215
118,      342,       126,       160,       619,       213,       448,       103,       491,       59,        215
119,      342,       126,       162,       621,       213,       450,       104,       494,       61,        280
122,      344,       127,       162,       623,       214,       448,       106,       493,       60,        315
122,      344,       127,       162,       624,       215,       449,       106,       496,       60,        345
120,      343,       127,       163,       624,       214,       449,       105,       493,       59,        305
122,      345,       127,       162,       623,       216,       450,       105,       494,       60,        340
122,      347,       128,       163,       627,       217,       451,       106,       498,       62,        425
122,      346,       129,       164,       625,       217,       451,       106,       496,       61,        405
122,      345,       129,       164,       628,       216,       452,       108,       498,       62,        440
120,      344,       126,       161,       626,       215,       451,       104,       495,       60,        330
120,      345,       127,       161,       628,       216,       452,       104,       498,       61,        380
122,      344,       126,       161,       629,       216,       450,       104,       497,       59,        360
121,      346,       127,       162,       629,       217,       452,       105,       501,       60,        420
121,      346,       128,       162,       629,       218,       453,       105,       500,       62,        440
121,      346,       127,       161,       629,       218,       451,       104,       500,       61,        410
121,      346,       128,       162,       631,       217,       454,       104,       501,       61,        445
120,      345,       127,       163,       631,       217,       453,       105,       499,       60,        420
122,      346,       128,       163,       631,       217,       454,       107,       502,       61,        475
120,      346,       127,       161,       631,       217,       455,       105,       502,       61,        445
119,      345,       127,       161,       631,       216,       455,       103,       500,       60,        405
121,      346,       127,       162,       633,       217,       456,       105,       503,       61,        475
121,      346,       127,       162,       633,       218,       456,       105,       500,       61,        465
123,      347,       126,       162,       635,       218,       455,       103,       505,       59,        485
122,      349,       127,       161,       635,       220,       457,       105,       504,       62,        530
122,      347,       128,       162,       635,       218,       457,       105,       504,       61,        515
121,      348,       126,       161,       636,       219,       458,       105,       504,       61,        515
121,      347,       127,       161,       635,       218,       457,       105,       504,       61,        500
121,      347,       127,       163,       636,       218,       458,       106,       506,       60,        530
121,      347,       127,       163,       637,       217,       459,       106,       506,       59,        530
122,      348,       126,       162,       638,       219,       458,       105,       507,       61,        550
124,      350,       129,       164,       638,       220,       461,       108,       507,       62,        635
122,      350,       128,       163,       640,       220,       460,       106,       508,       61,        610
123,      350,       128,       163,       639,       221,       461,       106,       508,       61,        620
123,      351,       129,       163,       640,       222,       462,       106,       509,       62,        655
124,      351,       129,       164,       641,       221,       463,       107,       510,       61,        675
123,      352,       129,       163,       641,       222,       462,       107,       510,       63,        680
125,      352,       129,       165,       642,       222,       462,       108,       512,       63,        720
125,      353,       127,       164,       643,       222,       464,       108,       511,       62,        715
124,      353,       129,       164,       643,       222,       463,       107,       510,       62,        705
124,      354,       130,       165,       644,       224,       466,       107,       513,       64,        775
127,      354,       130,       166,       644,       223,       465,       109,       512,       62,        780
125,      355,       130,       166,       644,       224,       466,       107,       514,       65,        800
127,      355,       130,       165,       647,       224,       467,       107,       513,       63,        810
126,      356,       130,       165,       647,       224,       465,       109,       514,       63,        815
124,      354,       129,       163,       647,       224,       467,       106,       516,       62,        780
124,      353,       128,       164,       646,       221,       467,       107,       513,       60,        735
123,      353,       128,       163,       646,       222,       468,       106,       516,       62,        755
123,      354,       129,       162,       648,       223,       467,       105,       515,       61,        755
124,      355,       130,       163,       647,       224,       468,       106,       516,       62,        795
125,      354,       130,       165,       649,       223,       470,       107,       517,       62,        830
124,      356,       129,       163,       648,       224,       469,       105,       516,       62,        800
124,      354,       127,       163,       649,       222,       470,       106,       518,       62,        795
123,      355,       129,       163,       650,       223,       471,       106,       518,       61,        815
126,      357,       129,       164,       650,       224,       470,       107,       519,       61,        855
126,      357,       129,       164,       653,       223,       471,       108,       520,       61,        880
125,      356,       128,       164,       652,       224,       469,       106,       518,       61,        835
125,      357,       128,       163,       653,       224,       471,       107,       522,       61,        875
124,      357,       129,       165,       652,       224,       473,       107,       519,       61,        875
126,      357,       127,       163,       653,       224,       471,       106,       521,       60,        860
126,      358,       128,       163,       655,       223,       473,       106,       524,       61,        905
125,      358,       128,       163,       654,       225,       473,       106,       523,       60,        895
125,      359,       129,       163,       654,       225,       475,       107,       525,       63,        945
127,      360,       129,       164,       657,       226,       475,       107,       524,       62,        975
128,      361,       129,       165,       656,       226,       476,       107,       525,       63,        1000
129,      362,       130,       166,       659,       227,       477,       110,       527,       63,        1070
127,      362,       131,       165,       657,       227,       478,       108,       526,       63,        1040
127,      363,       130,       166,       658,       227,       480,       108,       528,       64,        1075
127,      362,       131,       165,       658,       227,       480,       108,       527,       64,        1065
127,      362,       129,       164,       660,       226,       478,       107,       528,       61,        1030
126,      363,       129,       165,       660,       225,       480,       108,       529,       62,        1055
127,      361,       129,       164,       661,       226,       479,       106,       529,       61,        1035
126,      363,       128,       163,       660,       225,       481,       107,       531,       61,        1045
125,      362,       129,       163,       660,       225,       480,       105,       528,       61,        1010
126,      361,       128,       164,       660,       224,       481,       107,       530,       59,        1020
125,      363,       127,       164,       662,       225,       479,       105,       531,       60,        1025
124,      361,       129,       163,       661,       224,       482,       106,       529,       60,        1015
125,      363,       128,       163,       662,       226,       482,       106,       532,       62,        1065
125,      363,       128,       163,       663,       225,       481,       105,       531,       61,        1045
126,      364,       128,       163,       662,       226,       483,       106,       531,       60,        1065
126,      364,       128,       163,       663,       225,       483,       105,       532,       61,        1070
127,      365,       129,       165,       664,       227,       482,       107,       534,       61,        1125
128,      365,       128,       165,       664,       225,       482,       108,       534,       61,        1120
127,      366,       128,       163,       664,       226,       483,       107,       534,       62,        1120
128,      366,       128,       165,       666,       226,       485,       106,       535,       60,        1145
129,      366,       129,       165,       665,       225,       485,       108,       535,       60,        1155
127,      366,       130,       164,       666,       227,       485,       107,       536,       62,        1170
128,      367,       128,       163,       668,       226,       485,       106,       538,       61,        1170
128,      369,       130,       165,       667,       228,       487,       108,       538,       63,        1235
128,      367,       129,       164,       667,       228,       488,       106,       539,       61,        1205
128,      368,       130,       165,       667,       227,       488,       106,       536,       62,        1205
129,      368,       128,       166,       669,       228,       490,       106,       540,       62,        1250
130,      370,       129,       165,       670,       228,       489,       108,       539,       60,        1260
129,      368,       129,       166,       668,       226,       490,       108,       541,       60,        1245
128,      371,       129,       165,       671,       227,       490,       107,       542,       62,        1280
129,      369,       129,       166,       670,       226,       491,       108,       540,       60,        1260
129,      370,       129,       164,       672,       228,       491,       107,       542,       62,        1290
129,      371,       131,       166,       670,       229,       492,       108,       541,       62,        1315
131,      372,       131,       168,       670,       229,       493,       108,       544,       63,        1365
130,      373,       131,       167,       672,       230,       493,       109,       545,       63,        1385
131,      373,       131,       167,       673,       230,       492,       109,       544,       63,        1385
132,      373,       131,       167,       674,       230,       494,       109,       546,       63,        1415
131,      374,       132,       168,       673,       231,       494,       109,       544,       63,        1415
132,      374,       132,       167,       671,       230,       494,       108,       547,       64,        1415
133,      375,       132,       170,       675,       230,       496,       111,       547,       65,        1490
131,      374,       132,       166,       673,       229,       494,       109,       545,       62,        1395
132,      376,       131,       167,       675,       230,       495,       109,       548,       63,        1450
133,      375,       130,       167,       675,       230,       495,       109,       546,       62,        1430
131,      377,       131,       168,       675,       229,       494,       110,       549,       64,        1460
131,      375,       132,       168,       675,       229,       498,       109,       548,       63,        1460
132,      376,       132,       167,       673,       231,       496,       109,       548,       62,        1450
133,      378,       132,       168,       677,       230,       496,       110,       550,       63,        1505
134,      378,       131,       169,       676,       231,       497,       110,       548,       63,        1505
133,      378,       133,       168,       675,       230,       498,       110,       550,       64,        1515
133,      378,       131,       168,       678,       231,       498,       109,       552,       64,        1530
133,      377,       132,       169,       676,       230,       498,       110,       549,       63,        1505
133,      380,       132,       168,       676,       230,       500,       109,       551,       65,        1540
133,      378,       132,       168,       676,       230,       498,       110,       550,       63,        1510
135,      379,       133,       168,       677,       230,       499,       110,       552,       64,        1555
134,      379,       133,       169,       676,       231,       499,       110,       553,       64,        1560
133,      380,       132,       168,       676,       231,       501,       109,       551,       64,        1545
134,      382,       132,       168,       678,       232,       501,       109,       554,       65,        1595
135,      380,       133,       169,       677,       230,       500,       109,       553,       63,        1565
134,      380,       133,       169,       677,       231,       502,       110,       553,       63,        1580
135,      380,       132,       169,       678,       230,       502,       111,       553,       63,        1585
135,      381,       132,       168,       678,       231,       501,       109,       555,       64,        1590
135,      382,       132,       169,       679,       231,       501,       110,       555,       63,        1605
134,      381,       132,       170,       678,       230,       501,       111,       554,       63,        1590
134,      384,       133,       169,       680,       232,       503,       110,       556,       65,        1650
135,      382,       133,       170,       679,       232,       503,       110,       554,       64,        1630
136,      383,       132,       169,       680,       232,       504,       110,       556,       63,        1645
134,      383,       135,       169,       678,       231,       504,       109,       556,       65,        1640
136,      384,       133,       170,       679,       231,       504,       112,       555,       63,        1655
135,      385,       134,       170,       680,       233,       505,       111,       558,       65,        1700
137,      386,       133,       169,       681,       232,       506,       111,       556,       64,        1695
136,      388,       134,       170,       681,       232,       504,       112,       559,       65,        1725
135,      387,       134,       169,       680,       232,       506,       110,       558,       65,        1700
138,      386,       133,       171,       680,       232,       506,       111,       559,       64,        1720
137,      386,       135,       171,       681,       233,       508,       111,       557,       65,        1740
136,      386,       135,       171,       679,       233,       508,       111,       558,       66,        1735
138,      388,       135,       171,       683,       233,       507,       113,       561,       65,        1790
137,      387,       136,       171,       681,       232,       507,       112,       559,       66,        1760
138,      388,       133,       171,       681,       232,       509,       111,       561,       65,        1765
138,      389,       135,       171,       682,       233,       510,       111,       559,       64,        1780
138,      388,       134,       172,       682,       232,       508,       113,       559,       64,        1770
138,      390,       135,       172,       683,       234,       510,       112,       562,       67,        1835
139,      390,       135,       173,       682,       233,       509,       112,       561,       65,        1815
139,      392,       137,       174,       682,       235,       511,       113,       564,       68,        1895
140,      392,       135,       173,       685,       234,       512,       113,       561,       66,        1875
139,      393,       137,       173,       682,       236,       511,       113,       563,       67,        1890
140,      392,       137,       173,       685,       236,       512,       114,       565,       67,        1925
141,      392,       137,       174,       684,       235,       511,       114,       563,       67,        1910
140,      393,       136,       173,       685,       235,       512,       114,       565,       67,        1920
142,      396,       138,       176,       687,       237,       513,       116,       564,       69,        2010
140,      395,       138,       173,       683,       237,       513,       113,       564,       67,        1935
141,      395,       137,       173,       686,       236,       513,       114,       566,       68,        1965
141,      395,       137,       173,       684,       235,       515,       113,       564,       67,        1940
140,      395,       136,       172,       684,       234,       515,       112,       566,       67,        1925
140,      394,       135,       172,       686,       236,       515,       112,       565,       65,        1920
141,      395,       137,       174,       684,       236,       515,       112,       566,       66,        1950
141,      395,       137,       173,       686,       235,       515,       113,       568,       66,        1965
142,      394,       137,       174,       686,       234,       514,       114,       566,       65,        1950
141,      396,       136,       172,       686,       236,       516,       112,       570,       67,        1980
140,      396,       137,       173,       685,       235,       517,       112,       567,       67,        1965
140,      397,       137,       174,       686,       234,       517,       113,       567,       68,        1985
140,      398,       137,       173,       686,       235,       518,       112,       569,       68,        2000
140,      397,       137,       173,       686,       235,       517,       112,       567,       67,        1975
140,      397,       137,       173,       685,       235,       519,       112,       569,       68,        1995
141,      397,       137,       174,       687,       234,       517,       113,       568,       66,        1990
142,      398,       137,       173,       687,       236,       519,       112,       569,       67,        2020
141,      399,       137,       172,       687,       235,       519,       112,       571,       67,        2020
140,      397,       137,       173,       687,       234,       518,       113,       569,       66,        1990
141,      398,       137,       173,       687,       235,       519,       112,       572,       66,        2020
141,      398,       137,       173,       687,       235,       521,       113,       570,       65,        2020
143,      398,       136,       175,       688,       234,       520,       114,       571,       65,        2040
142,      401,       137,       173,       688,       236,       521,       112,       573,       67,        2070
141,      400,       138,       173,       687,       235,       520,       113,       570,       67,        2040
142,      400,       138,       175,       688,       235,       522,       114,       572,       66,        2080
