0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
396,10,-61,117,
113,      352,       105,       119,       542,       184,       316,       87,        379,       56,        0
113,      352,       105,       119,       542,       183,       316,       87,        378,       55,        0
112,      352,       105,       119,       542,       183,       316,       88,        380,       55,        0
112,      353,       104,       119,       543,       184,       315,       87,        380,       56,        0
112,      352,       105,       119,       543,       183,       315,       87,        378,       55,        0
112,      352,       105,       120,       542,       184,       317,       87,        380,       55,        0
112,      352,       104,       119,       543,       183,       315,       87,        379,       55,        0
111,      352,       105,       119,       543,       184,       315,       86,        380,       56,        0
112,      352,       104,       121,       542,       183,       316,       87,        379,       55,        0
111,      352,       105,       120,       542,       182,       315,       88,        380,       55,        0
112,      352,       104,       120,       543,       184,       316,       86,        380,       56,        0
111,      352,       105,       120,       542,       182,       315,       86,        379,       56,        0
113,      353,       104,       121,       543,       183,       316,       87,        380,       56,        0
111,      352,       105,       119,       542,       183,       316,       87,        378,       56,        0
112,      353,       104,       119,       543,       184,       317,       86,        380,       56,        0
112,      351,       104,       120,       542,       183,       315,       86,        379,       55,        0
112,      353,       104,       120,       542,       183,       317,       87,        381,       56,        0
114,      352,       104,       121,       543,       183,       315,       87,        379,       55,        0
113,      352,       104,       120,       543,       183,       315,       87,        380,       55,        0
112,      352,       104,       120,       543,       183,       316,       87,        380,       56,        0
111,      352,       105,       119,       541,       183,       316,       86,        378,       55,        0
112,      353,       104,       119,       543,       183,       315,       87,        379,       56,        -5
113,      352,       104,       120,       542,       183,       315,       86,        379,       55,        -15
113,      352,       104,       120,       543,       183,       315,       87,        380,       55,        0
112,      352,       104,       121,       543,       182,       315,       87,        381,       55,        0
111,      352,       104,       120,       543,       184,       316,       86,        379,       55,        -10
112,      353,       104,       120,       543,       184,       316,       86,        381,       56,        15
111,      351,       106,       120,       541,       182,       315,       87,        379,       56,        -20
112,      352,       106,       120,       540,       183,       316,       88,        380,       57,        10
112,      352,       106,       120,       541,       183,       316,       88,        380,       56,        10
111,      352,       105,       119,       541,       184,       315,       87,        379,       56,        -15
113,      354,       104,       119,       543,       184,       315,       87,        381,       56,        20
111,      352,       106,       120,       541,       184,       315,       88,        378,       56,        -5
112,      353,       105,       120,       541,       184,       316,       87,        380,       56,        10
112,      351,       105,       120,       542,       183,       315,       87,        381,       56,        0
113,      352,       105,       120,       542,       184,       316,       87,        380,       55,        10
113,      352,       105,       121,       544,       184,       316,       87,        381,       56,        35
111,      352,       105,       120,       541,       184,       315,       87,        379,       56,        -10
112,      352,       105,       121,       542,       183,       315,       88,        381,       56,        15
113,      353,       105,       120,       541,       184,       317,       89,        382,       55,        35
112,      351,       105,       120,       541,       183,       316,       87,        381,       55,        -5
112,      351,       104,       120,       542,       183,       316,       87,        381,       55,        -5
112,      353,       105,       121,       543,       184,       317,       87,        381,       56,        35
114,      355,       108,       124,       543,       186,       319,       89,        385,       59,        150
114,      354,       106,       122,       542,       187,       318,       89,        383,       57,        100
115,      355,       108,       123,       544,       187,       319,       91,        385,       58,        165
114,      355,       108,       122,       545,       187,       320,       89,        385,       58,        155
114,      355,       106,       121,       544,       185,       318,       88,        384,       57,        100
114,      353,       106,       121,       546,       185,       319,       89,        385,       56,        110
113,      354,       107,       121,       545,       186,       318,       88,        383,       57,        100
115,      355,       107,       122,       548,       186,       320,       90,        387,       57,        175
116,      355,       107,       121,       547,       187,       320,       90,        385,       56,        160
114,      354,       106,       122,       547,       186,       319,       88,        385,       57,        130
114,      353,       105,       121,       548,       186,       319,       88,        387,       56,        125
113,      354,       106,       122,       548,       186,       319,       89,        385,       57,        135
115,      355,       106,       122,       549,       186,       320,       90,        388,       56,        175
115,      355,       105,       122,       550,       186,       320,       89,        386,       56,        160
115,      355,       106,       121,       548,       187,       320,       88,        388,       57,        165
114,      355,       106,       123,       550,       186,       322,       89,        388,       58,        195
115,      355,       106,       121,       550,       186,       321,       90,        386,       57,        175
113,      355,       105,       121,       551,       186,       320,       88,        387,       56,        150
114,      356,       106,       122,       552,       187,       321,       89,        387,       57,        195
114,      357,       105,       120,       550,       187,       321,       88,        389,       57,        180
115,      356,       106,       121,       551,       188,       322,       88,        391,       57,        215
113,      356,       106,       121,       551,       185,       321,       89,        387,       56,        165
112,      356,       106,       121,       552,       186,       322,       88,        389,       57,        185
113,      355,       105,       120,       552,       186,       320,       89,        388,       55,        155
114,      356,       106,       122,       552,       186,       322,       88,        390,       58,        210
113,      356,       106,       122,       553,       186,       322,       89,        390,       57,        210
113,      357,       106,       121,       551,       185,       322,       89,        389,       57,        190
114,      358,       106,       122,       554,       186,       323,       90,        391,       58,        250
116,      359,       107,       122,       553,       189,       324,       90,        392,       58,        290
113,      357,       106,       121,       553,       185,       322,       88,        391,       57,        205
114,      357,       105,       120,       554,       186,       323,       88,        392,       57,        220
113,      358,       106,       121,       553,       186,       323,       88,        390,       56,        210
114,      359,       106,       121,       554,       187,       323,       89,        393,       56,        250
115,      358,       107,       123,       555,       187,       324,       90,        391,       58,        280
114,      360,       106,       121,       554,       187,       324,       88,        394,       56,        260
113,      358,       106,       122,       555,       186,       324,       89,        393,       57,        255
114,      358,       105,       122,       555,       186,       324,       89,        392,       56,        245
113,      360,       106,       121,       556,       187,       325,       89,        394,       57,        280
114,      359,       106,       122,       556,       186,       324,       89,        392,       56,        260
114,      360,       105,       122,       557,       187,       325,       88,        394,       58,        290
115,      360,       105,       121,       556,       186,       325,       89,        395,       57,        285
113,      361,       107,       122,       556,       187,       326,       89,        394,       58,        305
114,      362,       106,       122,       557,       187,       327,       89,        397,       58,        335
114,      362,       106,       122,       556,       187,       326,       89,        395,       58,        315
115,      362,       106,       121,       558,       187,       327,       89,        397,       57,        335
115,      362,       106,       121,       559,       188,       328,       90,        397,       58,        360
114,      362,       106,       122,       558,       187,       326,       90,        395,       56,        320
115,      362,       105,       123,       559,       188,       327,       90,        398,       57,        360
114,      363,       106,       121,       559,       188,       328,       89,        396,       58,        350
115,      365,       107,       122,       559,       188,       328,       90,        400,       58,        400
117,      364,       107,       123,       560,       189,       330,       91,        399,       59,        435
115,      363,       107,       123,       560,       188,       328,       90,        398,       58,        390
117,      366,       107,       123,       561,       189,       329,       90,        401,       59,        450
117,      365,       107,       123,       561,       188,       330,       90,        400,       58,        435
