0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
402,10,-56,116,
109,      220,       70,        85,        521,       138,       151,       70,        188,       57,        0
109,      219,       70,        86,        521,       137,       151,       70,        186,       58,        0
107,      218,       71,        83,        520,       136,       150,       69,        185,       57,        0
108,      218,       69,        84,        521,       136,       149,       70,        185,       56,        0
109,      219,       69,        86,        520,       137,       150,       72,        186,       57,        0
108,      219,       69,        84,        519,       137,       150,       69,        186,       56,        0
109,      220,       71,        86,        521,       137,       151,       71,        187,       58,        0
105,      218,       68,        83,        520,       135,       149,       69,        185,       56,        0
106,      216,       68,        83,        520,       134,       148,       68,        184,       56,        0
107,      216,       67,        83,        520,       135,       147,       67,        183,       55,        0
105,      218,       68,        82,        519,       136,       149,       67,        186,       55,        0
106,      216,       67,        81,        520,       133,       148,       68,        184,       55,        0
106,      217,       67,        82,        520,       135,       147,       68,        185,       55,        0
106,      216,       68,        83,        519,       134,       147,       67,        184,       54,        0
106,      216,       67,        82,        519,       134,       148,       67,        184,       54,        0
106,      216,       67,        83,        520,       135,       148,       68,        184,       54,        0
107,      219,       69,        85,        520,       135,       150,       69,        184,       57,        0
109,      221,       70,        85,        521,       138,       150,       71,        187,       58,        0
111,      221,       71,        87,        521,       138,       152,       73,        188,       58,        0
109,      221,       71,        85,        520,       138,       151,       71,        188,       59,        0
111,      221,       71,        86,        522,       140,       154,       72,        191,       60,        0
110,      221,       72,        88,        521,       139,       152,       72,        188,       59,        0
110,      222,       71,        86,        521,       140,       152,       71,        189,       59,        0
109,      219,       70,        86,        520,       136,       151,       70,        186,       57,        0
108,      219,       70,        84,        519,       137,       150,       70,        186,       57,        50
109,      219,       70,        84,        522,       137,       149,       71,        187,       56,        70
109,      218,       69,        85,        520,       137,       150,       70,        186,       56,        50
110,      220,       70,        84,        522,       137,       150,       71,        187,       57,        90
109,      219,       69,        85,        520,       136,       149,       70,        185,       57,        45
109,      219,       68,        84,        520,       135,       149,       70,        187,       57,        40
108,      219,       69,        85,        521,       137,       151,       70,        186,       57,        65
107,      217,       70,        83,        520,       136,       150,       69,        185,       58,        25
108,      218,       69,        85,        521,       136,       150,       69,        187,       57,        50
108,      219,       68,        84,        521,       136,       149,       69,        186,       57,        35
108,      218,       69,        84,        520,       135,       150,       70,        185,       56,        25
108,      218,       69,        84,        521,       136,       150,       70,        186,       55,        35
107,      217,       68,        84,        519,       136,       149,       69,        185,       55,        -5
108,      218,       69,        84,        522,       136,       149,       70,        187,       55,        40
107,      218,       67,        85,        521,       136,       149,       70,        185,       55,        15
109,      218,       68,        85,        520,       136,       149,       70,        186,       56,        35
107,      220,       69,        84,        520,       136,       150,       70,        187,       56,        45
108,      218,       70,        85,        519,       136,       151,       70,        185,       56,        40
108,      220,       69,        85,        521,       137,       151,       70,        187,       57,        75
108,      219,       70,        85,        520,       137,       150,       70,        186,       58,        65
108,      218,       70,        84,        519,       137,       151,       69,        185,       58,        45
107,      219,       68,        84,        520,       137,       150,       70,        187,       56,        40
109,      217,       69,        85,        520,       136,       149,       70,        186,       57,        40
109,      219,       69,        84,        521,       138,       149,       68,        187,       56,        50
