0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
376,10,-65,120,
175,      369,       136,       167,       373,       385,       258,       43,        261,       101,       1500
173,      367,       136,       166,       372,       384,       256,       43,        261,       101,       1500
174,      368,       136,       166,       373,       383,       258,       43,        262,       102,       1500
173,      368,       136,       166,       372,       385,       257,       42,        262,       100,       1500
174,      368,       136,       165,       374,       384,       256,       43,        262,       101,       1500
175,      368,       135,       166,       374,       385,       257,       42,        262,       101,       1500
173,      367,       136,       167,       373,       384,       256,       43,        261,       100,       1500
175,      368,       135,       167,       374,       384,       257,       43,        263,       101,       1500
174,      369,       136,       166,       373,       383,       256,       44,        261,       100,       1500
173,      368,       136,       166,       373,       384,       256,       42,        259,       101,       1500
173,      368,       136,       166,       373,       384,       256,       43,        263,       101,       1500
174,      368,       135,       166,       372,       383,       255,       43,        262,       101,       1500
174,      367,       136,       166,       373,       385,       257,       42,        262,       100,       1500
175,      368,       135,       166,       373,       384,       256,       44,        262,       100,       1500
174,      367,       135,       166,       373,       383,       256,       43,        261,       100,       1500
173,      367,       135,       167,       373,       383,       256,       43,        261,       100,       0
175,      368,       134,       166,       374,       384,       256,       43,        263,       100,       0
173,      367,       135,       166,       372,       383,       256,       43,        260,       101,       0
172,      366,       137,       166,       372,       383,       256,       42,        260,       101,       0
173,      368,       136,       165,       374,       385,       256,       43,        261,       100,       0
174,      367,       134,       166,       372,       383,       256,       42,        262,       101,       0
172,      367,       135,       165,       372,       385,       257,       42,        261,       101,       75
174,      367,       135,       165,       372,       383,       256,       42,        262,       100,       70
174,      367,       134,       166,       374,       383,       256,       44,        262,       100,       90
175,      367,       135,       166,       372,       384,       256,       43,        260,       100,       80
172,      366,       135,       166,       372,       383,       255,       43,        260,       99,        45
175,      367,       135,       166,       373,       384,       256,       43,        262,       100,       95
173,      367,       136,       165,       373,       384,       256,       42,        262,       100,       80
173,      367,       135,       165,       373,       383,       255,       43,        260,       101,       65
175,      366,       136,       166,       373,       383,       255,       42,        262,       100,       80
175,      369,       135,       165,       372,       386,       256,       42,        263,       101,       110
173,      368,       135,       166,       372,       383,       254,       42,        261,       100,       60
174,      367,       135,       166,       374,       383,       255,       43,        261,       100,       80
174,      367,       136,       165,       372,       384,       257,       42,        262,       100,       85
174,      366,       136,       166,       372,       382,       256,       43,        262,       99,        70
173,      367,       135,       165,       373,       383,       255,       43,        261,       100,       65
174,      366,       134,       166,       373,       383,       256,       43,        262,       101,       80
174,      367,       135,       166,       374,       384,       256,       43,        264,       100,       105
174,      367,       136,       167,       374,       384,       257,       43,        264,       101,       125
174,      366,       135,       167,       373,       384,       256,       43,        263,       100,       95
