0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
376,10,-64,119,
207,      222,       206,       206,       235,       388,       207,       206,       266,       212,       0
207,      221,       206,       205,       235,       389,       208,       206,       267,       208,       0
207,      221,       206,       205,       234,       388,       208,       206,       266,       209,       0
207,      222,       206,       205,       236,       389,       209,       206,       266,       212,       0
206,      221,       206,       205,       235,       388,       208,       206,       267,       208,       0
207,      222,       206,       205,       235,       388,       208,       206,       267,       213,       0
205,      221,       206,       205,       234,       389,       208,       206,       267,       208,       0
207,      222,       206,       205,       235,       388,       207,       205,       266,       215,       0
206,      221,       206,       205,       235,       388,       208,       206,       267,       209,       0
206,      221,       206,       205,       234,       388,       207,       206,       266,       210,       0
207,      222,       206,       205,       235,       387,       207,       206,       266,       213,       0
207,      222,       206,       205,       235,       388,       209,       206,       267,       211,       0
207,      221,       206,       205,       235,       388,       208,       206,       266,       210,       0
206,      222,       206,       205,       234,       388,       207,       206,       266,       211,       0
207,      222,       206,       205,       235,       389,       208,       206,       267,       210,       0
206,      221,       206,       206,       235,       388,       208,       206,       266,       209,       0
206,      221,       206,       206,       235,       389,       208,       205,       267,       210,       0
207,      221,       206,       205,       236,       389,       209,       206,       266,       210,       0
207,      221,       206,       206,       236,       389,       209,       206,       267,       208,       0
206,      221,       206,       205,       235,       388,       207,       206,       266,       218,       0
207,      221,       206,       205,       235,       389,       207,       206,       266,       213,       0
206,      222,       206,       206,       236,       389,       209,       205,       267,       208,       15
206,      222,       206,       206,       235,       388,       209,       206,       267,       207,       5
207,      221,       206,       205,       235,       388,       209,       207,       266,       213,       30
207,      221,       206,       206,       235,       389,       208,       206,       267,       209,       15
207,      221,       206,       206,       236,       388,       209,       206,       268,       218,       70
207,      221,       206,       206,       235,       388,       207,       206,       266,       212,       15
207,      221,       206,       205,       235,       388,       207,       205,       266,       222,       55
207,      221,       206,       205,       236,       388,       209,       206,       267,       210,       20
206,      221,       206,       205,       236,       388,       208,       206,       267,       207,       -5
207,      221,       206,       205,       234,       387,       207,       206,       266,       213,       5
207,      221,       206,       205,       234,       388,       208,       206,       267,       209,       0
207,      221,       206,       205,       235,       388,       208,       206,       267,       207,       -5
206,      221,       206,       206,       235,       389,       208,       206,       267,       209,       10
207,      221,       206,       205,       235,       389,       208,       206,       267,       214,       35
207,      222,       206,       205,       236,       389,       208,       206,       267,       209,       20
206,      222,       206,       206,       235,       389,       208,       206,       267,       208,       10
206,      222,       206,       205,       235,       388,       208,       206,       267,       213,       25
207,      222,       206,       205,       235,       389,       208,       206,       267,       211,       25
207,      221,       206,       206,       235,       389,       208,       206,       267,       210,       20
207,      222,       206,       206,       235,       389,       208,       205,       267,       220,       70
208,      222,       207,       206,       236,       390,       209,       206,       267,       212,       60
207,      221,       206,       205,       236,       390,       209,       206,       267,       210,       30
206,      221,       206,       205,       236,       391,       208,       206,       267,       209,       20
207,      222,       206,       205,       235,       389,       208,       206,       267,       214,       40
207,      222,       206,       205,       236,       391,       209,       206,       268,       209,       40
207,      221,       206,       205,       236,       391,       209,       206,       268,       208,       30
207,      221,       206,       206,       235,       390,       208,       206,       267,       213,       40
207,      222,       206,       206,       236,       392,       209,       205,       266,       213,       55
207,      222,       206,       206,       236,       391,       208,       206,       268,       208,       35
206,      222,       206,       206,       236,       392,       208,       206,       267,       212,       50
208,      222,       206,       205,       237,       392,       208,       206,       268,       213,       70
207,      222,       206,       206,       237,       393,       210,       206,       268,       208,       60
207,      221,       206,       205,       237,       393,       209,       206,       267,       211,       55
206,      222,       206,       205,       236,       392,       209,       206,       267,       212,       50
207,      222,       206,       205,       237,       393,       210,       206,       267,       211,       65
207,      222,       206,       206,       237,       393,       210,       207,       269,       208,       70
207,      222,       206,       205,       236,       393,       209,       206,       267,       211,       55
207,      222,       206,       206,       236,       393,       209,       206,       267,       211,       60
207,      222,       206,       205,       237,       394,       210,       206,       268,       219,       115
207,      222,       206,       205,       237,       393,       209,       206,       268,       208,       50
206,      222,       206,       205,       237,       394,       209,       206,       267,       212,       65
207,      222,       206,       206,       238,       393,       209,       207,       269,       210,       80
207,      222,       206,       205,       236,       394,       209,       206,       267,       220,       105
207,      222,       206,       206,       236,       394,       209,       206,       268,       213,       80
208,      223,       206,       205,       238,       394,       211,       207,       268,       207,       80
207,      222,       206,       206,       237,       394,       209,       207,       268,       208,       65
207,      223,       206,       205,       237,       395,       210,       206,       268,       213,       95
207,      222,       206,       205,       237,       395,       210,       206,       268,       212,       85
207,      223,       206,       205,       237,       395,       210,       206,       268,       209,       75
207,      222,       206,       206,       237,       395,       210,       207,       268,       210,       85
208,      222,       206,       206,       238,       395,       210,       206,       268,       223,       155
207,      222,       206,       205,       237,       395,       210,       206,       269,       210,       80
207,      222,       206,       205,       238,       395,       211,       207,       268,       211,       95
207,      222,       206,       205,       237,       394,       209,       206,       268,       210,       65
207,      222,       206,       206,       237,       395,       209,       206,       268,       214,       95
208,      222,       206,       205,       238,       395,       210,       206,       268,       210,       85
207,      223,       206,       206,       238,       395,       210,       206,       269,       207,       80
207,      223,       206,       206,       237,       395,       210,       206,       268,       214,       105
207,      223,       206,       206,       238,       395,       210,       206,       268,       215,       115
208,      223,       206,       205,       238,       395,       210,       207,       269,       210,       100
208,      222,       206,       206,       237,       395,       211,       206,       269,       209,       90
208,      222,       206,       206,       237,       395,       210,       206,       268,       214,       105
207,      222,       206,       206,       238,       395,       210,       206,       269,       210,       90
207,      222,       206,       206,       238,       395,       210,       206,       269,       209,       85
208,      222,       206,       205,       238,       394,       210,       206,       268,       213,       95
208,      223,       206,       205,       238,       395,       210,       207,       269,       210,       100
207,      223,       207,       206,       238,       395,       210,       206,       268,       210,       95
207,      222,       206,       205,       237,       395,       209,       206,       268,       209,       65
208,      223,       206,       205,       238,       395,       210,       207,       268,       212,       105
208,      223,       206,       205,       238,       395,       211,       206,       269,       209,       95
208,      222,       206,       205,       237,       395,       210,       206,       268,       211,       85
208,      223,       206,       206,       237,       395,       209,       206,       269,       214,       110
208,      223,       206,       205,       237,       396,       211,       207,       269,       209,       100
