0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
380,10,-60,119,
358,      343,       314,       270,       278,       205,       248,       299,       323,       225,       0
358,      344,       314,       270,       278,       205,       247,       299,       323,       241,       0
358,      343,       314,       271,       278,       205,       248,       300,       324,       226,       0
357,      343,       314,       270,       277,       204,       247,       299,       323,       230,       0
357,      343,       314,       271,       278,       205,       248,       300,       324,       227,       0
356,      343,       313,       270,       278,       204,       247,       300,       323,       243,       0
358,      343,       314,       271,       279,       205,       247,       300,       324,       234,       0
358,      343,       314,       270,       278,       205,       247,       299,       323,       225,       0
358,      343,       314,       270,       278,       205,       247,       300,       324,       238,       0
357,      343,       313,       270,       278,       204,       248,       301,       324,       224,       0
357,      343,       314,       271,       279,       205,       248,       300,       324,       230,       0
357,      343,       314,       270,       278,       204,       248,       300,       324,       243,       0
358,      344,       314,       271,       279,       205,       248,       301,       324,       234,       0
357,      343,       314,       270,       278,       205,       248,       300,       324,       223,       0
357,      344,       314,       270,       279,       205,       248,       300,       323,       235,       0
358,      344,       314,       271,       279,       205,       249,       301,       324,       227,       0
359,      344,       314,       271,       279,       205,       248,       301,       324,       231,       0
358,      343,       314,       270,       278,       204,       247,       299,       324,       242,       0
357,      343,       314,       270,       278,       204,       247,       300,       323,       239,       0
358,      343,       313,       271,       279,       205,       248,       301,       324,       225,       0
357,      342,       314,       270,       278,       205,       248,       300,       324,       233,       0
357,      343,       314,       271,       278,       204,       248,       300,       324,       243,       45
358,      344,       314,       271,       279,       205,       248,       301,       324,       234,       25
358,      343,       314,       270,       278,       205,       247,       301,       324,       223,       -50
358,      343,       314,       270,       279,       205,       248,       300,       324,       243,       55
358,      343,       314,       271,       279,       204,       249,       301,       324,       244,       70
357,      343,       313,       270,       279,       204,       248,       301,       324,       226,       -40
358,      343,       314,       271,       280,       205,       248,       301,       324,       238,       45
358,      343,       314,       270,       279,       205,       248,       300,       324,       243,       55
358,      344,       313,       271,       280,       204,       249,       302,       325,       228,       5
358,      344,       314,       270,       279,       205,       249,       301,       324,       227,       -10
358,      344,       314,       270,       279,       205,       248,       301,       324,       241,       55
359,      344,       314,       271,       280,       205,       249,       301,       324,       248,       110
359,      344,       314,       271,       280,       205,       249,       302,       325,       227,       15
357,      343,       314,       270,       279,       205,       248,       301,       325,       231,       0
358,      344,       313,       270,       279,       205,       248,       301,       324,       245,       70
359,      344,       313,       271,       280,       204,       249,       302,       325,       237,       55
358,      344,       313,       270,       280,       205,       248,       303,       325,       225,       -10
358,      344,       314,       270,       280,       205,       248,       301,       324,       242,       65
359,      344,       314,       271,       280,       204,       249,       303,       325,       228,       20
358,      344,       313,       270,       280,       205,       249,       302,       325,       226,       -5
359,      344,       314,       270,       280,       204,       248,       301,       324,       243,       70
359,      344,       314,       270,       279,       205,       249,       302,       325,       241,       75
359,      345,       314,       271,       280,       205,       250,       303,       325,       227,       30
359,      345,       314,       271,       280,       205,       249,       303,       325,       228,       30
359,      344,       314,       270,       280,       205,       249,       303,       325,       241,       85
359,      344,       314,       271,       281,       205,       249,       302,       325,       249,       130
360,      345,       314,       270,       281,       205,       249,       302,       325,       226,       20
359,      344,       314,       270,       279,       204,       249,       302,       325,       229,       10
360,      345,       314,       271,       280,       205,       249,       303,       326,       231,       55
360,      345,       314,       271,       281,       205,       250,       303,       326,       237,       95
359,      344,       314,       270,       281,       205,       250,       302,       325,       238,       75
360,      345,       314,       270,       280,       204,       249,       302,       325,       243,       95
360,      345,       314,       270,       280,       205,       250,       303,       326,       231,       55
359,      345,       313,       270,       281,       205,       249,       302,       327,       226,       20
360,      345,       314,       270,       281,       205,       250,       303,       326,       238,       95
361,      346,       314,       271,       281,       205,       250,       304,       326,       241,       130
361,      346,       314,       271,       282,       205,       251,       304,       327,       228,       80
361,      345,       314,       270,       281,       204,       250,       303,       326,       245,       130
360,      345,       314,       270,       281,       204,       250,       304,       327,       238,       100
361,      346,       314,       271,       282,       205,       251,       304,       327,       225,       65
361,      345,       314,       271,       282,       205,       251,       304,       327,       238,       125
361,      346,       315,       271,       282,       205,       251,       304,       327,       245,       170
362,      346,       314,       270,       282,       205,       251,       305,       328,       238,       140
361,      346,       314,       270,       282,       204,       250,       305,       327,       229,       75
361,      346,       314,       271,       282,       204,       251,       304,       327,       232,       95
362,      346,       314,       271,       282,       204,       251,       305,       327,       245,       170
362,      346,       314,       271,       282,       205,       252,       305,       328,       234,       130
362,      346,       314,       271,       282,       205,       251,       304,       327,       239,       140
361,      346,       314,       270,       282,       204,       251,       304,       327,       236,       110
362,      346,       314,       271,       283,       204,       252,       306,       328,       229,       110
362,      346,       314,       271,       282,       204,       251,       305,       327,       227,       80
362,      347,       315,       270,       282,       205,       251,       305,       328,       242,       170
363,      348,       315,       271,       284,       205,       253,       306,       328,       240,       200
363,      348,       315,       271,       283,       205,       253,       307,       328,       230,       150
363,      347,       314,       270,       282,       204,       251,       305,       328,       230,       105
363,      348,       315,       271,       284,       205,       252,       306,       328,       245,       220
365,      348,       315,       271,       284,       205,       253,       307,       329,       237,       205
364,      348,       315,       271,       284,       204,       252,       308,       329,       225,       135
365,      348,       315,       271,       283,       205,       252,       307,       329,       243,       225
