0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
388,10,-65,126,
310,      317,       251,       252,       232,       211,       212,       236,       274,       233,       0
311,      316,       251,       251,       232,       210,       211,       236,       274,       248,       0
311,      316,       252,       252,       232,       211,       212,       236,       273,       230,       0
310,      316,       252,       252,       231,       210,       212,       236,       274,       249,       0
310,      317,       251,       252,       232,       211,       212,       237,       274,       236,       0
310,      316,       251,       252,       231,       211,       212,       236,       274,       237,       0
311,      318,       251,       252,       232,       211,       211,       237,       274,       247,       0
310,      317,       250,       252,       232,       211,       212,       236,       274,       230,       0
311,      317,       251,       252,       232,       210,       212,       236,       274,       247,       0
311,      317,       250,       252,       232,       211,       211,       236,       274,       237,       0
311,      317,       250,       251,       231,       211,       212,       236,       274,       233,       0
311,      317,       250,       252,       232,       210,       211,       237,       275,       233,       0
310,      317,       250,       252,       232,       211,       211,       236,       274,       242,       0
311,      317,       250,       252,       231,       211,       211,       236,       274,       244,       0
310,      317,       250,       252,       232,       211,       211,       237,       275,       231,       0
311,      318,       251,       252,       232,       210,       212,       236,       274,       251,       0
312,      317,       251,       252,       232,       211,       211,       236,       274,       233,       0
311,      317,       251,       252,       232,       211,       211,       236,       274,       244,       0
312,      317,       251,       253,       233,       211,       211,       237,       275,       241,       0
311,      317,       252,       252,       233,       211,       211,       237,       275,       231,       0
312,      318,       252,       253,       234,       210,       211,       238,       276,       252,       0
312,      318,       251,       252,       233,       211,       211,       237,       275,       233,       -5
311,      317,       251,       252,       232,       211,       211,       236,       274,       242,       15
313,      318,       252,       252,       232,       210,       211,       237,       274,       244,       45
313,      318,       253,       252,       232,       210,       212,       236,       273,       249,       70
312,      318,       253,       253,       232,       210,       211,       237,       274,       237,       15
312,      318,       252,       253,       232,       210,       212,       237,       274,       238,       20
314,      317,       253,       253,       232,       212,       212,       237,       274,       248,       90
313,      318,       252,       252,       232,       211,       211,       238,       275,       230,       -10
314,      318,       252,       253,       232,       211,       211,       236,       275,       248,       80
314,      319,       252,       253,       233,       211,       212,       238,       275,       239,       60
313,      319,       251,       252,       232,       211,       212,       237,       274,       243,       50
315,      319,       252,       253,       233,       211,       211,       238,       274,       249,       105
315,      319,       253,       253,       232,       211,       211,       237,       275,       228,       0
315,      320,       253,       253,       233,       211,       211,       238,       275,       244,       95
315,      319,       253,       254,       233,       211,       212,       238,       275,       231,       35
314,      319,       253,       253,       232,       211,       212,       238,       275,       251,       120
316,      320,       253,       253,       234,       211,       211,       238,       276,       233,       55
316,      320,       253,       253,       233,       211,       212,       238,       275,       244,       105
316,      320,       253,       253,       233,       211,       211,       238,       276,       243,       100
316,      319,       253,       253,       233,       211,       212,       239,       275,       233,       50
317,      320,       253,       254,       234,       211,       212,       238,       275,       252,       160
316,      320,       253,       253,       233,       211,       211,       238,       275,       231,       35
317,      320,       254,       254,       233,       211,       211,       239,       275,       245,       125
318,      321,       253,       254,       233,       211,       211,       239,       276,       245,       135
317,      321,       253,       254,       233,       211,       212,       238,       276,       234,       75
318,      321,       254,       254,       234,       211,       212,       239,       276,       248,       165
319,      321,       254,       254,       233,       211,       211,       238,       275,       230,       60
318,      321,       254,       254,       233,       211,       212,       239,       276,       244,       140
319,      321,       255,       254,       233,       211,       212,       239,       276,       236,       110
319,      321,       255,       254,       234,       210,       211,       239,       276,       254,       195
320,      322,       255,       255,       234,       211,       212,       239,       277,       238,       145
320,      322,       254,       254,       234,       211,       211,       239,       276,       255,       210
320,      322,       255,       255,       234,       211,       211,       240,       277,       243,       170
320,      322,       255,       255,       234,       211,       212,       240,       276,       232,       115
321,      322,       255,       254,       234,       211,       212,       239,       276,       258,       240
321,      322,       256,       255,       234,       211,       212,       240,       277,       233,       135
320,      322,       255,       255,       234,       211,       211,       239,       276,       246,       175
322,      323,       257,       256,       234,       210,       211,       240,       277,       242,       190
321,      323,       256,       255,       234,       210,       211,       240,       277,       233,       130
322,      323,       257,       256,       234,       211,       211,       239,       276,       257,       260
322,      323,       257,       256,       235,       210,       211,       241,       277,       233,       155
322,      323,       256,       255,       234,       211,       211,       239,       277,       245,       195
323,      324,       257,       256,       234,       210,       211,       241,       277,       247,       230
323,      323,       257,       256,       234,       211,       211,       240,       277,       233,       155
323,      324,       256,       256,       234,       211,       211,       240,       276,       251,       240
324,      324,       257,       256,       234,       211,       211,       241,       277,       233,       170
324,      324,       256,       256,       234,       211,       212,       240,       276,       245,       220
324,      325,       257,       257,       234,       211,       211,       240,       277,       247,       245
324,      324,       257,       257,       234,       211,       212,       241,       277,       232,       175
324,      325,       258,       257,       235,       211,       212,       241,       277,       255,       305
324,      325,       258,       257,       235,       211,       211,       240,       278,       234,       195
325,      325,       257,       257,       234,       210,       212,       240,       277,       246,       245
326,      325,       258,       257,       234,       211,       212,       241,       277,       230,       185
326,      326,       258,       257,       233,       211,       212,       240,       277,       248,       270
325,      325,       258,       257,       234,       211,       212,       241,       278,       240,       235
326,      326,       258,       257,       235,       211,       211,       240,       277,       240,       235
