0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
364,10,-61,115,
109,      333,       45,        49,        316,       307,       181,       70,        265,       53,        0
109,      331,       46,        49,        314,       306,       181,       70,        262,       53,        0
109,      333,       45,        48,        316,       307,       181,       70,        264,       53,        0
109,      333,       47,        50,        316,       308,       182,       71,        263,       54,        0
110,      333,       46,        49,        316,       308,       181,       70,        265,       53,        0
110,      333,       46,        49,        315,       308,       182,       71,        263,       53,        0
109,      332,       45,        50,        314,       306,       181,       71,        262,       54,        0
110,      334,       45,        48,        315,       307,       181,       71,        266,       53,        0
112,      332,       45,        48,        316,       307,       180,       71,        263,       53,        0
110,      332,       46,        49,        314,       307,       181,       70,        263,       53,        0
111,      334,       45,        50,        315,       307,       181,       72,        265,       53,        0
109,      332,       47,        49,        315,       307,       181,       71,        264,       53,        0
112,      335,       47,        50,        317,       308,       183,       72,        267,       55,        0
111,      334,       46,        50,        317,       308,       183,       72,        265,       54,        0
113,      334,       48,        52,        317,       309,       184,       74,        267,       54,        0
112,      336,       48,        52,        318,       310,       185,       73,        268,       56,        0
111,      333,       47,        50,        316,       309,       183,       72,        266,       54,        0
110,      334,       47,        50,        317,       308,       183,       71,        266,       56,        0
112,      334,       46,        49,        317,       308,       182,       72,        265,       53,        0
110,      333,       47,        50,        316,       307,       183,       71,        264,       54,        0
110,      334,       45,        50,        316,       308,       182,       70,        265,       54,        0
112,      333,       47,        49,        315,       308,       181,       71,        264,       54,        -25
111,      334,       46,        50,        317,       308,       181,       71,        266,       55,        0
111,      336,       47,        51,        317,       310,       183,       72,        266,       55,        45
112,      335,       48,        52,        317,       310,       184,       72,        265,       55,        55
111,      334,       45,        50,        316,       308,       182,       73,        265,       53,        -10
110,      333,       47,        50,        316,       308,       182,       71,        264,       55,        -15
112,      334,       46,        50,        316,       308,       182,       72,        266,       53,        0
112,      333,       47,        50,        316,       307,       183,       72,        265,       54,        0
111,      334,       46,        50,        316,       307,       182,       70,        265,       54,        -20
112,      334,       47,        50,        317,       308,       182,       73,        266,       54,        20
111,      334,       46,        51,        317,       308,       183,       72,        264,       54,        5
111,      334,       47,        50,        316,       308,       182,       72,        265,       54,        0
111,      335,       47,        50,        318,       309,       183,       72,        266,       54,        30
112,      335,       47,        51,        318,       310,       182,       72,        266,       55,        45
112,      336,       48,        52,        318,       311,       184,       73,        267,       55,        85
113,      336,       48,        52,        319,       312,       184,       74,        267,       55,        105
112,      335,       48,        53,        319,       311,       184,       74,        267,       56,        100
114,      337,       48,        54,        320,       311,       186,       74,        268,       56,        145
115,      337,       50,        54,        320,       312,       186,       77,        268,       57,        185
113,      337,       49,        52,        318,       311,       184,       73,        267,       57,        110
112,      336,       48,        51,        318,       309,       183,       72,        266,       56,        60
111,      336,       48,        50,        316,       309,       183,       72,        264,       54,        20
113,      337,       48,        51,        318,       310,       183,       73,        267,       55,        80
112,      336,       48,        51,        317,       310,       183,       72,        265,       55,        50
114,      336,       49,        51,        317,       311,       184,       73,        267,       56,        95
113,      336,       48,        52,        318,       312,       185,       73,        267,       56,        105
111,      335,       48,        51,        316,       311,       183,       73,        266,       56,        55
113,      338,       49,        52,        319,       312,       185,       74,        269,       57,        145
112,      335,       49,        52,        318,       311,       184,       73,        267,       57,        95
112,      335,       48,        51,        318,       311,       186,       73,        267,       56,        90
113,      336,       48,        53,        320,       311,       184,       75,        269,       56,        130
113,      336,       48,        53,        319,       310,       184,       73,        268,       57,        110
113,      336,       48,        51,        319,       311,       184,       73,        268,       56,        100
112,      336,       48,        52,        320,       311,       184,       75,        267,       57,        115
112,      335,       48,        52,        319,       311,       185,       74,        267,       57,        105
113,      334,       47,        51,        317,       311,       185,       72,        267,       55,        65
112,      335,       49,        51,        319,       311,       185,       73,        266,       56,        90
112,      335,       47,        51,        319,       313,       184,       73,        268,       56,        95
114,      336,       47,        52,        320,       312,       186,       74,        267,       55,        120
111,      334,       46,        52,        318,       311,       184,       72,        267,       55,        55
112,      335,       48,        51,        319,       313,       185,       72,        268,       56,        100
113,      335,       46,        52,        319,       312,       183,       73,        267,       54,        75
113,      336,       48,        51,        320,       314,       185,       72,        270,       56,        130
113,      335,       47,        51,        320,       312,       184,       74,        268,       55,        100
112,      337,       48,        50,        320,       314,       185,       72,        269,       56,        120
114,      338,       49,        53,        323,       315,       186,       75,        272,       56,        210
114,      336,       48,        53,        321,       313,       185,       74,        270,       56,        155
113,      336,       48,        51,        321,       313,       185,       73,        270,       55,        130
112,      335,       47,        51,        320,       313,       186,       73,        267,       55,        100
114,      337,       49,        52,        322,       315,       186,       75,        272,       56,        195
112,      335,       48,        51,        321,       313,       185,       72,        269,       56,        115
112,      335,       48,        51,        321,       312,       184,       73,        268,       54,        95
114,      337,       47,        52,        322,       313,       187,       73,        271,       55,        160
112,      336,       47,        50,        322,       312,       186,       72,        268,       55,        105
113,      337,       49,        51,        321,       313,       186,       73,        271,       55,        150
112,      337,       49,        51,        321,       314,       186,       73,        269,       56,        145
111,      335,       45,        50,        320,       312,       184,       71,        267,       54,        50
111,      336,       47,        50,        322,       313,       186,       71,        269,       53,        95
112,      338,       47,        49,        322,       313,       187,       72,        269,       55,        125
111,      337,       46,        51,        322,       313,       186,       72,        270,       55,        120
111,      336,       46,        49,        320,       313,       185,       70,        269,       53,        65
109,      336,       46,        47,        319,       312,       185,       70,        268,       53,        30
109,      336,       45,        46,        322,       312,       185,       69,        267,       52,        20
108,      335,       43,        48,        320,       312,       185,       69,        268,       52,        5
111,      336,       43,        48,        321,       312,       184,       70,        268,       51,        25
111,      338,       44,        48,        321,       311,       185,       69,        271,       52,        55
112,      338,       44,        50,        322,       313,       187,       71,        271,       53,        110
111,      337,       46,        49,        322,       312,       186,       70,        270,       52,        80
114,      339,       46,        49,        323,       314,       187,       71,        272,       53,        145
112,      340,       47,        50,        324,       315,       188,       70,        273,       55,        175
113,      340,       46,        51,        325,       315,       188,       71,        272,       54,        180
112,      339,       46,        50,        324,       314,       188,       72,        272,       53,        155
112,      339,       46,        49,        324,       316,       189,       71,        273,       54,        170
112,      340,       47,        50,        324,       314,       189,       72,        272,       54,        175
113,      340,       46,        50,        324,       315,       187,       70,        273,       54,        165
111,      339,       46,        49,        323,       313,       187,       70,        271,       54,        120
112,      340,       46,        49,        324,       314,       187,       70,        273,       54,        150
113,      340,       46,        49,        324,       315,       187,       71,        273,       54,        165
113,      340,       46,        50,        323,       315,       188,       71,        273,       53,        165
114,      341,       46,        50,        325,       315,       189,       72,        274,       54,        205
111,      341,       46,        49,        324,       314,       187,       71,        272,       54,        150
113,      342,       46,        50,        325,       316,       189,       72,        275,       54,        215
113,      342,       46,        51,        326,       315,       189,       71,        274,       55,        215
112,      341,       47,        50,        323,       315,       189,       71,        274,       54,        185
113,      341,       45,        49,        325,       315,       189,       71,        274,       53,        180
112,      341,       46,        50,        324,       315,       189,       70,        273,       54,        175
113,      342,       45,        49,        325,       316,       189,       70,        275,       53,        190
113,      342,       45,        51,        325,       315,       189,       70,        275,       54,        200
114,      343,       48,        50,        326,       318,       190,       70,        276,       55,        255
113,      343,       46,        51,        326,       316,       188,       71,        275,       54,        220
112,      343,       47,        50,        325,       316,       189,       70,        275,       55,        215
113,      344,       46,        50,        326,       317,       190,       70,        275,       55,        235
114,      343,       47,        50,        326,       317,       190,       71,        275,       55,        245
113,      345,       48,        50,        327,       317,       190,       71,        276,       56,        270
114,      344,       46,        49,        326,       316,       190,       71,        275,       54,        230
113,      344,       46,        49,        325,       316,       190,       71,        274,       55,        220
113,      345,       45,        49,        325,       316,       190,       70,        275,       54,        215
113,      345,       47,        50,        327,       317,       190,       71,        276,       55,        260
114,      345,       46,        51,        326,       316,       191,       71,        278,       54,        265
113,      344,       47,        51,        326,       317,       191,       70,        276,       56,        260
113,      344,       45,        50,        325,       315,       188,       70,        276,       53,        200
112,      345,       46,        50,        325,       317,       190,       69,        276,       54,        225
113,      343,       45,        50,        326,       315,       189,       70,        275,       54,        205
113,      344,       46,        50,        326,       315,       190,       71,        277,       54,        235
