0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
401,10,-62,118,
128,      353,       105,       125,       326,       323,       171,       69,        245,       66,        0
129,      353,       105,       125,       325,       322,       170,       70,        244,       65,        0
127,      352,       106,       125,       325,       322,       171,       70,        244,       66,        0
129,      353,       104,       124,       327,       322,       171,       70,        245,       65,        0
128,      353,       105,       124,       325,       321,       172,       70,        245,       66,        0
128,      352,       106,       125,       325,       321,       171,       69,        243,       67,        0
128,      353,       106,       125,       325,       321,       172,       70,        245,       66,        0
127,      352,       105,       125,       325,       321,       171,       70,        244,       67,        0
129,      352,       104,       126,       326,       321,       170,       71,        246,       66,        0
128,      355,       104,       124,       326,       322,       171,       69,        246,       66,        0
127,      353,       105,       125,       325,       321,       170,       69,        245,       66,        0
128,      354,       105,       124,       326,       323,       171,       70,        246,       66,        0
128,      352,       105,       125,       326,       320,       171,       70,        243,       66,        0
129,      353,       105,       125,       326,       321,       171,       71,        245,       66,        0
129,      353,       105,       125,       326,       321,       169,       71,        244,       65,        0
128,      354,       105,       124,       325,       322,       171,       69,        245,       67,        0
129,      352,       105,       126,       326,       320,       170,       72,        244,       65,        0
128,      353,       105,       124,       325,       321,       170,       70,        245,       66,        0
129,      353,       105,       125,       327,       321,       171,       71,        246,       66,        0
127,      352,       106,       125,       324,       321,       171,       70,        243,       66,        0
130,      353,       106,       127,       327,       322,       172,       71,        246,       66,        0
128,      353,       108,       126,       326,       323,       173,       70,        246,       68,        40
129,      353,       106,       126,       326,       322,       171,       71,        245,       67,        15
130,      354,       105,       125,       328,       323,       172,       71,        247,       67,        45
129,      351,       105,       126,       326,       321,       172,       70,        244,       66,        -15
131,      353,       104,       126,       326,       322,       170,       72,        246,       66,        15
129,      353,       106,       124,       326,       322,       171,       69,        245,       66,        -10
126,      353,       106,       124,       324,       321,       171,       69,        244,       67,        -40
127,      353,       105,       127,       326,       321,       172,       71,        244,       66,        -5
129,      353,       104,       124,       325,       321,       170,       70,        243,       66,        -40
129,      352,       105,       125,       326,       319,       170,       70,        245,       66,        -30
127,      352,       106,       125,       324,       321,       171,       69,        244,       67,        -35
129,      354,       104,       124,       325,       322,       170,       69,        245,       67,        -20
129,      354,       106,       126,       327,       322,       172,       71,        245,       66,        25
127,      354,       106,       124,       326,       323,       170,       69,        244,       67,        -15
128,      354,       105,       124,       325,       324,       170,       69,        246,       67,        -5
129,      352,       106,       125,       325,       323,       172,       69,        245,       66,        -5
130,      353,       104,       126,       326,       322,       169,       71,        244,       65,        -15
130,      354,       104,       125,       327,       323,       169,       71,        246,       65,        5
130,      352,       105,       125,       325,       322,       171,       70,        243,       65,        -25
128,      352,       105,       124,       326,       324,       170,       70,        244,       65,        -25
128,      353,       106,       125,       326,       324,       170,       69,        243,       67,        -10
127,      353,       106,       123,       324,       324,       170,       69,        243,       68,        -30
129,      352,       105,       126,       325,       324,       171,       70,        244,       66,        -5
128,      353,       104,       124,       326,       323,       169,       69,        244,       66,        -35
128,      351,       104,       125,       325,       327,       169,       70,        243,       65,        -30
130,      352,       104,       125,       326,       323,       169,       71,        244,       65,        -20
126,      351,       104,       124,       323,       325,       169,       69,        242,       65,        -75
126,      350,       105,       123,       324,       325,       170,       68,        243,       66,        -65
127,      349,       106,       124,       324,       321,       170,       69,        242,       66,        -75
127,      350,       105,       124,       323,       322,       168,       70,        242,       65,        -85
128,      351,       104,       124,       325,       324,       168,       69,        243,       66,        -55
127,      351,       105,       123,       324,       324,       168,       68,        242,       65,        -80
129,      350,       103,       124,       325,       323,       168,       69,        243,       64,        -75
128,      351,       102,       124,       325,       324,       167,       70,        244,       65,        -65
128,      351,       104,       122,       325,       327,       168,       69,        244,       64,        -55
127,      349,       105,       124,       324,       327,       169,       70,        243,       65,        -50
127,      349,       104,       123,       325,       325,       169,       70,        242,       65,        -70
127,      351,       104,       123,       325,       326,       168,       69,        244,       65,        -55
127,      351,       104,       124,       326,       325,       169,       69,        244,       65,        -45
126,      349,       105,       124,       324,       325,       170,       69,        242,       66,        -65
127,      350,       105,       124,       325,       325,       171,       70,        244,       65,        -35
127,      350,       103,       124,       327,       324,       168,       70,        244,       64,        -60
128,      351,       103,       124,       326,       325,       169,       69,        246,       66,        -30
127,      351,       104,       123,       327,       326,       169,       69,        245,       65,        -35
128,      350,       104,       124,       326,       325,       169,       71,        243,       64,        -45
127,      350,       106,       123,       325,       327,       172,       69,        244,       66,        -20
126,      351,       104,       124,       326,       326,       169,       69,        244,       66,        -40
126,      351,       105,       123,       325,       326,       170,       68,        244,       66,        -45
127,      352,       104,       124,       327,       326,       170,       68,        245,       65,        -25
126,      349,       105,       124,       326,       326,       170,       70,        243,       65,        -45
126,      351,       105,       124,       326,       327,       172,       69,        244,       65,        -20
128,      351,       105,       123,       327,       327,       170,       69,        245,       65,        -15
127,      350,       104,       124,       327,       326,       169,       69,        245,       65,        -35
128,      350,       103,       124,       329,       326,       170,       71,        245,       64,        -15
127,      350,       104,       124,       327,       326,       170,       69,        245,       65,        -30
127,      351,       104,       123,       328,       327,       170,       68,        246,       65,        -20
128,      350,       104,       124,       328,       326,       171,       69,        245,       65,        -15
127,      351,       104,       124,       328,       326,       170,       69,        245,       66,        -15
128,      351,       106,       123,       329,       327,       171,       69,        246,       65,        10
125,      351,       106,       123,       327,       327,       171,       68,        244,       66,        -25
127,      351,       104,       123,       328,       327,       171,       69,        245,       66,        -10
128,      350,       105,       124,       328,       327,       171,       69,        246,       65,        0
127,      350,       104,       125,       328,       326,       169,       70,        245,       65,        -20
126,      351,       106,       124,       328,       328,       171,       69,        245,       66,        5
127,      353,       105,       123,       329,       328,       171,       68,        245,       65,        5
127,      352,       105,       125,       328,       328,       171,       69,        245,       66,        15
128,      353,       104,       124,       330,       328,       172,       69,        246,       66,        35
127,      352,       105,       123,       329,       328,       171,       69,        245,       66,        10
127,      352,       105,       125,       329,       329,       171,       69,        247,       66,        35
128,      353,       104,       125,       330,       328,       172,       70,        246,       65,        40
128,      352,       106,       125,       329,       328,       171,       70,        245,       65,        30
128,      354,       104,       124,       331,       329,       170,       70,        247,       66,        50
128,      352,       106,       124,       329,       328,       171,       70,        245,       65,        25
127,      353,       104,       125,       330,       329,       172,       69,        247,       65,        40
127,      355,       106,       123,       331,       330,       173,       68,        247,       66,        65
129,      353,       105,       125,       330,       329,       172,       69,        247,       66,        60
128,      354,       106,       125,       330,       329,       173,       69,        248,       66,        75
129,      354,       105,       125,       331,       329,       171,       70,        246,       66,        65
128,      355,       105,       124,       331,       331,       172,       69,        248,       66,        80
128,      355,       106,       124,       331,       331,       173,       68,        247,       67,        85
128,      354,       106,       125,       331,       330,       173,       69,        247,       68,        90
129,      356,       105,       125,       332,       332,       173,       69,        249,       66,        115
129,      356,       106,       124,       332,       330,       173,       69,        248,       67,        105
130,      357,       104,       125,       333,       331,       172,       70,        249,       66,        120
129,      357,       106,       125,       333,       331,       175,       70,        250,       67,        150
130,      357,       105,       125,       333,       332,       173,       70,        250,       66,        140
129,      359,       105,       124,       334,       332,       173,       69,        252,       67,        155
130,      358,       104,       124,       333,       332,       173,       69,        251,       67,        140
129,      357,       105,       125,       332,       332,       175,       69,        251,       66,        140
129,      357,       106,       124,       333,       331,       175,       69,        250,       68,        145
129,      357,       106,       125,       333,       331,       173,       69,        250,       67,        135
130,      359,       105,       124,       334,       331,       175,       69,        253,       67,        170
131,      359,       106,       124,       334,       331,       174,       70,        251,       65,        160
129,      359,       105,       124,       334,       332,       173,       69,        251,       67,        150
130,      359,       105,       124,       334,       333,       175,       68,        252,       67,        170
129,      359,       106,       125,       333,       332,       174,       68,        251,       68,        160
132,      359,       104,       125,       334,       333,       174,       69,        253,       66,        180
129,      359,       106,       125,       335,       333,       174,       69,        252,       68,        185
128,      358,       106,       126,       333,       332,       176,       69,        251,       67,        165
129,      360,       106,       125,       335,       333,       176,       68,        252,       68,        195
129,      358,       105,       126,       335,       332,       175,       69,        251,       66,        165
130,      358,       106,       125,       335,       332,       175,       70,        251,       65,        170
130,      359,       107,       126,       335,       333,       176,       69,        253,       67,        210
129,      358,       106,       126,       334,       332,       175,       69,        251,       66,        165
132,      361,       105,       125,       336,       333,       174,       69,        253,       66,        205
131,      361,       106,       125,       336,       332,       175,       69,        252,       67,        205
131,      359,       104,       125,       336,       332,       174,       70,        252,       66,        180
131,      361,       105,       125,       336,       333,       175,       70,        253,       68,        220
130,      361,       106,       125,       336,       334,       175,       69,        252,       67,        210
131,      362,       106,       125,       336,       334,       175,       69,        253,       66,        220
132,      360,       105,       127,       337,       332,       176,       70,        252,       65,        215
130,      360,       106,       127,       335,       332,       176,       70,        251,       67,        205
132,      362,       105,       126,       337,       333,       175,       70,        254,       67,        240
130,      361,       107,       126,       335,       332,       177,       70,        251,       67,        215
130,      362,       106,       125,       336,       334,       176,       69,        253,       66,        220
131,      361,       106,       126,       336,       333,       176,       70,        253,       67,        230
129,      362,       108,       127,       334,       333,       176,       69,        253,       68,        230
133,      363,       106,       127,       337,       334,       176,       71,        255,       68,        285
130,      361,       108,       126,       336,       333,       177,       69,        252,       68,        235
132,      363,       106,       127,       336,       334,       177,       70,        253,       66,        255
131,      363,       106,       126,       338,       334,       176,       69,        254,       67,        255
131,      362,       106,       126,       336,       333,       176,       69,        253,       68,        235
132,      361,       106,       126,       336,       333,       177,       69,        255,       66,        240
133,      362,       105,       127,       336,       333,       175,       69,        254,       66,        235
132,      363,       106,       126,       336,       334,       177,       70,        253,       67,        255
132,      363,       106,       128,       337,       334,       177,       70,        254,       67,        275
132,      363,       106,       127,       336,       333,       175,       71,        254,       67,        255
132,      364,       105,       126,       337,       335,       175,       69,        257,       67,        270
130,      364,       107,       127,       336,       334,       177,       69,        254,       69,        270
131,      363,       107,       126,       335,       335,       176,       69,        254,       68,        255
131,      363,       107,       126,       336,       333,       177,       70,        255,       67,        260
133,      363,       107,       125,       337,       334,       176,       70,        254,       67,        265
132,      364,       107,       127,       336,       336,       178,       70,        255,       68,        300
134,      364,       106,       127,       337,       334,       177,       70,        256,       67,        295
132,      363,       107,       128,       336,       335,       177,       70,        254,       67,        280
133,      364,       109,       128,       337,       334,       179,       72,        257,       68,        340
132,      364,       107,       126,       337,       334,       177,       70,        256,       68,        290
132,      365,       107,       126,       336,       335,       177,       69,        256,       69,        295
131,      366,       108,       127,       336,       335,       179,       69,        256,       69,        315
132,      363,       107,       127,       336,       334,       177,       69,        255,       67,        270
134,      366,       106,       127,       338,       336,       177,       70,        258,       68,        335
132,      365,       106,       127,       337,       334,       178,       70,        255,       68,        295
