0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
383,10,-54,116,
155,      394,       139,       158,       347,       325,       237,       56,        259,       98,        0
154,      394,       139,       158,       348,       325,       238,       55,        260,       98,        0
154,      393,       139,       158,       347,       325,       236,       55,        260,       97,        0
156,      393,       139,       159,       347,       326,       237,       54,        260,       96,        0
154,      394,       139,       157,       347,       325,       236,       55,        259,       97,        0
154,      393,       138,       159,       347,       325,       238,       56,        259,       96,        0
153,      394,       139,       158,       348,       324,       237,       55,        259,       96,        0
154,      393,       139,       160,       347,       324,       237,       54,        260,       96,        0
154,      395,       139,       159,       348,       325,       239,       56,        260,       97,        0
155,      394,       139,       158,       347,       324,       236,       56,        259,       97,        0
155,      394,       138,       159,       348,       325,       239,       55,        261,       97,        0
155,      394,       138,       159,       347,       325,       237,       55,        261,       97,        0
155,      395,       139,       159,       348,       325,       236,       55,        259,       97,        0
156,      394,       138,       158,       347,       325,       238,       55,        261,       96,        0
154,      395,       138,       159,       347,       324,       237,       55,        258,       97,        0
154,      393,       139,       159,       348,       325,       238,       54,        261,       96,        0
154,      394,       139,       158,       347,       325,       237,       56,        261,       97,        0
154,      394,       139,       158,       346,       324,       238,       54,        259,       97,        0
155,      394,       139,       159,       348,       325,       237,       55,        259,       96,        0
155,      394,       140,       159,       347,       325,       239,       55,        261,       97,        0
155,      396,       139,       158,       347,       325,       237,       56,        261,       98,        0
154,      395,       139,       158,       348,       325,       237,       56,        259,       98,        0
155,      396,       139,       159,       349,       326,       238,       56,        259,       98,        0
154,      395,       140,       159,       349,       326,       238,       56,        262,       97,        0
154,      396,       139,       158,       348,       324,       237,       56,        261,       98,        0
155,      396,       139,       160,       349,       326,       238,       55,        261,       98,        0
155,      396,       139,       158,       348,       326,       238,       55,        262,       96,        20
155,      396,       139,       158,       348,       325,       237,       55,        259,       96,        -5
155,      394,       141,       159,       348,       327,       237,       56,        260,       97,        25
156,      396,       140,       159,       347,       326,       239,       56,        263,       98,        55
155,      394,       139,       159,       347,       325,       237,       56,        261,       97,        5
155,      396,       139,       159,       348,       324,       239,       55,        261,       98,        25
155,      396,       139,       159,       348,       325,       238,       55,        261,       97,        20
154,      395,       139,       159,       347,       324,       239,       55,        259,       99,        5
154,      395,       139,       159,       348,       322,       238,       54,        259,       98,        -15
156,      395,       138,       160,       348,       324,       238,       55,        261,       97,        15
156,      397,       140,       158,       348,       327,       239,       55,        262,       97,        50
155,      395,       140,       160,       348,       327,       238,       57,        260,       97,        40
155,      395,       139,       159,       348,       326,       238,       56,        259,       98,        20
155,      396,       139,       159,       348,       326,       238,       56,        261,       97,        30
156,      395,       140,       159,       348,       325,       238,       56,        261,       98,        35
156,      394,       139,       160,       348,       323,       239,       56,        261,       98,        25
154,      396,       140,       159,       348,       325,       238,       56,        261,       99,        35
155,      394,       140,       160,       347,       324,       237,       56,        260,       97,        5
155,      394,       140,       158,       347,       323,       237,       56,        262,       97,        0
156,      392,       138,       159,       347,       324,       237,       55,        261,       96,        -20
154,      393,       138,       158,       347,       322,       236,       56,        259,       97,        -45
155,      394,       138,       158,       347,       324,       237,       55,        259,       96,        -30
154,      393,       138,       158,       346,       324,       235,       55,        262,       96,        -40
155,      394,       139,       158,       347,       323,       237,       56,        261,       96,        -15
155,      394,       138,       159,       347,       325,       238,       55,        262,       97,        5
154,      393,       139,       158,       346,       325,       237,       56,        261,       96,        -20
154,      395,       139,       158,       346,       324,       236,       54,        260,       97,        -30
155,      395,       139,       158,       348,       325,       238,       55,        260,       98,        10
155,      393,       139,       158,       348,       325,       237,       56,        262,       97,        5
155,      393,       139,       158,       347,       325,       237,       56,        260,       96,        -15
155,      394,       139,       158,       348,       324,       237,       55,        261,       97,        -5
157,      395,       139,       159,       348,       327,       238,       55,        263,       96,        40
156,      395,       139,       159,       348,       325,       238,       55,        261,       97,        20
155,      396,       138,       159,       349,       326,       239,       56,        262,       97,        40
