0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
381,10,-49,121,
122,      251,       94,        131,       393,       318,       182,       58,        200,       33,        0
122,      252,       94,        131,       393,       318,       183,       58,        201,       34,        0
124,      249,       95,        129,       395,       316,       183,       57,        201,       32,        0
123,      250,       96,        130,       395,       317,       185,       58,        202,       33,        0
122,      250,       95,        129,       394,       316,       184,       57,        202,       31,        0
123,      249,       95,        130,       394,       317,       183,       58,        201,       32,        0
122,      250,       95,        131,       394,       318,       184,       58,        202,       33,        0
122,      250,       94,        131,       394,       317,       183,       58,        201,       33,        0
123,      250,       95,        130,       395,       316,       184,       57,        203,       32,        0
122,      252,       94,        130,       393,       317,       182,       59,        202,       33,        0
121,      251,       94,        131,       393,       317,       183,       58,        201,       33,        0
122,      250,       95,        130,       394,       316,       184,       57,        202,       32,        0
121,      250,       95,        130,       393,       316,       183,       58,        200,       32,        0
123,      250,       95,        130,       395,       316,       184,       57,        202,       32,        0
121,      251,       94,        132,       393,       316,       184,       57,        201,       32,        0
123,      248,       96,        130,       393,       316,       181,       57,        198,       32,        0
123,      251,       95,        130,       394,       317,       184,       58,        202,       33,        0
122,      251,       94,        131,       393,       317,       183,       58,        200,       33,        0
122,      250,       95,        131,       394,       317,       184,       58,        202,       32,        0
121,      251,       94,        131,       393,       318,       184,       58,        201,       33,        0
123,      249,       95,        130,       394,       316,       184,       57,        200,       32,        0
122,      250,       95,        131,       394,       317,       183,       58,        199,       32,        0
122,      251,       95,        131,       394,       317,       184,       58,        201,       32,        0
122,      251,       95,        130,       394,       315,       184,       57,        201,       31,        0
122,      250,       95,        130,       395,       316,       183,       56,        200,       32,        0
122,      251,       94,        130,       395,       316,       184,       58,        201,       33,        0
122,      251,       95,        130,       393,       316,       183,       58,        201,       33,        0
122,      250,       94,        130,       394,       316,       182,       59,        200,       33,        0
123,      251,       94,        130,       395,       316,       185,       57,        202,       32,        0
122,      251,       94,        130,       393,       316,       183,       58,        200,       32,        0
