0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-65,126,
316,      340,       226,       242,       261,       209,       209,       222,       275,       225,       0
315,      340,       225,       242,       260,       208,       210,       221,       275,       234,       0
316,      340,       226,       242,       261,       209,       209,       222,       276,       225,       0
316,      340,       225,       241,       261,       208,       209,       221,       274,       235,       0
316,      341,       225,       242,       261,       208,       209,       221,       274,       237,       0
316,      340,       226,       241,       261,       208,       209,       221,       275,       223,       0
316,      339,       225,       242,       261,       209,       209,       221,       274,       239,       0
316,      340,       225,       242,       261,       208,       209,       222,       275,       223,       0
315,      340,       225,       242,       260,       209,       209,       221,       274,       235,       0
316,      339,       225,       242,       261,       209,       209,       221,       275,       233,       0
316,      339,       226,       241,       261,       209,       209,       221,       275,       223,       0
315,      340,       226,       242,       260,       209,       209,       221,       275,       236,       0
316,      340,       226,       242,       261,       209,       210,       221,       274,       237,       0
316,      340,       225,       241,       261,       209,       209,       221,       274,       223,       0
316,      339,       225,       241,       260,       209,       209,       221,       275,       235,       0
316,      340,       225,       242,       261,       209,       209,       222,       275,       222,       0
316,      340,       225,       241,       261,       208,       209,       221,       274,       237,       0
317,      340,       225,       241,       261,       208,       209,       221,       275,       236,       0
316,      339,       225,       241,       260,       209,       209,       221,       275,       237,       0
316,      340,       225,       242,       261,       208,       209,       221,       274,       235,       0
316,      339,       225,       241,       260,       209,       209,       221,       275,       238,       0
316,      340,       225,       242,       260,       209,       209,       222,       275,       224,       -42.813
315,      340,       225,       242,       261,       209,       209,       222,       275,       225,       -35.001
315,      340,       225,       241,       260,       209,       209,       221,       274,       232,       -18.087
316,      340,       226,       242,       260,       208,       209,       221,       274,       240,       30
316,      340,       225,       242,       261,       208,       209,       222,       275,       226,       -30.938
316,      340,       225,       241,       260,       209,       209,       221,       274,       228,       -36.563
316,      340,       225,       242,       260,       209,       209,       220,       274,       240,       26.874
317,      339,       226,       241,       260,       209,       210,       222,       275,       229,       -7.15
316,      340,       225,       242,       260,       209,       209,       221,       275,       225,       -42.188
316,      340,       225,       241,       260,       209,       209,       220,       274,       243,       35.624
316,      341,       225,       241,       260,       209,       210,       221,       274,       231,       -10.938
316,      339,       225,       241,       259,       209,       210,       221,       275,       224,       -54.063
316,      340,       225,       242,       260,       209,       209,       220,       274,       241,       28.75
317,      340,       226,       241,       260,       209,       209,       221,       275,       231,       -5.002
316,      340,       225,       242,       261,       208,       209,       222,       274,       221,       -60
316,      340,       225,       241,       260,       209,       209,       221,       274,       237,       10.663
317,      340,       225,       241,       260,       209,       209,       221,       275,       235,       12.187
317,      341,       225,       241,       261,       209,       209,       221,       275,       222,       -46.563
317,      340,       225,       242,       261,       209,       209,       221,       274,       241,       44.687
317,      341,       225,       242,       261,       209,       209,       221,       274,       238,       35.624
316,      341,       226,       242,       261,       208,       210,       222,       275,       227,       -9.688
317,      340,       225,       242,       261,       209,       209,       221,       274,       231,       -4.689
316,      340,       225,       242,       260,       209,       209,       221,       275,       243,       49.687
318,      341,       226,       242,       261,       208,       210,       222,       275,       227,       .468
318,      341,       225,       242,       260,       208,       209,       221,       275,       228,       -14.688
318,      341,       225,       242,       260,       208,       209,       221,       274,       241,       44.999
318,      340,       225,       243,       261,       208,       209,       221,       275,       244,       70.936
318,      341,       225,       242,       261,       209,       209,       223,       275,       227,       -.313
317,      341,       225,       242,       261,       209,       209,       221,       274,       240,       45.312
317,      341,       226,       242,       261,       209,       209,       222,       275,       239,       54.062
319,      341,       226,       242,       261,       209,       209,       222,       276,       223,       -10
318,      340,       225,       242,       261,       209,       209,       221,       275,       223,       -34.375
319,      342,       225,       242,       261,       208,       209,       222,       275,       237,       49.062
319,      342,       225,       242,       261,       209,       209,       222,       276,       238,       62.968
319,      342,       225,       242,       261,       209,       209,       221,       275,       236,       44.062
318,      341,       225,       242,       261,       209,       209,       221,       275,       233,       20.624
319,      342,       226,       242,       262,       209,       209,       222,       276,       239,       79.061
320,      342,       226,       242,       262,       209,       210,       222,       276,       226,       24.375
